
[00:00:00.000 --> 00:00:05.500]  怎樣說好呢 這一句話是我第一信息彈出來的
[00:00:05.500 --> 00:00:10.500]  然後阿南就說 你做了這麼多年人
[00:00:10.500 --> 00:00:15.500]  怎會沒有遇過在工作上的溝通問題
[00:00:15.500 --> 00:00:24.500]  我心想 是的 但是我不應該說我在工作上過去溝通的問題
[00:00:25.000 --> 00:00:32.500]  所以我就想起這一節的經文
[00:00:32.500 --> 00:00:37.500]  我就選了一段經文 一句合而 說話的合而
[00:00:37.500 --> 00:00:42.500]  就如金蘋果在銀網之類 在《箴言》的25章11節裡面
[00:00:42.500 --> 00:00:49.500]  信息的版本就是說 英文很差 總之 the right word at the right time
[00:00:49.500 --> 00:00:53.500]  就好像一個customize的珠寶給了你一樣
[00:00:54.000 --> 00:00:59.500]  這句說話對姐妹來說 就是結婚戒指那件事
[00:00:59.500 --> 00:01:03.500]  馬上笑得很甜 我看到Samuel旁邊那個
[00:01:03.500 --> 00:01:10.500]  哇 在對的時間裡面 說話在對的時間裡面
[00:01:10.500 --> 00:01:14.500]  那我想起 幸好我那時候也是很多年前結婚
[00:01:14.500 --> 00:01:18.500]  我相信現在結婚應該是 又在酒店 又在房間鋪排
[00:01:18.500 --> 00:01:21.500]  又有很多surprise的東西 還是怎樣的事情
[00:01:22.000 --> 00:01:25.500]  感謝了那段時間 我就是窮的書生
[00:01:25.500 --> 00:01:27.500]  沒有做這些各樣的事情
[00:01:27.500 --> 00:01:31.500]  但是這一刻就 哇 一個精美的一個約會
[00:01:31.500 --> 00:01:34.500]  一個地方 還有一個聚會的時候
[00:01:34.500 --> 00:01:38.500]  就感覺很不一樣 就是這個感覺
[00:01:38.500 --> 00:01:42.500]  一句合而的說話 就好像金蘋果在銀網之類
[00:01:42.500 --> 00:01:45.500]  《箴言》就很特別 一句句說話
[00:01:45.500 --> 00:01:50.500]  就好像一些言語說出來 沒什麼啦啦的
[00:01:51.000 --> 00:01:55.500]  但是今天我都很想用整個25章跟大家講一下
[00:01:55.500 --> 00:02:00.500]  highlight了一些東西 今天是分享比較多
[00:02:00.500 --> 00:02:04.500]  你記住 不是一個色情講道 是分享的題目比較多
[00:02:04.500 --> 00:02:07.500]  之後就留回 我講完就bye bye的了
[00:02:07.500 --> 00:02:12.500]  留回幾位的傳道同工 就跟大家去收拾收尾
[00:02:12.500 --> 00:02:16.500]  但是我想想的時間 其實在我們生命裡面
[00:02:16.500 --> 00:02:19.500]  怎麼會沒有遇到一些溝通的問題
[00:02:20.000 --> 00:02:24.500]  是不是 工作也好 侍奉也好
[00:02:24.500 --> 00:02:29.500]  面對公司上司也好 同事也好
[00:02:29.500 --> 00:02:32.500]  那些張力是很不容易
[00:02:32.500 --> 00:02:40.500]  甚至我們對著媽媽 家長 奶奶那些狀況
[00:02:40.500 --> 00:02:43.500]  picture所有的東西 對著子女也是一樣
[00:02:43.500 --> 00:02:47.500]  那些張力是很大 有時候都不知道怎麼去處理
[00:02:48.000 --> 00:02:51.500]  所以今天我不是用經文告訴大家
[00:02:51.500 --> 00:02:54.500]  聖經這樣講 我們就這樣做
[00:02:54.500 --> 00:02:58.500]  那些有其他方法 有其他傳道同工教你們
[00:02:58.500 --> 00:03:00.500]  今天不是我做這件事
[00:03:00.500 --> 00:03:04.500]  我今天又不是 用了幾分鐘介紹
[00:03:04.500 --> 00:03:08.500]  我今天又不是跟大家講一些溝通課程
[00:03:08.500 --> 00:03:11.500]  網上很多 或者你在公司裡training很多
[00:03:11.500 --> 00:03:14.500]  或者你看到一些我們熟悉的朋友
[00:03:15.000 --> 00:03:18.500]  他都有一些很厲害的課程教你怎麼去發達
[00:03:18.500 --> 00:03:21.500]  怎麼去跟人交朋友 這些都不是
[00:03:21.500 --> 00:03:24.500]  我純粹是講一下 我心裡的感覺
[00:03:24.500 --> 00:03:30.500]  有些pump出來的提醒 很想跟大家一起分享
[00:03:30.500 --> 00:03:34.500]  記住就是這個框架 戴了很多個頭盔
[00:03:34.500 --> 00:03:36.500]  第一個 我很想跟大家講的
[00:03:36.500 --> 00:03:39.500]  其實我們很需要 如果在溝通上面
