
[00:00:00.000 --> 00:00:02.000]  大英前輩早晨
[00:00:02.000 --> 00:00:15.000]  五月開始我們所有的主日崇拜講道的訊息
[00:00:15.000 --> 00:00:18.000]  都會從尼希米記
[00:00:18.000 --> 00:00:26.000]  由五月開始一直到八月都會集中在尼希米記
[00:00:26.000 --> 00:00:34.000]  我知道有團契之前已經開始去查考尼希米記
[00:00:34.000 --> 00:00:39.000]  我相信其中一個原因為什麼去查考尼希米記
[00:00:39.000 --> 00:00:46.000]  都是跟我們新的堂子的預備很有關係
[00:00:46.000 --> 00:00:56.000]  我們當時已經開始計劃崇拜講道的時候
[00:00:56.000 --> 00:01:01.000]  都是非常適合我們從尼希米記那裡學習
[00:01:01.000 --> 00:01:05.000]  有弟兄姊妹之前一定有讀過尼希米記
[00:01:05.000 --> 00:01:10.000]  聯想起來就會很容易明白
[00:01:10.000 --> 00:01:16.000]  為什麼我們覺得在這個時間一起去讀尼希米記
[00:01:16.000 --> 00:01:18.000]  對我們會很有幫助
[00:01:18.000 --> 00:01:23.000]  也對我們整個教會都很有需要
[00:01:23.000 --> 00:01:26.000]  其實除了粵語的崇拜之外
[00:01:26.000 --> 00:01:31.000]  在這個時間國語和英文的崇拜
[00:01:31.000 --> 00:01:37.000]  我們整個教會都會一起去學習尼希米記的訊息
[00:01:37.000 --> 00:01:41.000]  有不同的安排
[00:01:41.000 --> 00:01:46.000]  英文課就會比較濃縮
[00:01:46.000 --> 00:01:51.000]  大約是六次的講道就會講完尼希米記
[00:01:51.000 --> 00:02:02.000]  粵語和國語我們覺得比較耐性高一點
[00:02:02.000 --> 00:02:09.000]  所以我們會用十四個主日來讀尼希米記
[00:02:09.000 --> 00:02:15.000]  希望大家都可以習慣一個長的系列
[00:02:15.000 --> 00:02:18.000]  十四次來讀尼希米記
[00:02:18.000 --> 00:02:22.000]  有時候我們覺得這麼長氣
[00:02:22.000 --> 00:02:24.000]  有時候不是我們長氣
[00:02:24.000 --> 00:02:27.000]  是聖經要記載得很詳細
[00:02:27.000 --> 00:02:32.000]  我們就真的要按照聖經的記載來學習
[00:02:32.000 --> 00:02:38.000]  尤其是尼希米記前兩年在我們教會的周年大會的時候
[00:02:38.000 --> 00:02:43.000]  我都講過少少的尼希米記
[00:02:43.000 --> 00:02:48.000]  特別那次我記得我要講很多名單
[00:02:48.000 --> 00:02:50.000]  尼希米記其實有很多名單
[00:02:50.000 --> 00:02:53.000]  平時我們沒什麼興趣讀的名單
[00:02:53.000 --> 00:02:59.000]  希望大家可以明白為什麼聖經要記載這些名單
[00:02:59.000 --> 00:03:05.000]  甚至那些維修耶路撒冷城的時候
[00:03:05.000 --> 00:03:11.000]  哪些人去城牆的哪一部分在那裡做維修
[00:03:11.000 --> 00:03:14.000]  是很詳細的記載
[00:03:14.000 --> 00:03:24.000]  特別我記得那次我們講有哪些人要去訓廠門那裡來維修
[00:03:24.000 --> 00:03:26.000]  什麼叫做訓廠門呢
[00:03:26.000 --> 00:03:35.000]  大家都明白那些英文叫做waste material
[00:03:35.000 --> 00:03:40.000]  就是那些不要的東西那些訓便的處理
[00:03:40.000 --> 00:03:43.000]  現在就可以維生很多
[00:03:43.000 --> 00:03:46.000]  有某個地方去處理
[00:03:46.000 --> 00:03:52.000]  特別有一些人去分派願意去做那些工作
[00:03:52.000 --> 00:03:54.000]  這個都給我們很多學習
[00:03:54.000 --> 00:03:56.000]  我們再一起祈禱
[00:03:56.000 --> 00:04:00.000]  多謝我們的全能的主我們的神
[00:04:00.000 --> 00:04:02.000]  在你一切的恩典裡面
[00:04:02.000 --> 00:04:05.000]  我們成為你的兒女
[00:04:05.000 --> 00:04:07.000]  我們跟從你的時候
[00:04:07.000 --> 00:04:10.000]  知道你的恩典你的封聖
[00:04:10.000 --> 00:04:16.000]  實在是給我們一個很奇妙的人生
[00:04:16.000 --> 00:04:21.000]  我們的教會也都成為你手中使用的器皿
[00:04:21.000 --> 00:04:23.000]  我們每一個人的生命
[00:04:23.000 --> 00:04:26.000]  也是因為你而被塗造
[00:04:26.000 --> 00:04:30.000]  因為你要拯救這個世界的計劃
[00:04:30.000 --> 00:04:33.000]  而被你塗造去使用
[00:04:33.000 --> 00:04:36.000]  求你繼續帶領幫助我們
[00:04:36.000 --> 00:04:42.000]  我們今天開始去查考尼希米記學習的過程
[00:04:42.000 --> 00:04:47.000]  求你聖靈幫助我們每一位的弟兄姊妹
[00:04:47.000 --> 00:04:49.000]  有專注的學習
[00:04:49.000 --> 00:04:53.000]  禱告祈求奉靠救主耶穌基督的名
[00:04:53.000 --> 00:04:54.000]  阿們
[00:04:54.000 --> 00:05:04.000]  在尼希米記這麼詳細的記載裡面
[00:05:04.000 --> 00:05:08.000]  給我有一個很深的思想
[00:05:08.000 --> 00:05:12.000]  就是神的事究竟是誰的事
[00:05:12.000 --> 00:05:13.000]  有時候神的事
[00:05:13.000 --> 00:05:14.000]  我們覺得既然是神的事
[00:05:14.000 --> 00:05:15.000]  神就一定會搞定
[00:05:15.000 --> 00:05:17.000]  因為他是大能的神
[00:05:17.000 --> 00:05:22.000]  所以好像不需要我們這麼諸事八卦
[00:05:22.000 --> 00:05:24.000]  去理神的事
[00:05:24.000 --> 00:05:26.000]  我以前也提過
[00:05:26.000 --> 00:05:28.000]  曾經有一段時間
[00:05:28.000 --> 00:05:30.000]  特別是在西方的教會
[00:05:30.000 --> 00:05:33.000]  有一種所謂神學的想法
