
[00:00:00.000 --> 00:00:01.360]  大家再請我們祈禱
[00:00:01.360 --> 00:00:03.980]  我們先將這件事情再交託給主
[00:00:03.980 --> 00:00:09.140]  親愛的主,我們到祢的面前
[00:00:09.140 --> 00:00:12.640]  知道祢的確是位滿有慈愛
[00:00:12.640 --> 00:00:14.860]  又滿有公義的上帝
[00:00:14.860 --> 00:00:18.740]  我們這個時候想到香港社會的事情
[00:00:18.740 --> 00:00:22.100]  我們都來到去懇求恩主
[00:00:22.100 --> 00:00:24.480]  來垂顧這個城市
[00:00:24.480 --> 00:00:26.500]  求祢施恩
[00:00:26.500 --> 00:00:30.820]  祢真的來到去顯出那些錯謀
[00:00:30.820 --> 00:00:33.100]  祢都去減去
[00:00:33.100 --> 00:00:35.860]  祢都去清除很多暴力
[00:00:35.860 --> 00:00:38.440]  很多不公不義的事情
[00:00:38.440 --> 00:00:43.260]  主,我們相信祢能夠成就這些事情
[00:00:43.260 --> 00:00:46.340]  祢都祈求祢自己親自的紀念
[00:00:46.340 --> 00:00:49.460]  很多在香港作為傳媒工作者
[00:00:49.460 --> 00:00:52.080]  求祢常常的保護他們
[00:00:52.480 --> 00:00:56.880]  祢都將那種的正直賜給他們
[00:00:56.880 --> 00:01:02.140]  能夠誠實的去講述社會上不同的事情
[00:01:02.140 --> 00:01:06.420]  主,祢自己都親自保守整個的社會環境
[00:01:06.420 --> 00:01:12.160]  能夠真的更加知道去高舉公義和正直
[00:01:12.160 --> 00:01:15.840]  也都親自的將那份勇敢
[00:01:15.840 --> 00:01:18.480]  賜給這一群的人士
[00:01:18.480 --> 00:01:22.300]  讓他們所帶出來的各樣的報道
[00:01:22.300 --> 00:01:25.240]  是真正叫社會得到祝福
[00:01:25.240 --> 00:01:27.400]  主,我們仰望祢自己保守
[00:01:27.400 --> 00:01:29.860]  我們作為祢自己子女的
[00:01:29.860 --> 00:01:31.860]  都知道在我們崗位當中
[00:01:31.860 --> 00:01:34.340]  能夠行公義、好憐憫
[00:01:34.340 --> 00:01:36.680]  能夠可以與祢同行
[00:01:36.680 --> 00:01:39.640]  主,如今我們多謝祢給我們健康
[00:01:39.640 --> 00:01:42.540]  坐在齊人的殿當中來敬拜
[00:01:42.540 --> 00:01:44.940]  主,我們很願意尊崇祢
[00:01:44.940 --> 00:01:48.400]  因為祢的確是那位天地的大君王
[00:01:48.400 --> 00:01:51.020]  主,祢不單止沒有能力
[00:01:51.020 --> 00:01:53.020]  也都滿有慈愛
[00:01:53.020 --> 00:01:55.760]  正如我們剛才所聽到的詩歌
