
[00:00:00.000 --> 00:00:02.400]  教會就是神的家
[00:00:02.400 --> 00:00:04.400]  那麼是永生神的教會
[00:00:04.400 --> 00:00:06.800]  真理的住室和根基
[00:00:06.800 --> 00:00:10.000]  真的是真理是從教會出來的
[00:00:10.000 --> 00:00:12.000]  今天我們就會談到這個事情
[00:00:12.000 --> 00:00:14.000]  然後接下去他就說
[00:00:14.000 --> 00:00:16.800]  淨錢的奧秘 無人不以為然
[00:00:16.800 --> 00:00:18.800]  就是神在肉身顯現
[00:00:18.800 --> 00:00:20.800]  被聖靈稱義 被天使看見
[00:00:20.800 --> 00:00:23.600]  被傳於外邦 被世人信服
[00:00:23.600 --> 00:00:25.200]  被接在榮耀裡
[00:00:25.200 --> 00:00:28.800]  我不知道弟兄姊妹當你讀這一段經文的時候
[00:00:28.800 --> 00:00:31.200]  你自己心裡面怎麼想
[00:00:31.200 --> 00:00:32.800]  當我們信了主的時候
[00:00:32.800 --> 00:00:36.800]  我們與基督聯合在一起了
[00:00:36.800 --> 00:00:38.000]  那麼這一段經文呢
[00:00:38.000 --> 00:00:41.600]  他就告訴我們神在肉身顯現
[00:00:41.600 --> 00:00:44.200]  我們雖然沒有像他那個樣子
[00:00:44.200 --> 00:00:47.800]  但是我們與他聯合了
[00:00:47.800 --> 00:00:50.400]  那麼我們曉得他從死裡復活了
[00:00:50.400 --> 00:00:52.400]  然後他又被聖靈稱義
[00:00:52.400 --> 00:00:55.000]  我們也知道我們被聖靈稱義
[00:00:55.000 --> 00:00:56.600]  然後被天使看見
[00:00:56.600 --> 00:00:58.200]  這些事情都還沒有發生
[00:00:58.200 --> 00:00:59.400]  對我們來講
[00:00:59.400 --> 00:01:02.400]  但是我們曉得我們與他聯合了
[00:01:02.400 --> 00:01:04.600]  所以我們能夠體會到
[00:01:04.600 --> 00:01:10.200]  保羅所說的大哉淨錢的奧秘
[00:01:10.200 --> 00:01:18.000]  最後主耶穌他要把他的教會接在榮耀裡
[00:01:18.000 --> 00:01:20.400]  這是我們在啟示錄裡面所看到的
[00:01:20.400 --> 00:01:21.600]  我們感謝神
[00:01:21.600 --> 00:01:23.600]  這也是我們今天
[00:01:23.600 --> 00:01:27.000]  我希望盼望能夠藉著這些經文
[00:01:27.000 --> 00:01:28.800]  還有已父所說第四章
[00:01:28.800 --> 00:01:31.600]  其實我們可以從第一節一直到第十六節
[00:01:31.600 --> 00:01:36.000]  那麼我們能夠看見教會
[00:01:36.000 --> 00:01:39.600]  我們要怎麼樣對待它
[00:01:39.600 --> 00:01:43.000]  那麼當前基督徒對於教會的看法
[00:01:43.000 --> 00:01:44.000]  很有意思的
[00:01:44.000 --> 00:01:47.400]  不管是中外都是一樣的
[00:01:47.400 --> 00:01:48.600]  特別是在美國
[00:01:48.600 --> 00:01:52.200]  我們看見一些超大型的教會出現
[00:01:52.200 --> 00:01:54.600]  那麼所以有很多人就形容了
[00:01:54.600 --> 00:01:58.000]  教會好像是一個超級目標
[00:01:58.000 --> 00:02:00.400]  你們去過超級目標
[00:02:00.400 --> 00:02:02.600]  那麼人的心態是怎麼樣的
[00:02:02.600 --> 00:02:04.200]  在哪裡有廉價的
[00:02:04.200 --> 00:02:05.600]  在哪裡有便宜的
[00:02:05.600 --> 00:02:08.200]  在哪裡有東西對我有用處的
[00:02:08.200 --> 00:02:09.800]  那麼我就去哪裡
[00:02:09.800 --> 00:02:12.200]  沒有的話我就去另外一個墊子
[00:02:12.200 --> 00:02:14.200]  那麼它倒閉是它的事情
[00:02:14.200 --> 00:02:17.000]  反正有另外的墊子會起來
[00:02:17.000 --> 00:02:19.400]  這不是我講的話
[00:02:19.400 --> 00:02:21.400]  這是一些傳道人
[00:02:21.400 --> 00:02:25.200]  特別是在北美一些神很重用的傳道人
[00:02:25.200 --> 00:02:27.200]  他們自己的教會很大很大
