
[00:00:00.000 --> 00:00:04.200]  這個系列就是使我們的生命能夠有作為
[00:00:04.200 --> 00:00:07.400]  使我們生命透過福音的轉化
[00:00:07.400 --> 00:00:10.600]  能夠活出一個很豐盛有作為的生命
[00:00:10.600 --> 00:00:13.600]  我們的主題經文
[00:00:13.600 --> 00:00:16.200]  就在羅馬書的十二章二節
[00:00:16.200 --> 00:00:18.200]  羅馬書十二章二節
[00:00:18.200 --> 00:00:19.800]  這邊是這樣說的
[00:00:19.800 --> 00:00:22.200]  保羅鼓勵所有的基督徒
[00:00:22.200 --> 00:00:25.400]  不要被借世界同化
[00:00:25.400 --> 00:00:28.200]  要讓上帝改造你們
[00:00:28.200 --> 00:00:30.600]  或者翻譯成轉化你們
[00:00:30.600 --> 00:00:33.600]  更新你們的心思意念
[00:00:33.600 --> 00:00:36.400]  好明察什麼是他的旨意
[00:00:36.400 --> 00:00:41.800]  什麼是善良 完全 可夢 月立的
[00:00:41.800 --> 00:00:45.600]  神像我們每一個我相信都是很獨特的
[00:00:45.600 --> 00:00:49.400]  每一個人的DNA 指紋其實都不一樣
[00:00:49.400 --> 00:00:53.000]  即使是雙胞胎 同一個父母生
[00:00:53.000 --> 00:00:56.400]  也都出生在同樣的家庭 同樣的家庭背景
[00:00:56.400 --> 00:00:59.000]  但可以兩個性格是完全不同
[00:00:59.000 --> 00:01:01.800]  因此才是完全不同
[00:01:01.800 --> 00:01:04.600]  所以每一個人其實神像我們很獨特的
[00:01:04.600 --> 00:01:07.400]  相信他都有他的一些所謂的旨意
[00:01:07.400 --> 00:01:09.200]  在每一個人的身上
[00:01:09.200 --> 00:01:12.200]  但有時當我們被世界同化的時候
[00:01:12.200 --> 00:01:13.600]  你會發覺最後活出來
[00:01:13.600 --> 00:01:15.800]  為什麼個個好像一個餅印
[00:01:15.800 --> 00:01:17.600]  是因為我們被世界同化
[00:01:17.600 --> 00:01:21.200]  我們不知道到底什麼是神的旨意在我們身上
[00:01:21.200 --> 00:01:23.200]  所以有時我們就跟著
[00:01:23.200 --> 00:01:25.200]  有時定人生目標的時候特別
[00:01:25.200 --> 00:01:28.000]  我們就根據世界的標準
[00:01:28.000 --> 00:01:31.000]  這個文化 我們隨波逐流
[00:01:31.000 --> 00:01:33.000]  所以結果被世界同化
[00:01:33.000 --> 00:01:34.800]  結果活出來 大家都一樣
[00:01:34.800 --> 00:01:38.800]  結果大家三十年都做了什麼叫做紐奴
[00:01:38.800 --> 00:01:41.000]  大家差不多的生活方式
[00:01:41.000 --> 00:01:42.800]  但其實每一個人應該獨特的
[00:01:42.800 --> 00:01:44.600]  但我們因為被世界同化
[00:01:44.600 --> 00:01:48.000]  所以就沒有活出那種獨特性
[00:01:48.000 --> 00:01:50.800]  所以在這個講道系列當中
[00:01:50.800 --> 00:01:54.200]  我們會用這一節的主題經文來講
[00:01:54.200 --> 00:01:56.800]  我們人生其實有很多不同的範疇
[00:01:56.800 --> 00:02:00.800]  可以被轉化 可以不被這個世界同化
[00:02:00.800 --> 00:02:02.200]  今天因為第一講
[00:02:02.200 --> 00:02:04.200]  我們先講定目標
[00:02:04.200 --> 00:02:05.800]  剛剛都是新年
[00:02:05.800 --> 00:02:08.200]  我們都學會怎樣定一個個人的目標
[00:02:08.200 --> 00:02:09.600]  而這個個人的目標
[00:02:09.600 --> 00:02:13.200]  是跟世界告訴你怎樣定目標是不同的
[00:02:13.200 --> 00:02:15.200]  是不會被世界同化的
[00:02:15.200 --> 00:02:17.200]  分三點跟大家分享
[00:02:17.200 --> 00:02:18.200]  第一個就是
[00:02:18.200 --> 00:02:21.400]  如果我們要定一個目標是跟世界不同的
[00:02:21.400 --> 00:02:24.600]  我們要懂得定一個能夠榮耀神的目標
[00:02:24.600 --> 00:02:28.000]  你要考慮今年要定一個小小的目標
[00:02:28.000 --> 00:02:32.000]  這個目標的結果是否可以榮耀神呢
[00:02:32.000 --> 00:02:35.400]  在哥倫多前書的六章十九二十節
[00:02:35.400 --> 00:02:38.200]  保羅特別給哥倫多教一個提醒
[00:02:38.200 --> 00:02:43.800]  你們不知道你們的身體就是聖靈的殿嗎
[00:02:43.800 --> 00:02:46.800]  這聖靈住在你們裡面
[00:02:46.800 --> 00:02:49.400]  是上帝所賜的
[00:02:49.400 --> 00:02:51.800]  你們不屬於自己
[00:02:51.800 --> 00:02:54.000]  而是屬於上帝
[00:02:54.000 --> 00:02:56.600]  因為祂用重價買了你們
[00:02:56.600 --> 00:03:01.600]  所以你們要用身體來榮耀上帝
[00:03:01.600 --> 00:03:04.200]  接著到了同一卷書
