
[00:00:00.000 --> 00:00:01.440]  各位聽聽節目,大家好!
[00:00:01.440 --> 00:00:02.940]  弟兄姊妹,大家好!
[00:00:02.940 --> 00:00:05.400]  哎,真是的!
[00:00:05.400 --> 00:00:09.640]  時間剛剛好,牧師請我幫忙,我就說好呀!
[00:00:09.640 --> 00:00:13.440]  時間剛剛好,牧師請我幫忙,我就說好呀!
[00:00:13.440 --> 00:00:14.940]  今天要講什麼呢?
[00:00:14.940 --> 00:00:16.940]  今天要講什麼呢?
[00:00:16.940 --> 00:00:21.940]  今天跟大家分享的聖經,是接續著講主耶穌的神蹟的
[00:00:21.940 --> 00:00:25.640]  今天要跟大家講的經文,是接著說主耶穌的神蹟
[00:00:25.640 --> 00:00:28.140]  經文剛才大家讀了沒有?
[00:00:28.140 --> 00:00:30.140]  經文剛才大家讀了沒有?
[00:00:30.140 --> 00:00:33.140]  那我又把它打出來,因為我要看著經文講
[00:00:33.140 --> 00:00:35.640]  那我們就再把它打出來,我們要看著經文來說
[00:00:35.640 --> 00:00:36.640]  可以嗎?好!
[00:00:36.640 --> 00:00:37.640]  可以嗎?好!
[00:00:37.640 --> 00:00:46.140]  耶穌到了加利利加拿,是祂從前水變酒的地方
[00:00:46.140 --> 00:00:50.640]  耶穌到了加利利的加拿,是祂從前把水變酒的地方
[00:00:50.640 --> 00:00:58.640]  加拿是在拿撒勒附近15分鐘車程
[00:00:58.640 --> 00:01:02.140]  加拿是在拿撒勒附近大概15分鐘的車程
[00:01:02.140 --> 00:01:04.640]  那走路也可以到的
[00:01:04.640 --> 00:01:06.140]  走路也可以到的
[00:01:06.140 --> 00:01:09.640]  那在主耶穌時代也都一定要走路,沒有別的辦法
[00:01:09.640 --> 00:01:12.640]  在主耶穌時代也都是要走路,因為沒有其他的方法
[00:01:12.640 --> 00:01:16.640]  那你看到耶穌又到了,就是說祂又去
[00:01:16.640 --> 00:01:19.640]  那你看見耶穌又到了,也就是說祂又去
[00:01:19.640 --> 00:01:21.640]  為什麼常常去那裡呢?
[00:01:21.640 --> 00:01:25.640]  其實很有可能主耶穌的家庭
[00:01:25.640 --> 00:01:32.640]  和加拿裡面當日水變酒的神職家庭很有關係
[00:01:32.640 --> 00:01:38.640]  其實很有可能是主耶穌的家庭和當時把水變酒的家庭是有關係的
[00:01:38.640 --> 00:01:44.640]  因為瑪利亞是會在沒有酒的時候出手做一些事情
[00:01:44.640 --> 00:01:49.640]  因為瑪利亞是會在沒有酒的時候出手做一些事情
[00:01:49.640 --> 00:01:50.640]  如果你去喝
[00:01:50.640 --> 00:01:53.640]  如果你去被人家請洗酒
[00:01:53.640 --> 00:01:55.140]  沒有酒了,那你會怎樣?
[00:01:55.140 --> 00:01:56.640]  沒有酒了,怎麼辦呢?
[00:01:56.640 --> 00:02:00.640]  你多數都是伸長脖子,哪裡有哪裡有
[00:02:00.640 --> 00:02:03.640]  多數都是把脖子伸得很長,看哪裡有哪裡有
[00:02:03.640 --> 00:02:05.640]  但是祂是會出手做事的
[00:02:05.640 --> 00:02:07.640]  但是祂是會出手去做事的
[00:02:07.640 --> 00:02:08.640]  是有關係的
[00:02:08.640 --> 00:02:09.640]  是有關係的
[00:02:09.640 --> 00:02:13.640]  所以主耶穌會又去那個地方
[00:02:13.640 --> 00:02:16.640]  所以這就是為什麼耶穌又去這個地方
[00:02:16.640 --> 00:02:20.640]  主耶穌水變酒這個神蹟當日出不出名呢?
[00:02:20.640 --> 00:02:24.640]  當初主耶穌水變酒這個神蹟當時有沒有名呢?
[00:02:24.640 --> 00:02:25.640]  哇,厲害了
[00:02:25.640 --> 00:02:26.640]  非常厲害
[00:02:26.640 --> 00:02:30.640]  在一個這麼小的地方,全部人都知道
[00:02:30.640 --> 00:02:32.640]  在一個這麼小的地方,全部人都知道
[00:02:32.640 --> 00:02:34.640]  然後全遍周圍
[00:02:34.640 --> 00:02:36.640]  然後全遍周圍
[00:02:36.640 --> 00:02:37.640]  再下去
[00:02:37.640 --> 00:02:38.640]  我們再看
[00:02:38.640 --> 00:02:43.640]  哇,這樣一節嗎?
[00:02:43.640 --> 00:02:45.640]  這樣就行了,大家讀了我就說了
[00:02:45.640 --> 00:02:48.640]  有一個大臣,什麼叫大臣呢?
[00:02:48.640 --> 00:02:50.640]  有一個大臣,什麼是大臣呢?
[00:02:50.640 --> 00:02:51.640]  就是做官的
[00:02:51.640 --> 00:02:54.640]  他是羅馬人還是猶太人呢?
[00:02:54.640 --> 00:02:58.640]  他是羅馬人還是猶太人呢?
[00:02:58.640 --> 00:03:00.640]  贊成是羅馬人的舉手
[00:03:00.640 --> 00:03:03.640]  贊成是羅馬人的舉手
[00:03:03.640 --> 00:03:05.640]  猶太人的舉手
[00:03:05.640 --> 00:03:06.640]  猶太人的舉手
[00:03:06.640 --> 00:03:08.640]  那沒有舉手的是什麼呢?
[00:03:08.640 --> 00:03:10.640]  那沒有舉手的是什麼呢?
[00:03:10.640 --> 00:03:12.640]  就是不知道他是什麼人
[00:03:12.640 --> 00:03:13.640]  就不知道是什麼人
[00:03:13.640 --> 00:03:15.640]  沒有舉手的那些聰明
[00:03:15.640 --> 00:03:17.640]  沒有舉手的人很聰明
[00:03:17.640 --> 00:03:19.640]  沒有舉手的那些可能比較對
[00:03:19.640 --> 00:03:21.640]  沒有舉手的人可能是對的
[00:03:21.640 --> 00:03:23.640]  因為不知道他是羅馬人還是猶太人
[00:03:23.640 --> 00:03:26.640]  因為不知道他是羅馬人還是猶太人
[00:03:26.640 --> 00:03:30.640]  但是他是有奴隸的
[00:03:30.640 --> 00:03:32.640]  但是他是有奴隸的
[00:03:32.640 --> 00:03:36.640]  因為那個僕人就跑來跟他說
[00:03:36.640 --> 00:03:39.640]  哎呀,你兒子的病好了
[00:03:39.640 --> 00:03:42.640]  那個僕人這個字是slave
[00:03:42.640 --> 00:03:43.640]  就是奴隸
[00:03:43.640 --> 00:03:45.640]  因為那個僕人跑過來跟他說
[00:03:45.640 --> 00:03:47.640]  哎呀,你的兒子生病了
[00:03:47.640 --> 00:03:50.640]  奴隸這個字就是slave英文
[00:03:50.640 --> 00:03:53.640]  僕人是奴隸這個字
[00:03:53.640 --> 00:03:55.640]  僕人就是奴隸
[00:03:55.640 --> 00:03:57.640]  那猶太人也可以有奴隸的
[00:03:57.640 --> 00:03:59.640]  那猶太人也可以有奴隸的
[00:03:59.640 --> 00:04:00.640]  但是少一點
[00:04:00.640 --> 00:04:01.640]  但是比較少
