
[00:00:00.000 --> 00:00:01.300]  謙卑的君王
[00:00:01.300 --> 00:00:02.520]  榮耀的君王
[00:00:02.520 --> 00:00:04.000]  如果你幫助我們能夠
[00:00:04.000 --> 00:00:05.600]  藉著耶穌基督
[00:00:05.600 --> 00:00:07.500]  在最後一個星期的
[00:00:07.500 --> 00:00:11.100]  侍奉裏面的第一天
[00:00:11.100 --> 00:00:12.500]  透過耶穌
[00:00:12.500 --> 00:00:14.500]  在最後一個星期的第一天
[00:00:14.500 --> 00:00:17.600]  進入耶路撒冷
[00:00:17.600 --> 00:00:18.800]  一些經文
[00:00:18.800 --> 00:00:21.000]  對我們的教導
[00:00:21.000 --> 00:00:23.200]  對我們的提醒
[00:00:23.200 --> 00:00:25.400]  求主就與我們同在
[00:00:25.400 --> 00:00:26.500]  聽我們的禱告
[00:00:26.500 --> 00:00:28.100]  奉主命求
[00:00:28.100 --> 00:00:29.000]  Amen
[00:00:29.000 --> 00:00:31.400]  聽清楚沒有?
[00:00:31.400 --> 00:00:33.900]  耶穌在地上侍奉最後一個星期
[00:00:33.900 --> 00:00:36.700]  很多學者稱之為一個受難週
[00:00:36.700 --> 00:00:38.000]  或者英文就是一個
[00:00:38.000 --> 00:00:39.000]  Passion Week
[00:00:39.000 --> 00:00:41.200]  是一個受苦的一個星期
[00:00:41.200 --> 00:00:44.000]  當然在這個星期裏面
[00:00:44.000 --> 00:00:45.700]  四福音的作者
[00:00:45.700 --> 00:00:48.500]  都是很詳細地去描述
[00:00:48.500 --> 00:00:52.400]  耶穌最後一個星期裏面的工作
[00:00:52.400 --> 00:00:55.100]  當然今天我們的責任是講馬可福音
[00:00:55.100 --> 00:00:58.100]  所以我只能夠用馬可福音的作者
[00:00:58.100 --> 00:01:00.100]  馬可怎麼去看
[00:01:00.100 --> 00:01:01.200]  怎麼去描述
[00:01:01.200 --> 00:01:02.300]  怎麼去記載
[00:01:02.300 --> 00:01:06.400]  耶穌基督最後一個星期的工作的內容
[00:01:06.400 --> 00:01:08.900]  當然我是參考了一本
[00:01:08.900 --> 00:01:11.000]  很簡單的一本識經書
[00:01:11.000 --> 00:01:14.100]  就是由張略和黃錫牧所合著的
[00:01:14.100 --> 00:01:15.600]  關於馬可福音
[00:01:15.600 --> 00:01:18.300]  我很喜歡這個系列的識經書
[00:01:18.300 --> 00:01:20.600]  因為簡單
[00:01:20.600 --> 00:01:22.300]  你看完之後會明白他說什麼
[00:01:22.300 --> 00:01:23.500]  很多解經書我看完之後
[00:01:23.500 --> 00:01:24.800]  我都不明白他說什麼
[00:01:24.800 --> 00:01:26.000]  因為太深奧
[00:01:26.000 --> 00:01:27.800]  但這本書很簡單
[00:01:27.800 --> 00:01:30.400]  他在這本書的第二百四十三頁
[00:01:30.400 --> 00:01:31.800]  他出了一個表格
[00:01:31.800 --> 00:01:33.400]  這個表格很簡單
[00:01:33.400 --> 00:01:36.100]  將耶穌基督最後一個星期
[00:01:36.100 --> 00:01:38.200]  他究竟做了什麼
[00:01:38.200 --> 00:01:41.200]  我嘗試將這個表格給大家看看
[00:01:41.200 --> 00:01:42.900]  他說星期一
[00:01:42.900 --> 00:01:45.000]  由十一章第一節開始
[00:01:45.000 --> 00:01:51.100]  就是記載耶穌第一次進入耶路撒冷
[00:01:51.100 --> 00:01:56.300]  星期一就是第二次進入耶路撒冷
[00:01:56.300 --> 00:01:57.900]  不過耶穌做了一件事
[00:01:57.900 --> 00:02:00.900]  他就坐了那棵無花果樹
[00:02:00.900 --> 00:02:03.000]  和潔淨聖殿
[00:02:03.000 --> 00:02:06.700]  星期二就是第三次進入耶路撒冷
[00:02:06.700 --> 00:02:09.900]  是和猶太教的領袖很多的爭論
[00:02:09.900 --> 00:02:11.700]  這個篇幅是最長的
[00:02:11.700 --> 00:02:14.300]  是包括十二十三章
[00:02:14.300 --> 00:02:17.000]  到星期三就是十四章開始
[00:02:17.000 --> 00:02:20.000]  就是猶太和大祭司開始勾結
[00:02:20.000 --> 00:02:23.500]  去商議怎樣出賣耶穌
[00:02:23.500 --> 00:02:27.100]  去談判 就是說去談判
[00:02:27.100 --> 00:02:28.400]  然後在那天
[00:02:28.400 --> 00:02:32.400]  耶穌就在伯大尼被一位婦人狗咬
[00:02:32.400 --> 00:02:36.900]  到星期四就是雨節的晚餐
[00:02:36.900 --> 00:02:40.200]  之前就是準備耶穌被捕
[00:02:40.200 --> 00:02:41.700]  到星期五
[00:02:41.700 --> 00:02:43.200]  耶穌就受審判
[00:02:43.200 --> 00:02:44.500]  然後釘在十字架
[00:02:44.500 --> 00:02:46.800]  然後死亡被埋葬
[00:02:46.800 --> 00:02:47.600]  到星期六
[00:02:47.600 --> 00:02:49.000]  就是耶穌還在墳墓那邊
[00:02:49.000 --> 00:02:50.900]  所以沒有話說
[00:02:50.900 --> 00:02:53.600]  到第二個星期的星期日
[00:02:53.600 --> 00:02:54.600]  就是第一天
[00:02:54.600 --> 00:02:56.900]  也是我們今天稱之為主日
[00:02:56.900 --> 00:02:59.800]  就是記載耶穌復活
[00:02:59.800 --> 00:03:02.800]  所以馬可用了五章聖經
[00:03:02.800 --> 00:03:05.500]  也是在說那六天的事
[00:03:05.500 --> 00:03:06.800]  因為第七天他埋葬了
[00:03:06.800 --> 00:03:07.500]  沒有話說
[00:03:07.500 --> 00:03:08.900]  所以是六天的事
[00:03:08.900 --> 00:03:11.500]  然後再出來就是耶穌復活
[00:03:11.500 --> 00:03:16.000]  所以馬可用了最後有五章的經文
[00:03:16.000 --> 00:03:17.400]  十一至十五章
