
[00:00:00.000 --> 00:00:06.200]  在2006年,有一位澳洲女士叫Ronda Byrne
[00:00:06.200 --> 00:00:14.500]  朗達拜恩,寫了一本書,書名叫《The Secret》
[00:00:14.500 --> 00:00:23.500]  在2006年那一年,其實她爸爸突然去世
[00:00:23.500 --> 00:00:27.500]  她的工作也遇到很大的挫折
[00:00:27.500 --> 00:00:31.500]  家庭關係也陷入了僵局
[00:00:31.500 --> 00:00:36.500]  在她的人生跌到谷底的時候
[00:00:36.500 --> 00:00:38.500]  生活也快要崩潰了
[00:00:38.500 --> 00:00:46.500]  她就意外發現了隱藏了很多年的古書裡面的秘密
[00:00:46.500 --> 00:00:49.500]  這個秘密沉默了很多年
[00:00:49.500 --> 00:00:54.500]  有一些很偉大的科學家、思想家、企業家
[00:00:54.500 --> 00:01:02.500]  都是運用這個秘密而獲得生命的成功
[00:01:02.500 --> 00:01:04.500]  當你開始運用的時候
[00:01:04.500 --> 00:01:12.500]  你會驚訝它能夠給你人生帶來的喜樂和轉變
[00:01:12.500 --> 00:01:17.500]  作者還發現很多當今世界的傑出成就者
[00:01:17.500 --> 00:01:22.500]  其實早已經在運用這個秘密
[00:01:22.500 --> 00:01:25.500]  因此作者就不禁疑問
[00:01:25.500 --> 00:01:30.500]  為什麼不是每個人都知道呢?
[00:01:30.500 --> 00:01:33.500]  於是作者就決心組織了一個團隊
[00:01:33.500 --> 00:01:38.500]  去揭露這個只有少數人才知道的秘密
[00:01:38.500 --> 00:01:44.500]  她發現因為洞悉這個秘密的人
[00:01:44.500 --> 00:01:48.500]  他們都是各行各業的佼佼者
[00:01:48.500 --> 00:01:53.500]  並且現身說法來告訴你
[00:01:53.500 --> 00:01:58.500]  這個秘密可能會給你幸福、快樂、健康
[00:01:58.500 --> 00:02:00.500]  後來你只欠一點
[00:02:00.500 --> 00:02:05.500]  要不然就輸不到了
[00:02:05.500 --> 00:02:09.500]  用金錢、人際關係了解這個秘密
[00:02:09.500 --> 00:02:16.500]  你就可能做得到你所想做的事
[00:02:16.500 --> 00:02:19.500]  其實這本書在美國很暢銷
[00:02:19.500 --> 00:02:21.500]  賣了超過八百萬本
[00:02:21.500 --> 00:02:24.500]  全球銷量已經超過一千五百萬本
[00:02:24.500 --> 00:02:26.500]  有些數字還高一些
[00:02:26.500 --> 00:02:28.500]  看看這個數字是哪一年發表
[00:02:28.500 --> 00:02:35.500]  成為歷史上最暢銷的心靈勵志書
[00:02:35.500 --> 00:02:40.500]  有位當代的中國作家和心理醫生
[00:02:40.500 --> 00:02:42.500]  他叫畢淑敏
[00:02:42.500 --> 00:02:44.500]  他這樣評價這本書
[00:02:44.500 --> 00:02:48.500]  他說世上有些秘密
[00:02:48.500 --> 00:02:52.500]  比如白矮星或者恐龍
[00:02:52.500 --> 00:02:54.500]  你可以不知道
[00:02:54.500 --> 00:02:55.500]  沒什麼問題的
[00:02:55.500 --> 00:02:56.500]  沒什麼了不起的
[00:02:56.500 --> 00:02:58.500]  你不知道那些秘密
[00:02:58.500 --> 00:03:04.500]  但有些秘密是關心靈和幸福
[00:03:04.500 --> 00:03:08.500]  如果你不知道就太危險了
[00:03:08.500 --> 00:03:11.500]  秘密這本書告訴你
[00:03:11.500 --> 00:03:15.500]  人世間最重要最神奇的法則
[00:03:15.500 --> 00:03:19.500]  如果你了解和實踐它
