
[00:00:00.000 --> 00:00:03.040]  大家好,又過了一天
[00:00:03.040 --> 00:00:05.800]  今天我們來看看《人情世故》
[00:00:05.800 --> 00:00:10.880]  這個題目很多時候我都會用聖經裡面的字眼
[00:00:10.880 --> 00:00:13.840]  不過今次《魏斷經文》有二十節
[00:00:13.840 --> 00:00:15.520]  是不是很害怕呢?
[00:00:15.520 --> 00:00:19.360]  很長,所以我選不到一節出來用
[00:00:19.360 --> 00:00:21.920]  我看到又是阿伯拉罕
[00:00:21.920 --> 00:00:26.240]  阿伯拉罕是一個很懂得《人情世故》的人
[00:00:26.240 --> 00:00:28.880]  很厲害,辦事很精明
[00:00:28.880 --> 00:00:35.120]  神祝福他,又給他一個很好的太太
[00:00:35.120 --> 00:00:37.480]  又給他一個很漂亮的媳婦
[00:00:37.480 --> 00:00:40.840]  祝福他很富有,怎樣怎樣
[00:00:40.840 --> 00:00:45.080]  其實你看到神的祝福不僅是給他地
[00:00:45.080 --> 00:00:48.360]  不僅是給他成為各國之父
[00:00:48.360 --> 00:00:49.880]  很多恩典
[00:00:49.880 --> 00:00:51.000]  不僅如此
[00:00:51.000 --> 00:00:54.000]  其實還給了阿伯拉罕一個恩典
[00:00:54.000 --> 00:01:00.040]  是他很有智慧,帶著家庭裡的家丁好好打
[00:01:00.040 --> 00:01:03.200]  四王戰勝五王,其中一個就是他
[00:01:03.200 --> 00:01:06.720]  他和四王一起去打仗,救回羅德
[00:01:06.720 --> 00:01:08.280]  打贏仗回來
[00:01:08.280 --> 00:01:10.600]  阿伯拉罕當日都很厲害
[00:01:10.600 --> 00:01:12.360]  又文又武
[00:01:12.360 --> 00:01:14.000]  還有他很敬畏神
[00:01:14.000 --> 00:01:15.280]  昨天說過了
[00:01:15.280 --> 00:01:17.760]  還有阿伯拉罕神祝福他
[00:01:17.760 --> 00:01:21.000]  他很懂得《人情世故》
[00:01:21.000 --> 00:01:25.080]  去到那裡,很多朋友都尊敬他
[00:01:25.080 --> 00:01:29.440]  今天字很密,因為我有二十節聖經
[00:01:29.440 --> 00:01:33.600]  這個故事很少人在教會說
[00:01:33.600 --> 00:01:37.560]  很少人特別說阿伯拉罕很厲害
[00:01:37.560 --> 00:01:39.360]  多數經文沒有說
[00:01:39.360 --> 00:01:41.520]  有時我特別和大家講一下
[00:01:41.520 --> 00:01:45.600]  阿伯拉罕對人情世故的掌握
[00:01:45.600 --> 00:01:47.080]  學一下
[00:01:47.080 --> 00:01:48.680]  很長的
[00:01:48.680 --> 00:01:51.040]  這個綠色是節數
[00:01:51.040 --> 00:01:52.520]  因為我沒有一節字
[00:01:52.520 --> 00:01:54.840]  擠在一起,字都細一點
[00:01:54.840 --> 00:01:56.680]  有二十三章
[00:01:56.680 --> 00:01:58.680]  記得有機會自己看看
[00:01:58.680 --> 00:02:00.680]  二十三章第一節
[00:02:00.680 --> 00:02:04.400]  撒拉享壽一百二十七歲
[00:02:04.400 --> 00:02:06.600]  撒拉即是阿伯拉罕太太
[00:02:06.600 --> 00:02:09.800]  是撒拉一生的歲數
[00:02:09.800 --> 00:02:13.880]  撒拉死在迦南地的基列阿巴
[00:02:13.880 --> 00:02:15.880]  就是希伯倫
[00:02:15.880 --> 00:02:20.120]  阿伯拉罕為她哀悼哭號
[00:02:20.120 --> 00:02:23.960]  基列阿巴是城
[00:02:23.960 --> 00:02:25.320]  阿巴之城
[00:02:25.320 --> 00:02:27.320]  阿巴是什麼意思?不太清楚
[00:02:27.320 --> 00:02:30.520]  基列阿巴,阿巴的城
[00:02:30.520 --> 00:02:33.960]  就是希伯倫,希伯倫是聯合
[00:02:33.960 --> 00:02:39.920]  阿伯拉罕為了和她一百二十七歲
[00:02:39.920 --> 00:02:47.000]  為了她一百年的太太哭了
[00:02:47.000 --> 00:02:51.720]  後來阿伯拉罕從死人面前起來
[00:02:51.720 --> 00:02:53.040]  因為她已經死了
[00:02:53.040 --> 00:02:54.800]  所以不再用她的名字
[00:02:54.800 --> 00:02:58.040]  這裡是當年的文化
[00:02:58.040 --> 00:03:03.520]  阿伯拉罕從撒拉的屍體旁邊起身
[00:03:03.520 --> 00:03:05.520]  從死人面前起來
[00:03:05.520 --> 00:03:11.960]  對當地人叫做黑人
[00:03:11.960 --> 00:03:16.920]  當地人的民族叫做黑人
[00:03:16.920 --> 00:03:18.920]  黑人叫做Kat
[00:03:18.920 --> 00:03:22.120]  為什麼叫做黑?中文不太清楚
[00:03:22.120 --> 00:03:24.920]  Ch讀Kat
[00:03:24.920 --> 00:03:26.920]  黑人
[00:03:26.920 --> 00:03:30.720]  黑人的意思是son of Kat
[00:03:30.720 --> 00:03:33.120]  就是黑,黑人
[00:03:33.120 --> 00:03:37.520]  其實黑人這個字是驚恐的意思
[00:03:37.520 --> 00:03:39.920]  這個民族叫驚恐
[00:03:39.920 --> 00:03:41.920]  不知道是不是他們經常很驚青
[00:03:41.920 --> 00:03:45.720]  黑人後來和以色列人打仗
[00:03:45.720 --> 00:03:47.720]  黑人叫驚恐
[00:03:47.720 --> 00:03:49.720]  跟當地人說
