
[00:00:00.000 --> 00:00:03.720]  各位講福堂的弟兄姊妹 大家好
[00:00:03.720 --> 00:00:07.320]  我本來今天很期待可以現場見到大家
[00:00:07.320 --> 00:00:10.240]  不過疫情真是反覆
[00:00:10.240 --> 00:00:15.160]  我們今天能夠在螢幕那裡和大家一齊見面
[00:00:15.160 --> 00:00:20.080]  我都用主耶穌基督的名去問候大家
[00:00:20.080 --> 00:00:24.320]  祝福大家 神願大家同在 保守大家平安
[00:00:24.320 --> 00:00:28.000]  我自己就在建築神學院教書
[00:00:28.000 --> 00:00:30.800]  自從葛亦文牧師退休之後
[00:00:30.800 --> 00:00:33.720]  我就要接替他一份工作
[00:00:33.720 --> 00:00:37.000]  那個工作就叫做「以道致見」的主編
[00:00:37.000 --> 00:00:40.600]  我有機會接觸到這個士工的時候
[00:00:40.600 --> 00:00:43.840]  我就發現上帝的作為真是很大
[00:00:43.840 --> 00:00:45.360]  令我很敬畏
[00:00:45.360 --> 00:00:48.640]  我不知道大家是否認同
[00:00:48.640 --> 00:00:51.200]  在2020年的一年
[00:00:51.200 --> 00:00:55.080]  實在我們每一個人都戴著口罩去過活
[00:00:55.080 --> 00:00:59.120]  我們每一個人都很想去到更加親近上帝
[00:00:59.120 --> 00:01:03.640]  我講一些數字讓大家看到上帝的作為是怎樣
[00:01:03.640 --> 00:01:05.440]  上年的社會運動
[00:01:05.440 --> 00:01:08.800]  「以道致見」的active user
[00:01:08.800 --> 00:01:14.920]  即是每天去到下載、靈修的user
[00:01:14.920 --> 00:01:17.160]  大概是九萬八千人左右
[00:01:17.160 --> 00:01:20.760]  但是這個2020年疫症期間
[00:01:20.760 --> 00:01:24.520]  那個active user就去到二十一萬
[00:01:24.520 --> 00:01:27.920]  我們是沒有做過推廣的
[00:01:27.920 --> 00:01:31.160]  疫情期間我們神學院都是很忙碌
[00:01:31.160 --> 00:01:32.400]  應付很多事情
[00:01:32.400 --> 00:01:35.240]  根本沒有辦法去到有空間去推廣
[00:01:35.240 --> 00:01:38.440]  但是我想這段期間上帝的作為
[00:01:38.440 --> 00:01:42.560]  就是令更多人很想認識上帝的話語
[00:01:42.560 --> 00:01:44.840]  很想去了解上帝更多
[00:01:44.840 --> 00:01:50.040]  我想大家真的看到上帝的同在和祂的奇妙
[00:01:50.040 --> 00:01:54.080]  接下來我們都很想透過「以道致見」
[00:01:54.080 --> 00:01:57.360]  在2021年章林期的期間
[00:01:57.360 --> 00:01:59.080]  和各大教會一起合作
[00:01:59.080 --> 00:02:01.560]  有章林期的靈修
[00:02:01.560 --> 00:02:04.200]  和一些茶經小組的推廣
[00:02:04.200 --> 00:02:07.720]  讓我們能夠透過這些活動
[00:02:07.720 --> 00:02:10.960]  可以紀念耶穌基督將來的時間
[00:02:10.960 --> 00:02:13.880]  所以賣廣告的時間就到此為止
[00:02:13.880 --> 00:02:15.200]  這是我的職責
[00:02:15.200 --> 00:02:17.280]  但是我們聽到之前
[00:02:17.280 --> 00:02:20.080]  我們一起有個祈禱
[00:02:20.080 --> 00:02:23.400]  慈悲仁愛的天父 多謝你
[00:02:23.400 --> 00:02:26.800]  祈求主給我們有個敬畏的心
[00:02:26.800 --> 00:02:29.280]  讓我們能夠透過今天的經文
[00:02:29.280 --> 00:02:31.760]  特別是《馬學福音》第十章
[00:02:31.760 --> 00:02:34.000]  讓我們學習祢的服事
[00:02:34.000 --> 00:02:36.200]  和祢那份的社稷
[00:02:36.200 --> 00:02:39.440]  也幫助孩子宣講祢的話語清楚
[00:02:39.440 --> 00:02:42.720]  我們同心謙卑去領受
[00:02:42.720 --> 00:02:45.400]  禱告是奉耶穌基督命求
[00:02:45.400 --> 00:02:47.040]  阿們
[00:02:47.040 --> 00:02:50.040]  今天的講道我是教舊約的
[00:02:50.040 --> 00:02:52.560]  但不知為何我帶了新約來
[00:02:52.560 --> 00:02:54.240]  就是《馬學福音》第十章
[00:02:54.240 --> 00:02:56.200]  三十五到四十五節
[00:02:56.200 --> 00:02:59.120]  是《馬學福音》最重要的經文之一
[00:02:59.120 --> 00:03:01.360]  因為這段經文有個總結句
[00:03:01.360 --> 00:03:02.760]  就是四十五節
[00:03:02.760 --> 00:03:04.480]  「因為人子來
[00:03:04.480 --> 00:03:06.480]  並不是要受人的服事
[00:03:06.480 --> 00:03:08.240]  乃是要服侍人
[00:03:08.240 --> 00:03:11.160]  並且要捨命作多人的贖價」
[00:03:11.160 --> 00:03:15.760]  其實這一節正正就是《馬學福音》的約節
[00:03:15.760 --> 00:03:19.560]  說明了很多中小學的校訓那一句話
[00:03:19.560 --> 00:03:22.440]  就是「非以逆人乃逆於人」
[00:03:22.440 --> 00:03:24.400]  我們比較熟悉四十五節
[00:03:24.400 --> 00:03:28.520]  但我們卻對上下文的理解往往不太熟悉
[00:03:28.520 --> 00:03:33.320]  為何在討論雅各和約翰向耶穌基督請求時
[00:03:33.320 --> 00:03:36.400]  耶穌的回應卻涉及到服人的問題呢?
[00:03:36.400 --> 00:03:40.680]  為何雅各和約翰明明期望上位
