
[00:00:00.000 --> 00:00:05.460]  史詩記第三章十二至三十節
[00:00:05.460 --> 00:00:08.840]  這個故事你這樣讀了
[00:00:08.840 --> 00:00:11.920]  你想想今天你靈修讀這段聖經
[00:00:11.920 --> 00:00:14.220]  你覺得它在說什麼
[00:00:14.220 --> 00:00:16.880]  完全沒有想法
[00:00:16.880 --> 00:00:20.080]  說真的有些聖經你就這樣靈修
[00:00:20.080 --> 00:00:21.840]  你是不可能明白它在做什麼
[00:00:21.840 --> 00:00:24.000]  所以工作就是牧師
[00:00:24.000 --> 00:00:26.420]  你批我就是做這件事
[00:00:26.420 --> 00:00:30.700]  我們要讀很多東西告訴你
[00:00:30.700 --> 00:00:32.160]  如何去明白這個故事
[00:00:32.160 --> 00:00:33.660]  很有意思
[00:00:33.660 --> 00:00:34.500]  好
[00:00:34.500 --> 00:00:37.160]  我們的題目叫做滿載羞辱的戰士
[00:00:37.160 --> 00:00:40.000]  去到最後你會知道為什麼叫這個題目
[00:00:40.000 --> 00:00:44.200]  叫做Shemsog Warrior
[00:00:44.200 --> 00:00:46.420]  上兩個星期我們開始說
[00:00:46.420 --> 00:00:50.420]  史詩記是一個很特別的一本書
[00:00:50.420 --> 00:00:53.840]  它有一個很特別的文學結構
[00:00:53.840 --> 00:00:55.300]  我們很多時候看史詩記
[00:00:55.300 --> 00:00:59.340]  覺得它好像是一個漫畫
[00:00:59.340 --> 00:01:00.420]  其實不是的
[00:01:00.420 --> 00:01:06.380]  它是一個精心雕琢的文學作品
[00:01:06.380 --> 00:01:08.300]  有三部份
[00:01:08.300 --> 00:01:11.420]  有一個概論
[00:01:11.420 --> 00:01:13.540]  有一個主體
[00:01:13.540 --> 00:01:15.840]  有一個終結
[00:01:15.840 --> 00:01:19.920]  但是每一個部份都是「打孖」來的
[00:01:19.920 --> 00:01:21.880]  兩個不同層次的失敗
[00:01:21.880 --> 00:01:23.500]  這個是它的介紹
[00:01:23.500 --> 00:01:24.380]  它的概論
[00:01:24.380 --> 00:01:26.540]  這兩個不同層次的失敗
[00:01:26.540 --> 00:01:28.920]  一個是軍事上的失敗
[00:01:28.920 --> 00:01:31.760]  另外一個是屬靈上的失敗
[00:01:31.760 --> 00:01:32.800]  也告訴你
[00:01:32.800 --> 00:01:34.460]  他們軍事上最後的失敗
[00:01:34.460 --> 00:01:37.620]  是因為屬靈上的失敗
[00:01:37.620 --> 00:01:39.040]  OK
[00:01:39.040 --> 00:01:40.460]  我想說一件事
[00:01:40.460 --> 00:01:41.920]  你要很小心
[00:01:41.920 --> 00:01:43.540]  你說我知道了林牧師
[00:01:43.540 --> 00:01:45.540]  就是說現在開始
[00:01:45.540 --> 00:01:47.460]  如果我天天做靈修
[00:01:47.460 --> 00:01:48.800]  搞好我屬靈生命
[00:01:48.800 --> 00:01:53.540]  我的工作就會起飛
[00:01:53.540 --> 00:01:55.760]  不是的 當然不是
[00:01:55.760 --> 00:01:57.040]  為什麼不是呢
[00:01:57.040 --> 00:01:59.380]  是因為新藥舊藥的問題
[00:01:59.380 --> 00:02:02.920]  這個是今天我們沒辦法跟你說的
[00:02:02.920 --> 00:02:04.960]  你是不是很用心
[00:02:04.960 --> 00:02:06.340]  中心事主
[00:02:06.340 --> 00:02:08.540]  你好像藥室那樣
[00:02:08.540 --> 00:02:11.040]  由那個很低微的人
[00:02:11.040 --> 00:02:12.660]  做到CEO
[00:02:12.660 --> 00:02:13.380]  不可能
[00:02:13.380 --> 00:02:15.460]  我告訴你不會發生的
[00:02:15.460 --> 00:02:16.040]  為什麼
[00:02:16.040 --> 00:02:17.540]  因為藥室是舊藥
[00:02:17.540 --> 00:02:18.920]  你是新藥
[00:02:18.920 --> 00:02:21.300]  新藥舊藥是一個截然不同的東西
[00:02:21.300 --> 00:02:22.720]  不過今天就不說了
[00:02:22.720 --> 00:02:23.920]  所以我只是想告訴你
[00:02:23.920 --> 00:02:25.880]  不要亂形容
[00:02:25.880 --> 00:02:26.540]  就是說
[00:02:26.540 --> 00:02:29.340]  如果你什麼就可以什麼
[00:02:29.340 --> 00:02:31.800]  兩個不同層次的失敗
[00:02:31.800 --> 00:02:33.180]  去到中間那一步
[00:02:33.180 --> 00:02:36.380]  有兩個持續下降的駝船
[00:02:36.380 --> 00:02:37.260]  OK
[00:02:37.260 --> 00:02:42.340]  到最後有兩個無往為的呼求
[00:02:42.340 --> 00:02:42.920]  OK
