
[00:00:00.000 --> 00:00:06.000]  各位弟兄姊妹朋友,平安!我們先一起祈禱。
[00:00:06.000 --> 00:00:12.000]  祝各位弟兄姊妹朋友,平安!我們先一起祈禱。
[00:00:31.000 --> 00:00:40.000]  上個禮拜我跟大家分享過有關天國的概念,或者我跟大家溫習一下有關天國的概念。
[00:00:40.000 --> 00:00:46.000]  天國有兩個重要的元素,包括第一就是關係。
[00:00:46.000 --> 00:00:56.000]  關係就指上帝做王,在天國裏面上帝做王,人我們就自願成為上帝的子民。
[00:00:56.000 --> 00:01:01.000]  上帝是做了人出來,不是做了芭比公仔。
[00:01:01.000 --> 00:01:12.000]  他給人有自由的,但也盼望人會用我們的自由意志去信服上帝,做天國的子民。
[00:01:12.000 --> 00:01:20.000]  第二個重要的元素就是在這個關係裏面的權利、義務和後果。
[00:01:20.000 --> 00:01:31.000]  上帝是做王,他有權頒佈法例,而他的子民是有義務去進行上帝的法例。
[00:01:31.000 --> 00:01:40.000]  願意進行上帝旨意的人就會得到上帝的祝福,否則就會被上帝懲罰。
[00:01:40.000 --> 00:01:45.000]  最後最嚴重的懲罰就是不能夠留在天父的國裏面。
[00:01:45.000 --> 00:01:53.000]  在舊約裏面,我們可以看到天國的運作時時由於人的背叛,
[00:01:53.000 --> 00:02:00.000]  就是聖經裏面所說的罪,來阻擾了天國的進展。
[00:02:00.000 --> 00:02:05.000]  亞當和夏娃違反了上帝的命令,吃了禁果。
[00:02:05.000 --> 00:02:12.000]  猶太人去到迦南地之後,有時時拜當地人的偶像。
[00:02:12.000 --> 00:02:20.000]  最後上帝藉著巴比倫消滅了猶太國,使他們各禍皆亡,
[00:02:20.000 --> 00:02:28.000]  被巴比倫帝國將猶太人擄去巴比倫和其他地方。
[00:02:28.000 --> 00:02:36.000]  後來有些猶太人想回歸上帝,他們盡力遵守摩西的律法,
[00:02:36.000 --> 00:02:44.000]  但他們又矯枉過正,因此主耶穌來到這個世界就要撥亂歸正,
[00:02:44.000 --> 00:02:53.000]  要建立一群真正願意信服上帝的子民,去完成上帝天父有關天國的計劃。
[00:02:53.000 --> 00:03:00.000]  我也說過在舊約時代,猶太人其實也有天國的概念,
[00:03:00.000 --> 00:03:07.000]  即使他們亡國之後,他們仍然盼望他們的國家可以復興,
[00:03:07.000 --> 00:03:14.000]  他們盼望有一位王,即是救主會降臨,他們叫這位救主為彌賽亞,
[00:03:14.000 --> 00:03:22.000]  亦是新約裏面的基督,這個字的涵義是受禱者的意思。
[00:03:22.000 --> 00:03:33.000]  但是猶太人對彌賽亞的期望和耶穌第一次來到這個世界所要做的事是完全不同的,
[00:03:33.000 --> 00:03:41.000]  他們所盼望的彌賽亞是一位軍事和政治上的強人,
[00:03:41.000 --> 00:03:47.000]  因為他們讀到先知的預言,使他們有這樣的盼望,
[00:03:47.000 --> 00:03:52.000]  或者我和大家看三段都是以賽亞書的預言,
[00:03:52.000 --> 00:03:59.000]  來了解一下為什麼猶太人會盼望一位強人彌賽亞呢?
[00:03:59.000 --> 00:04:05.000]  第一段在以賽亞書54章11至14節,
[00:04:05.000 --> 00:04:13.000]  上主說:耶路撒冷,你這憂患無助的城牙,沒有人來安慰你,
[00:04:13.000 --> 00:04:21.000]  我要用彩色的石頭建立你的基石,用寶石重建你的根基,
[00:04:21.000 --> 00:04:29.000]  我要用紅寶石建造你的樓台,我要用閃亮發光的石頭做城門,
[00:04:29.000 --> 00:04:34.000]  四周的牆都雙滿了珠寶,我要親自教導你的人民,
[00:04:34.000 --> 00:04:40.000]  賜給他們繁榮和平安,正義要使你們強大,
[00:04:40.000 --> 00:04:50.000]  再沒有人來侵略你,使你恐懼,你不再受人欺凌,不遭毀滅。
[00:04:50.000 --> 00:04:54.000]  第二段在以賽亞書61章5至6節,
[00:04:54.000 --> 00:05:01.000]  我的子民,外族人要來看你們方若,他們要耕種你們的土地,
[00:05:01.000 --> 00:05:06.000]  看顧你們的葡萄園,人要認你們是上主的祭司,
[00:05:06.000 --> 00:05:16.000]  要稱你們為上帝的僕人,你們將擁有萬國的財富,享有萬國的榮華。
[00:05:16.000 --> 00:05:23.000]  最後一段在62章2至3節,耶路撒冷,萬國都要看見你的德成,
[00:05:23.000 --> 00:05:29.000]  所有的君王都要看見你的榮耀,你將有一個新名是上主親自替你取的,
[00:05:29.000 --> 00:05:36.000]  你要成為上主手裡美麗的華官,成為上帝手裡的冠冕。
[00:05:36.000 --> 00:05:45.000]  讀到這些先知的預言,我們很難怪耶穌時代的猶太人,
[00:05:45.000 --> 00:05:54.000]  都是盼望一位強人為賽亞,幫助他們復國,並且成為世上的強國。
[00:05:54.000 --> 00:05:59.000]  但是從我們今天看的馬可福音經文,
[00:05:59.000 --> 00:06:06.000]  我們可以明白耶穌第一次來到世上的時候,
[00:06:06.000 --> 00:06:13.000]  祂要完成的使命不是使猶大國復興,成為天下第一大國,
[00:06:13.000 --> 00:06:21.000]  而是要建立天國,建立一群屬於上帝的子民,
[00:06:21.000 --> 00:06:28.000]  祂要達成這個目的,就是一定要解決罪的問題。
[00:06:28.000 --> 00:06:36.000]  今天的經文可以讓我們看到主耶穌向當日的使徒講解祂的使命,
[00:06:36.000 --> 00:06:39.000]  讓我們一起來思想。
[00:06:39.000 --> 00:06:43.000]  今天馬可福音的經文可以分為三段,
[00:06:43.000 --> 00:06:49.000]  第一段是二十二至二十六節,在白菜大要了一位盲人,
[00:06:49.000 --> 00:06:53.000]  二十七至三十節我叫他做門徒考試,
[00:06:53.000 --> 00:06:58.000]  三十一至三十八節就是耶穌的使命。
[00:06:58.000 --> 00:07:02.000]  我們先來思想第一段。
[00:07:02.000 --> 00:07:09.000]  在馬可福音中其實已經記載了耶穌是有行神蹟的能力,
[00:07:09.000 --> 00:07:13.000]  在前面,我們今天看的第八章,前面已經記載了很多,
[00:07:13.000 --> 00:07:18.000]  在第一至第七章我們看到耶穌是曾經醫好過發高燒的人,
