
[00:00:00.000 --> 00:00:01.360]  大英主媒早晨
[00:00:01.360 --> 00:00:03.480]  今天來到跟大家分享信息
[00:00:03.480 --> 00:00:04.480]  一起去敬拜
[00:00:04.480 --> 00:00:05.720]  在敬拜裏面
[00:00:05.720 --> 00:00:06.760]  都很感受到
[00:00:06.760 --> 00:00:08.200]  上帝跟我們一起
[00:00:08.200 --> 00:00:11.520]  在當中親近我們上帝
[00:00:11.520 --> 00:00:14.600]  這個是我們最好的福氣
[00:00:14.600 --> 00:00:16.640]  我們今天講這個題目
[00:00:16.640 --> 00:00:18.840]  就是長不大的吃奶嬰孩
[00:00:18.840 --> 00:00:21.400]  有人說希伯來書很難明白
[00:00:21.400 --> 00:00:24.240]  但是我就覺得
[00:00:24.240 --> 00:00:28.160]  我們不能夠難明白就不講
[00:00:28.160 --> 00:00:30.520]  也需要一班牧者
[00:00:30.520 --> 00:00:32.920]  我們去做多一點的研究
[00:00:32.920 --> 00:00:35.360]  去了解了究竟原文講些什麼
[00:00:35.360 --> 00:00:37.200]  你知道就是我講到
[00:00:37.200 --> 00:00:39.040]  都會很喜歡用其他譯本的
[00:00:39.040 --> 00:00:41.840]  因為其他譯本有不同的風格
[00:00:41.840 --> 00:00:44.240]  亦都可以譯得出
[00:00:44.240 --> 00:00:47.400]  更加明白那段經文的意思
[00:00:47.400 --> 00:00:49.920]  我們都盡量用回中文的譯本
[00:00:49.920 --> 00:00:52.440]  按照原文的解釋去分析
[00:00:52.440 --> 00:00:54.720]  今天希伯來書的作者
[00:00:54.720 --> 00:00:56.760]  一篇其實是很簡單的經文
[00:00:56.760 --> 00:01:00.040]  但是很幫助我們思想
[00:01:00.040 --> 00:01:03.280]  究竟我們基督徒現在的光景是怎樣
[00:01:03.280 --> 00:01:05.600]  我們看看和修本的希伯來書
[00:01:05.600 --> 00:01:08.840]  第五章十一節至六章二節的聖經怎樣說
[00:01:08.840 --> 00:01:10.160]  他輪到這時
[00:01:10.160 --> 00:01:12.440]  就是在講麥基西德之前
[00:01:12.440 --> 00:01:16.080]  講大祭司等等這些題目
[00:01:16.080 --> 00:01:17.600]  我們有好車話要說
[00:01:17.600 --> 00:01:19.000]  可是很難解釋
[00:01:19.000 --> 00:01:21.000]  因為你們聽不進去
[00:01:21.000 --> 00:01:23.680]  按時間說你們早該作教私了
[00:01:23.680 --> 00:01:29.160]  誰知還需要有人將神聖基礎的要道教導你們
[00:01:29.160 --> 00:01:33.520]  你們成了那需要吃奶不能吃乾糧的人
[00:01:33.520 --> 00:01:36.720]  凡只能吃奶的就不屬煉人兒的道理
[00:01:36.720 --> 00:01:38.560]  因為他是嬰孩
[00:01:38.560 --> 00:01:41.440]  唯獨長大成人的才能吃乾糧
[00:01:41.440 --> 00:01:44.000]  他們的心竅因練習而靈活
[00:01:44.000 --> 00:01:46.120]  能分辨善惡了
[00:01:46.120 --> 00:01:49.920]  所以我們應當離開基督道理的基礎
[00:01:49.920 --> 00:01:53.880]  竭力進到成熟的地步不必再立根基
[00:01:53.880 --> 00:01:56.560]  就如懊悔致死的行為
[00:01:56.560 --> 00:01:58.240]  信靠神各用洗禮
[00:01:58.240 --> 00:01:58.920]  按守禮
[00:01:58.920 --> 00:01:59.640]  死人復活
[00:01:59.640 --> 00:02:04.840]  以及永遠的審判等的教導
[00:02:04.840 --> 00:02:05.880]  我們經常都講到
[00:02:05.880 --> 00:02:08.800]  我們每一個基督徒信了耶穌之後
[00:02:08.800 --> 00:02:10.840]  就有一個重生
[00:02:10.840 --> 00:02:11.960]  因為重生的就是
[00:02:11.960 --> 00:02:15.720]  你不單止在神的角度裡面是一個初生的嬰孩
[00:02:15.720 --> 00:02:17.720]  屬靈裡面是一個初生的嬰孩
[00:02:17.720 --> 00:02:19.960]  我們亦都需要一個家庭
[00:02:19.960 --> 00:02:21.160]  去幫助我們
[00:02:21.160 --> 00:02:22.680]  去培育我們
[00:02:22.680 --> 00:02:24.240]  去慢慢的成長
[00:02:24.240 --> 00:02:25.400]  這個就是為什麼
[00:02:25.400 --> 00:02:26.760]  我們要明白的就是
[00:02:26.760 --> 00:02:29.000]  我們的浸泥不單止是
[00:02:29.000 --> 00:02:30.880]  在天國裡面你順著一個見證
[00:02:30.880 --> 00:02:33.600]  也是你受浸加入基督的身體
[00:02:33.600 --> 00:02:35.360]  就是一班的家人
[00:02:35.360 --> 00:02:37.800]  一班的屬靈的家庭裡面的家長
[00:02:37.800 --> 00:02:38.840]  兄弟姐妹
[00:02:38.840 --> 00:02:40.120]  能夠提攜你
[00:02:40.120 --> 00:02:40.880]  幫助你
[00:02:40.880 --> 00:02:42.040]  培育你
[00:02:42.040 --> 00:02:43.000]  鼓勵你
[00:02:43.000 --> 00:02:43.760]  扶植你
[00:02:43.760 --> 00:02:46.720]  慢慢的長大成人
[00:02:46.720 --> 00:02:48.680]  以前我在講堂裡面也講過
[00:02:48.680 --> 00:02:49.360]  你都知道的
[00:02:49.360 --> 00:02:50.680]  但是有些如果是新的來賓
[00:02:50.680 --> 00:02:51.960]  或者沒有聽過的
[00:02:51.960 --> 00:02:56.200]  我想分享一下我以前在大學讀完書之後
[00:02:56.200 --> 00:02:57.880]  我的第一份工作
[00:02:57.880 --> 00:03:00.200]  我第一份工作是做什麼呢
[00:03:00.200 --> 00:03:01.600]  就是
