
[00:00:00.000 --> 00:00:05.000]  現代科技也不錯,可以有這種方式
[00:00:05.000 --> 00:00:12.000]  其實在去年,當我去編排今年的講壇時
[00:00:12.000 --> 00:00:14.000]  真是意想不到
[00:00:14.000 --> 00:00:21.000]  到了這一刻,有這個新型冠狀病毒的疫情這麼厲害
[00:00:21.000 --> 00:00:29.000]  重演2003年,戴著口罩一起敬拜的一幕
[00:00:29.000 --> 00:00:34.000]  我不知道你2003年信了耶穌沒有
[00:00:34.000 --> 00:00:42.000]  如果你已經信了主,你應該記得這個場景
[00:00:42.000 --> 00:00:52.000]  這次比我更深刻印象的,其實不是有很多人死亡
[00:00:52.000 --> 00:00:58.000]  反而是在社交媒體裏,在電視新聞當中
[00:00:58.000 --> 00:01:05.000]  每一天都見到很多人很努力地去脫口罩
[00:01:05.000 --> 00:01:10.000]  搶米、搶蔬菜,還有什麼?
[00:01:10.000 --> 00:01:15.000]  廁紙,真是匪夷所思
[00:01:15.000 --> 00:01:24.000]  人心裏面的平安,到了這一刻,可以說是蕩然無存
[00:01:24.000 --> 00:01:32.000]  未信耶穌的,可能都會有很多不安的感覺
[00:01:32.000 --> 00:01:40.000]  但是對於認識了主的你和我,其實會不會有不同呢?
[00:01:40.000 --> 00:01:43.000]  面對危難的時候
[00:01:43.000 --> 00:01:52.000]  我們能不能夠體會到這位危難中的神仍然在這裏
[00:01:52.000 --> 00:01:59.000]  很盼望在今天用這段《撒慕爾記》上
[00:01:59.000 --> 00:02:06.000]  21章第一至第六節和第八至第九節
[00:02:06.000 --> 00:02:12.000]  這段經文成為我們的鼓勵和提醒
[00:02:12.000 --> 00:02:19.000]  在分享這段聖經之前,想跟大家讀一讀這段經文
[00:02:19.000 --> 00:02:26.000]  「究竟我們同在了那伯祭司阿希米勒那裏?」
[00:02:26.000 --> 00:02:30.000]  阿希米勒戰戰兢兢地出來迎接他
[00:02:30.000 --> 00:02:35.000]  問他說:「你為什麼獨自來,沒有人跟隨呢?」
[00:02:35.000 --> 00:02:41.000]  大衛回答祭司阿希米勒說:「王吩咐我一件事說
[00:02:41.000 --> 00:02:47.000]  我差遣你委託你的這件事,不要使人知道
[00:02:47.000 --> 00:02:52.000]  故此我已派定少年人在某處等候我
[00:02:52.000 --> 00:03:00.000]  現在你手下有什麼,求你給我五個餅,或是別樣的食物」
[00:03:00.000 --> 00:03:06.000]  祭司對大衛說:「我手下沒有尋常的餅,只有聖餅
[00:03:06.000 --> 00:03:11.000]  若少年人沒有親近婦人,才可以給」
[00:03:11.000 --> 00:03:17.000]  大衛對祭司說:「實在若有三日我們沒有親近婦人
[00:03:17.000 --> 00:03:21.000]  我出來的時候,雖是尋常行路
[00:03:21.000 --> 00:03:28.000]  少年人的氣命還是潔淨的,何況今日不更是潔淨嗎?」
[00:03:28.000 --> 00:03:30.000]  祭司就拿聖餅給他
[00:03:30.000 --> 00:03:36.000]  「因為在那裏沒有別樣餅,只有更換新餅
[00:03:36.000 --> 00:03:40.000]  從耶護華面前切下來的陳切餅」
[00:03:40.000 --> 00:03:46.000]  大衛問阿希米勒說:「你手下有槍,有刀沒有
[00:03:46.000 --> 00:03:52.000]  因為王的事甚急,連刀劍器械我都沒有帶」
[00:03:52.000 --> 00:03:58.000]  祭司說:「你在以拉谷殺菲利士人哥利亞的那刀在這裏
[00:03:58.000 --> 00:04:02.000]  果在布中,放在以弗德後邊
[00:04:02.000 --> 00:04:08.000]  你就可以拿去,除此以外再沒有別的」
[00:04:08.000 --> 00:04:13.000]  大衛說:「這刀沒有可比的,求你給我」
[00:04:13.000 --> 00:04:16.000]  在上幾次講道的時候
