
[00:00:00.000 --> 00:00:02.000]  各位弟兄平安
[00:00:02.000 --> 00:00:07.700]  在新的一年 恭祝大家新年夢幅
[00:00:07.700 --> 00:00:11.420]  昨天是2022年的最後一天
[00:00:11.420 --> 00:00:16.660]  不知道你有沒有去倒數呢
[00:00:16.660 --> 00:00:19.700]  還有不知道你會不會回顧一下
[00:00:19.700 --> 00:00:23.300]  你去年生活得怎樣呢
[00:00:23.300 --> 00:00:25.860]  有沒有想過你滿不滿意
[00:00:25.860 --> 00:00:29.620]  去年整年的經歷呢
[00:00:29.620 --> 00:00:34.740]  不知道你會不會有我一個的感覺
[00:00:34.740 --> 00:00:37.620]  就是生活實在過得太快
[00:00:37.620 --> 00:00:40.540]  未有時間去體會 去經歷
[00:00:40.540 --> 00:00:44.060]  2022年這樣就過去了
[00:00:44.060 --> 00:00:50.140]  很簡單 上星期政府宣佈放寬防疫措施
[00:00:50.140 --> 00:00:54.660]  當你回想的時候 我們戴口罩好像還是
[00:00:54.660 --> 00:00:56.460]  雖然現在已經過了三年
[00:00:56.460 --> 00:00:59.140]  但好像是昨天的事
[00:00:59.140 --> 00:01:01.500]  時間過得真的很快
[00:01:01.500 --> 00:01:05.660]  所以當我們去核期2023年第一天的時候
[00:01:05.660 --> 00:01:10.340]  有沒有想過你想怎樣去過呢
[00:01:10.340 --> 00:01:14.460]  繼續被身邊的事推著自己去走
[00:01:14.460 --> 00:01:15.740]  我不知道大家有沒有試過
[00:01:15.740 --> 00:01:17.540]  當上班下班的時候
[00:01:17.540 --> 00:01:22.060]  你走在地鐵站裡面的時候
[00:01:22.060 --> 00:01:25.500]  你會覺得自己不用走到被人推著走
[00:01:25.500 --> 00:01:28.020]  如果你走得慢一點的時候
[00:01:28.020 --> 00:01:29.460]  你會給人一個感覺
[00:01:29.460 --> 00:01:33.140]  你是阻礙著地球轉
[00:01:33.140 --> 00:01:36.020]  那我們是想繼續被身邊的事
[00:01:36.020 --> 00:01:38.900]  去推自己向前走
[00:01:38.900 --> 00:01:44.100]  還是我們可以做自己生命的話事人呢
[00:01:44.100 --> 00:01:47.500]  我們能不能夠努力去過自己想要的生活
[00:01:47.500 --> 00:01:52.540]  去過上帝想要我們過的生活呢
[00:01:52.540 --> 00:01:54.460]  不過你我也知道
[00:01:54.460 --> 00:01:58.220]  生活在這個急促的城市
[00:01:58.220 --> 00:01:59.980]  有一些很卑微的願望
[00:01:59.980 --> 00:02:03.460]  例如是多點Me Time
[00:02:03.460 --> 00:02:07.700]  多點跟家人、朋友、弟兄姊妹
[00:02:07.700 --> 00:02:09.380]  特別是跟上帝
[00:02:09.380 --> 00:02:12.700]  有多點時間空間去建立心靈的關係
[00:02:12.700 --> 00:02:15.620]  其實都不是很容易達成
[00:02:15.620 --> 00:02:17.140]  我們的時間總是好像
[00:02:17.140 --> 00:02:20.100]  被很多東西很多東西去佔據
[00:02:20.100 --> 00:02:22.380]  整天都忙忙碌碌
[00:02:22.380 --> 00:02:24.820]  整天就衝衝衝
[00:02:24.820 --> 00:02:26.260]  追追趕趕
[00:02:26.260 --> 00:02:29.340]  完成一個任務又一個任務
[00:02:29.340 --> 00:02:32.420]  我們覺得自己好像做了很多事
[00:02:32.420 --> 00:02:35.100]  不過當我們靜下來的時候
[00:02:35.100 --> 00:02:36.980]  不知道你有沒有發覺
[00:02:36.980 --> 00:02:38.700]  除了很累
[00:02:38.700 --> 00:02:43.380]  仍然是很累
[00:02:43.380 --> 00:02:45.740]  觀龍地鐵站有一間店
[00:02:45.740 --> 00:02:48.380]  它賣泡芙
[00:02:48.380 --> 00:02:50.500]  不知道大家有沒有吃過呢
