
[00:00:00.000 --> 00:00:04.000]  我今日的講題是「戰勝人生下半場」
[00:00:04.000 --> 00:00:07.000]  到底甚麼是人生下半場呢?
[00:00:07.000 --> 00:00:13.000]  有人將一生分作三個二十五年
[00:00:13.000 --> 00:00:15.000]  頭一個二十五年
[00:00:15.000 --> 00:00:19.000]  人就是為著學業、考試
[00:00:19.000 --> 00:00:22.000]  為將來打穩基礎
[00:00:22.000 --> 00:00:24.000]  第二個二十五年
[00:00:24.000 --> 00:00:28.000]  就是追求事業的成功
[00:00:28.000 --> 00:00:33.000]  建立事業基礎、建立家庭、養兒育女
[00:00:33.000 --> 00:00:36.000]  第三個二十五年
[00:00:36.000 --> 00:00:41.000]  就是準備或者踏入退休的狀態
[00:00:41.000 --> 00:00:45.000]  這個就是我們所講的人生下半場
[00:00:45.000 --> 00:00:49.000]  今日我想和大家一起在全道書這本書裏
[00:00:49.000 --> 00:00:55.000]  去看看到底聖經又怎樣看人生下半場這個問題呢?
[00:00:55.000 --> 00:01:03.000]  到底我們可以如何為我們進入第三個二十五年做好準備?
[00:01:03.000 --> 00:01:09.000]  使我們的人生下半場繼續精彩
[00:01:09.000 --> 00:01:12.000]  繼續為上帝打美好的仗
[00:01:12.000 --> 00:01:17.000]  講到這裏可能在座的頭兩個二十五年
[00:01:17.000 --> 00:01:20.000]  我見到很多弟兄姊妹都是頭兩個二十五年
[00:01:20.000 --> 00:01:24.000]  可能你會想今日那篇道不關我的事
[00:01:24.000 --> 00:01:26.000]  我可以睡覺休息
[00:01:26.000 --> 00:01:28.000]  如果你是這樣想就錯了
[00:01:28.000 --> 00:01:37.000]  因為有本書叫做人生下半場
[00:01:37.000 --> 00:01:39.000]  可能你們當中有些弟兄姊妹都看過
[00:01:39.000 --> 00:01:41.000]  一本幾好的書值得看
[00:01:41.000 --> 00:01:44.000]  在裏面作者有講過一句說話
[00:01:44.000 --> 00:01:49.000]  他說決定一場球賽的勝負
[00:01:49.000 --> 00:01:53.000]  是決定在下半場的
[00:01:53.000 --> 00:01:57.000]  取決於下半場而不是取決於上半場
[00:01:57.000 --> 00:02:01.000]  上半場如果有甚麼差池錯了
[00:02:01.000 --> 00:02:04.000]  還可以在下半場補救
[00:02:04.000 --> 00:02:09.000]  但如果下半場出錯就很難挽回
[00:02:09.000 --> 00:02:14.000]  所以今日可能你仍然活在上半場
[00:02:14.000 --> 00:02:19.000]  但如果你想你整個人生可以無憾的話
[00:02:19.000 --> 00:02:22.000]  就不能只顧著上半場
[00:02:22.000 --> 00:02:25.000]  亦要為下半場做好準備
[00:02:25.000 --> 00:02:29.000]  而這亦可以作為我們今日人生的方向
[00:02:29.000 --> 00:02:34.000]  作為我們人生的目標主導我們現在的生活
[00:02:34.000 --> 00:02:41.000]  剛才的經文是來自傳道書
[00:02:41.000 --> 00:02:46.000]  而傳道書和傳卷書可以分為三個部分
[00:02:46.000 --> 00:02:55.000]  第一個部分就是前言
[00:02:55.000 --> 00:02:58.000]  傳卷書的首十一章就是前言
[00:02:58.000 --> 00:03:06.000]  接著就是一章的十二節至十二章七節
[00:03:06.000 --> 00:03:12.000]  即是說這卷書差不多九成都是中間的主體部分
[00:03:12.000 --> 00:03:17.000]  最後一段就是十二章的八節至十四節
[00:03:17.000 --> 00:03:19.000]  為何會這樣分呢
[00:03:19.000 --> 00:03:23.000]  原因是中間主體部分
[00:03:23.000 --> 00:03:28.000]  作者是用「我」第一稱來自稱
[00:03:28.000 --> 00:03:33.000]  但其他兩部分是用第三身稱
[00:03:33.000 --> 00:03:37.000]  稱呼主要作者為傳道者
