
[00:00:00.000 --> 00:00:02.920]  我們今天要繼續的來看
[00:00:02.920 --> 00:00:05.320]  啟示錄的第二間教會
[00:00:05.320 --> 00:00:07.320]  史美拉教會
[00:00:07.320 --> 00:00:10.680]  我們都知道這一個
[00:00:10.680 --> 00:00:12.320]  啟示錄這七個教會
[00:00:12.320 --> 00:00:13.560]  我們在前面講過
[00:00:13.560 --> 00:00:16.720]  它預表著今天歷史歷代的教會
[00:00:16.720 --> 00:00:18.000]  這七種的教會
[00:00:18.000 --> 00:00:19.320]  你可以看見
[00:00:19.320 --> 00:00:22.600]  只有兩間教會
[00:00:22.600 --> 00:00:25.000]  是沒有被主責備的
[00:00:25.000 --> 00:00:26.200]  這七種的教會
[00:00:26.200 --> 00:00:30.600]  只有兩間教會是沒有被主責備的
[00:00:30.600 --> 00:00:32.880]  其他的教會都被主責備
[00:00:32.880 --> 00:00:35.880]  那這兩間沒有被主責備的教會
[00:00:35.880 --> 00:00:40.080]  其中一間就是史美拉教會
[00:00:40.080 --> 00:00:41.720]  我們看一下這個地圖上面
[00:00:41.720 --> 00:00:43.200]  裡面可以看見
[00:00:43.200 --> 00:00:45.480]  這個史美拉教會
[00:00:45.480 --> 00:00:47.000]  就在這個七個教會中間
[00:00:47.000 --> 00:00:51.040]  現在都是在土耳其的境內
[00:00:51.040 --> 00:00:52.720]  所以我們上次新約之旅的時候
[00:00:52.720 --> 00:00:53.720]  我們到了這些地方
[00:00:53.720 --> 00:00:55.600]  去看了這七間教會
[00:00:55.600 --> 00:00:58.200]  那這些教會其實到現在
[00:00:58.200 --> 00:01:01.840]  你在那邊去找那所謂的那一間教會的時候
[00:01:01.840 --> 00:01:03.440]  事實上你是找不到的
[00:01:03.440 --> 00:01:06.960]  你看到的都是一些殘餘斷壁
[00:01:06.960 --> 00:01:11.960]  但是確實在當初約翰寫這個書信的時候
[00:01:11.960 --> 00:01:15.520]  這七個代表這個地方的教會
[00:01:15.520 --> 00:01:17.880]  都是存在在那個地方的
[00:01:17.880 --> 00:01:18.480]  那麼丁慈梅
[00:01:18.480 --> 00:01:20.680]  我們今天要看這個史美拉教會
[00:01:20.680 --> 00:01:21.520]  史美拉教會
[00:01:21.520 --> 00:01:22.360]  剛才我們講
[00:01:22.360 --> 00:01:25.160]  它是一個沒有被主責備的教會
[00:01:25.160 --> 00:01:26.080]  換句話說
[00:01:26.080 --> 00:01:28.720]  如果你今天想要找一個完美教會
[00:01:28.720 --> 00:01:30.400]  你會找什麼教會
[00:01:30.400 --> 00:01:33.280]  可能你會想說要找耶路撒冷教會
[00:01:33.280 --> 00:01:34.200]  有人說沒有
[00:01:34.200 --> 00:01:37.240]  我想要找安提阿教會
[00:01:37.240 --> 00:01:37.960]  還有什麼教會
[00:01:37.960 --> 00:01:42.600]  實際上你覺得是你想要找的一個教會
[00:01:42.600 --> 00:01:44.120]  你會不會去找一個教會
[00:01:44.120 --> 00:01:47.480]  像史美拉這樣教會呢
[00:01:47.480 --> 00:01:49.440]  你會不會在這個教會裡面
[00:01:49.440 --> 00:01:51.440]  找到你所想要的呢
[00:01:51.440 --> 00:01:53.680]  你到底想要的是一個什麼樣的教會
[00:01:53.680 --> 00:01:55.280]  才叫理想教會呢
[00:01:55.280 --> 00:01:58.800]  我覺得當我在這裡預備這個信息的時候
[00:01:58.800 --> 00:01:59.880]  就讓我思想
[00:01:59.880 --> 00:02:02.920]  今天我們到底在這邊找什麼教會
[00:02:02.920 --> 00:02:03.880]  對我們傳道人來講
[00:02:03.880 --> 00:02:04.800]  我們也會問說
[00:02:04.800 --> 00:02:07.920]  我們到底要建造一個什麼教會
[00:02:07.920 --> 00:02:11.360]  我們說我們要建造一個榮耀的教會
[00:02:11.360 --> 00:02:13.520]  什麼叫榮耀教會
[00:02:13.520 --> 00:02:14.840]  如果今天你講榮耀教會
[00:02:14.840 --> 00:02:17.680]  大概你想到就是一個大教會
[00:02:17.680 --> 00:02:19.760]  所謂的Mega Church
[00:02:19.760 --> 00:02:21.560]  萬人教會
[00:02:21.560 --> 00:02:24.120]  甚至幾十萬人教會
[00:02:24.120 --> 00:02:27.320]  我們看見有很強壯的
[00:02:27.320 --> 00:02:31.240]  有很聲勢浩大的師班
[00:02:31.240 --> 00:02:34.800]  有很好的敬拜團
[00:02:34.800 --> 00:02:44.360]  在上禪我看到有一些在國外我去不到的時候
[00:02:44.360 --> 00:02:46.120]  有看到有一些國外的教會
[00:02:46.120 --> 00:02:47.960]  有一些大的教會
[00:02:47.960 --> 00:02:49.760]  他們一敬拜的時候
[00:02:49.760 --> 00:02:52.560]  這個台上面是幾十個人
[00:02:52.560 --> 00:02:55.200]  三四十個人在那邊一起在敬拜的
[00:02:55.200 --> 00:02:56.480]  那很壯觀
[00:02:56.480 --> 00:02:58.280]  那你教會要夠大你才可能
[00:02:58.280 --> 00:03:00.320]  有些小教會只有小貓兩三隻
[00:03:00.320 --> 00:03:02.280]  他也不可能這樣子敬拜
[00:03:02.280 --> 00:03:07.160]  那到底我們今天是要建造一個什麼教會呢
[00:03:07.160 --> 00:03:08.680]  那我不敢講說
[00:03:08.680 --> 00:03:11.600]  斯美達教會就是一間完美的教會
[00:03:11.600 --> 00:03:14.280]  但是斯美達教會在上帝的眼中
[00:03:14.280 --> 00:03:15.720]  在主的眼中
[00:03:15.720 --> 00:03:18.440]  是一間被主所稱讚
[00:03:18.440 --> 00:03:21.080]  沒有被主所責備的教會
[00:03:21.080 --> 00:03:25.000]  這個教會為什麼主沒有責備他
[00:03:25.000 --> 00:03:28.800]  這個教會到底是怎麼樣一個教會呢
[00:03:28.800 --> 00:03:30.440]  我們看看這個斯美達教會
[00:03:30.440 --> 00:03:33.320]  它事實上現在是
[00:03:33.320 --> 00:03:38.040]  確實是在土耳其的一個第三大城
[00:03:38.040 --> 00:03:40.440]  這個叫伊斯梅爾
[00:03:40.440 --> 00:03:42.640]  這是這個大城
[00:03:42.640 --> 00:03:45.200]  那麼它這個location是非常好
[00:03:45.200 --> 00:03:47.080]  它面向海灣
[00:03:47.080 --> 00:03:52.120]  所以是一個非常美麗的一個城市
[00:03:52.120 --> 00:03:55.360]  但是這一個美麗的城市是它的特點
