
[00:00:00.000 --> 00:00:03.000]  今天給兄姊妹分享的題目是
[00:00:03.000 --> 00:00:06.000]  不要怕 只要信
[00:00:06.000 --> 00:00:09.000]  那在剛才我們所念的這一段的經文裡面
[00:00:09.000 --> 00:00:12.000]  其實講了兩個的故事
[00:00:12.000 --> 00:00:15.000]  不過這兩個故事非常的有關聯
[00:00:15.000 --> 00:00:16.000]  待會我們來看一下
[00:00:16.000 --> 00:00:19.000]  這兩個故事他們有什麼樣的關聯
[00:00:19.000 --> 00:00:22.000]  給我們有什麼樣的一些提醒
[00:00:22.000 --> 00:00:25.000]  那我不曉得兄姊妹
[00:00:25.000 --> 00:00:27.000]  你或者你的家人
[00:00:27.000 --> 00:00:31.000]  有沒有一些是長期病患的
[00:00:31.000 --> 00:00:34.000]  就是他患一些病
[00:00:34.000 --> 00:00:37.000]  醫治很久很久可是都沒有治好的
[00:00:37.000 --> 00:00:39.000]  那我自己呢
[00:00:39.000 --> 00:00:42.000]  也算是一個長期病患者
[00:00:42.000 --> 00:00:44.000]  可能你不知道
[00:00:44.000 --> 00:00:45.000]  看起來好像沒什麼問題
[00:00:45.000 --> 00:00:47.000]  其實我的牙齒很不好
[00:00:47.000 --> 00:00:49.000]  那經常要去看牙醫
[00:00:49.000 --> 00:00:52.000]  所以我有些時候我就覺得很煩
[00:00:52.000 --> 00:00:54.000]  然後也灰心
[00:00:54.000 --> 00:00:56.000]  因為牙齒老是不好
[00:00:56.000 --> 00:00:57.000]  吃飯又慢
[00:00:57.000 --> 00:01:00.000]  因為咬東西的時候老是不舒服
[00:01:00.000 --> 00:01:02.000]  老是要去檢查
[00:01:02.000 --> 00:01:06.000]  我記得我讀大學的時候開始
[00:01:06.000 --> 00:01:08.000]  就經常去看牙醫
[00:01:08.000 --> 00:01:09.000]  那個牙醫都覺得說
[00:01:09.000 --> 00:01:12.000]  你的牙齒天生就是有缺陷的
[00:01:12.000 --> 00:01:14.000]  所以你可能要花很多時間
[00:01:14.000 --> 00:01:17.000]  在牙齒的這個治理上面
[00:01:17.000 --> 00:01:19.000]  那到了後來我在香港
[00:01:19.000 --> 00:01:20.000]  來到這邊我發現
[00:01:20.000 --> 00:01:22.000]  原來看牙醫這麼貴
[00:01:22.000 --> 00:01:23.000]  後來我沒有辦法
[00:01:23.000 --> 00:01:27.000]  我就跑到那個深圳或者東莞去看牙醫
[00:01:27.000 --> 00:01:28.000]  那到現在其實
[00:01:28.000 --> 00:01:32.000]  還是反反覆覆經常要去處理
[00:01:32.000 --> 00:01:33.000]  還是很不好
[00:01:33.000 --> 00:01:34.000]  所以對我來講
[00:01:34.000 --> 00:01:36.000]  我覺得我就是一個長期病患者
[00:01:36.000 --> 00:01:38.000]  我很希望說我的牙齒可以
[00:01:38.000 --> 00:01:40.000]  可以真的能夠被治好
[00:01:40.000 --> 00:01:42.000]  能夠不要那麼麻煩
[00:01:42.000 --> 00:01:44.000]  整天要去看牙醫
[00:01:44.000 --> 00:01:46.000]  那所以當我讀這段經文的時候
[00:01:46.000 --> 00:01:48.000]  我就特別有感觸
[00:01:48.000 --> 00:01:50.000]  是因為這裡講到有一個
[00:01:50.000 --> 00:01:53.000]  換血肉的女人
[00:01:53.000 --> 00:01:56.000]  她換血肉12年的時間非常的長
[00:01:56.000 --> 00:01:57.000]  不過呢
[00:01:57.000 --> 00:02:00.000]  當她遇到耶穌的時候
[00:02:00.000 --> 00:02:03.000]  她的生命發生了很大的改變
[00:02:03.000 --> 00:02:05.000]  那今天我想跟大家分享
[00:02:05.000 --> 00:02:06.000]  主題剛才有講
[00:02:06.000 --> 00:02:08.000]  不要怕只要信
[00:02:08.000 --> 00:02:11.000]  那我想這兩個的故事裡面
[00:02:11.000 --> 00:02:14.000]  包括這個血肉的婦人
[00:02:14.000 --> 00:02:16.000]  還是那個雅魯
[00:02:16.000 --> 00:02:18.000]  就是那個管會堂的人
[00:02:18.000 --> 00:02:20.000]  他死了一個女兒
[00:02:20.000 --> 00:02:21.000]  可是被耶穌救活了
[00:02:21.000 --> 00:02:24.000]  那這兩個人他們有共同的特點
[00:02:24.000 --> 00:02:26.000]  首先第一個
[00:02:26.000 --> 00:02:29.000]  他們在遇到耶穌的時候
[00:02:29.000 --> 00:02:32.000]  他們都承認自己的軟弱
[00:02:32.000 --> 00:02:35.000]  我想一個人在神的面前
[00:02:35.000 --> 00:02:36.000]  承認自己的軟弱
[00:02:36.000 --> 00:02:38.000]  是非常重要的事情
