
[00:00:00.000 --> 00:00:03.100]  有一本書叫做《咖啡豆思維》
[00:00:03.100 --> 00:00:04.500]  在這本書裏面
[00:00:04.500 --> 00:00:08.500]  有一個老師請他的學生回家做一個實驗
[00:00:08.500 --> 00:00:10.200]  請他將三樣東西
[00:00:10.200 --> 00:00:15.400]  就是包括紅蘿蔔、雞蛋和咖啡豆
[00:00:15.400 --> 00:00:19.100]  分別放在一鍋煲得很滾的滾水裏面
[00:00:19.100 --> 00:00:21.500]  看看他們的變化
[00:00:21.500 --> 00:00:24.300]  第二天學生就回來跟老師說
[00:00:24.300 --> 00:00:27.600]  那些紅蘿蔔就越煲越腍
[00:00:27.600 --> 00:00:29.200]  就越煲越爛
[00:00:29.200 --> 00:00:32.300]  那些雞蛋就由生蛋煲成熟蛋
[00:00:32.300 --> 00:00:34.600]  就越煲越僵硬
[00:00:34.600 --> 00:00:37.100]  那些咖啡豆就相反
[00:00:37.100 --> 00:00:38.700]  它本質沒有改變
[00:00:38.700 --> 00:00:43.100]  反而令到它成為一杯香濃的咖啡
[00:00:43.100 --> 00:00:46.100]  這個老師就問了學生
[00:00:46.100 --> 00:00:52.200]  你想做紅蘿蔔、雞蛋還是咖啡豆?
[00:00:52.200 --> 00:00:55.300]  這鍋滾水就等於人生的苦難
[00:00:55.300 --> 00:00:59.800]  又殘酷、又艱難、又大壓力
[00:00:59.800 --> 00:01:02.600]  那些紅蘿蔔越煲越爛
[00:01:02.600 --> 00:01:09.000]  就代表一個人被苦難打敗一蹶不振
[00:01:09.000 --> 00:01:12.600]  那些雞蛋越煲就越堅硬
[00:01:12.600 --> 00:01:17.000]  代表一個人被苦難磨練、折磨
[00:01:17.000 --> 00:01:22.900]  他的內心變得越來越冷漠、冷酷無情
[00:01:22.900 --> 00:01:28.200]  那些咖啡豆它不但本質不變
[00:01:28.200 --> 00:01:32.000]  它反而將它變成一杯香濃的咖啡
[00:01:32.000 --> 00:01:35.100]  是代表人不被苦難打敗
[00:01:35.100 --> 00:01:39.000]  它內裡生生發出一種能力
[00:01:39.000 --> 00:01:41.400]  改變它周圍的環境
[00:01:41.400 --> 00:01:43.400]  這種能力從何而來?
[00:01:43.400 --> 00:01:48.400]  我很深信是上帝與我們同在的能力
[00:01:48.400 --> 00:01:49.800]  這個咖啡豆的比喻
[00:01:49.800 --> 00:01:53.600]  正好形容今天我們講到的主角約瑟
[00:01:53.600 --> 00:01:55.000]  約瑟是瓦割
