
[00:00:00.000 --> 00:00:01.700]  第十八件說
[00:00:01.700 --> 00:00:04.900]  然而我要因耶華歡心
[00:00:04.900 --> 00:00:07.300]  因救我的神喜樂
[00:00:07.300 --> 00:00:09.700]  我們今天的信息的題目就是
[00:00:09.700 --> 00:00:13.100]  因主歡心
[00:00:13.100 --> 00:00:18.300]  我們不太讀到小仙之書
[00:00:18.300 --> 00:00:21.300]  不太讀到小仙之書
[00:00:21.300 --> 00:00:28.100]  小仙之書裡面也是有很豐富的內容
[00:00:28.100 --> 00:00:31.600]  我們先來看一看
[00:00:31.600 --> 00:00:36.100]  仙之書 小仙之書裡頭有兩個仙之
[00:00:36.100 --> 00:00:40.600]  一個是那洪 一個是哈巴古
[00:00:40.600 --> 00:00:44.700]  他們都是差不多同一個時代
[00:00:44.700 --> 00:00:50.100]  前後隔開沒有幾十年的仙之
[00:00:50.100 --> 00:00:54.100]  在以色列國 在所羅門的時候
[00:00:54.100 --> 00:00:58.600]  死了以後他們就分裂了成為兩個國
[00:00:58.600 --> 00:01:02.100]  一個是南國 一個是北國
[00:01:02.100 --> 00:01:05.400]  北國就是以色列國
[00:01:05.400 --> 00:01:09.600]  南國就叫做猶大國
[00:01:09.600 --> 00:01:13.700]  北國佔的地方人比較多些
[00:01:13.700 --> 00:01:15.400]  他們有十個支派
[00:01:15.400 --> 00:01:18.900]  南國猶大國人少一點
[00:01:18.900 --> 00:01:27.400]  有兩個支派 就是猶大支派跟邊安民支派
[00:01:27.400 --> 00:01:31.700]  北國是先王國的
[00:01:31.700 --> 00:01:35.900]  那個時候把他滅掉的國是亞蘇國
[00:01:35.900 --> 00:01:39.700]  亞蘇國就在現在伊拉克的北部
[00:01:39.700 --> 00:01:45.500]  他是先把這個亞蘇國 把以色列國滅掉的
[00:01:45.500 --> 00:01:49.700]  是在公元722年
[00:01:49.700 --> 00:01:53.200]  南國就比較多一點時間
[00:01:53.200 --> 00:01:57.000]  過了一百多年以後才王國的
[00:01:57.000 --> 00:02:01.300]  他是被巴比倫所滅掉的
[00:02:01.300 --> 00:02:04.200]  巴比倫也就是現在伊拉克的地方
[00:02:04.200 --> 00:02:08.800]  他是比較偏向伊拉克的南部
[00:02:08.800 --> 00:02:12.400]  所以就是在公元586年
[00:02:12.400 --> 00:02:15.200]  如果我們讀舊約歷史的話
[00:02:15.200 --> 00:02:19.000]  這個猶大國 以色列國跟猶大國
[00:02:19.000 --> 00:02:22.000]  最後這兩國都亡的最後時間
[00:02:22.000 --> 00:02:25.900]  586年公元前
[00:02:25.900 --> 00:02:28.400]  你看現在有兩千五百多年
[00:02:28.400 --> 00:02:33.200]  這個數字很重要 586年
[00:02:33.200 --> 00:02:36.600]  那麼在小先知書當中
[00:02:36.600 --> 00:02:40.700]  納弘書跟哈巴圖書
[00:02:40.700 --> 00:02:44.400]  可以說他們是一組姐妹書
[00:02:44.400 --> 00:02:48.400]  因為他們雖然是相隔三十多年
[00:02:48.400 --> 00:02:54.000]  但是他們都是分別說到兩個強國
[00:02:54.000 --> 00:02:57.900]  當時一個亞蘇國還有一個巴比倫國
[00:02:57.900 --> 00:03:01.000]  他們是怎麼樣的情形
[00:03:01.000 --> 00:03:04.600]  有一個國他們是要滅亡的
[00:03:04.600 --> 00:03:06.100]  這就是亞蘇國
[00:03:06.100 --> 00:03:10.000]  所以納弘他所講的就是預言
[00:03:10.000 --> 00:03:13.700]  這個亞蘇國將來要滅亡
[00:03:13.700 --> 00:03:18.900]  果不然在納弘書所預言的以後
[00:03:18.900 --> 00:03:22.700]  二十多年亞蘇國很強大的
[00:03:22.700 --> 00:03:28.000]  當時很強大的一個帝國就滅亡了
[00:03:28.000 --> 00:03:33.000]  所以這個納弘是講亞蘇的滅亡
[00:03:33.000 --> 00:03:36.600]  那到過了三十多年以後
[00:03:36.600 --> 00:03:39.900]  哈巴圖的先知神把他醒起來了
[00:03:39.900 --> 00:03:43.700]  他就寫了哈巴圖書預言
[00:03:43.700 --> 00:03:48.500]  這個巴比倫他要起來
[00:03:48.500 --> 00:03:53.300]  那麼也是他本來不是一個很大的一個國家
[00:03:53.300 --> 00:03:55.400]  在亞蘇國很興旺的時候
[00:03:55.400 --> 00:04:01.500]  他不過就是伊拉克一個不太大的一個城市
[00:04:01.500 --> 00:04:07.000]  但是神已經接著先知哈巴圖預言
[00:04:07.000 --> 00:04:13.900]  將來有一天巴比倫國要把亞蘇國滅掉
[00:04:13.900 --> 00:04:16.700]  也要把猶大國滅掉
[00:04:16.700 --> 00:04:22.200]  這個我們看到這個是哈巴圖書預言
[00:04:22.200 --> 00:04:26.300]  神接著他預言巴比倫國他要興起
[00:04:26.300 --> 00:04:31.300]  雖然看起來好像現在是一個不太重要的一個國家
[00:04:31.300 --> 00:04:34.900]  但是他將來要起來
[00:04:34.900 --> 00:04:38.000]  他要把猶大國滅掉
