
[00:00:00.000 --> 00:00:04.900]  那麼又到這個時候了,我們快要到受苦節和復活節的時候了
[00:00:04.900 --> 00:00:11.000]  所以我們應該去思想一下耶穌基督的受苦,祂的十字架
[00:00:11.000 --> 00:00:14.700]  以及祂的救恩,以及三天之後的復活
[00:00:14.700 --> 00:00:23.000]  那麼這個很重要,我們需要大家去思考救恩的必要
[00:00:23.000 --> 00:00:29.300]  為什麼需要十字架,以及十字架對我們有什麼意義
[00:00:29.300 --> 00:00:33.000]  By the way, we have some special guest among us
[00:00:33.000 --> 00:00:35.900]  There are some students from Moody Bible Institute
[00:00:35.900 --> 00:00:37.900]  There are six of them, right, Josh?
[00:00:37.900 --> 00:00:41.900]  There are six of them, we want to welcome them
[00:00:41.900 --> 00:00:44.700]  They are here for class assignment
[00:00:44.700 --> 00:00:50.500]  So they probably will ask you some questions, so don't give them a hard time
[00:00:50.500 --> 00:00:56.500]  正如我所說,這個就是我們快要到復活節和受苦節的時候
[00:00:56.500 --> 00:01:01.300]  受苦節或者受難節,那個星期五,我們當然有音樂崇拜
[00:01:01.300 --> 00:01:04.800]  剛才報告都有提到,就是一個音樂的崇拜
[00:01:04.800 --> 00:01:08.800]  我們思想到上帝給我們的救恩,十字架的救恩
[00:01:08.800 --> 00:01:11.300]  那麼受苦節很多時候叫做Good Friday
[00:01:11.300 --> 00:01:16.200]  然後到復活節的時候,我們Easter就會有堂慶的時候
[00:01:16.200 --> 00:01:21.200]  所以我覺得我們可以在接下來這幾個禮拜去思想一下
[00:01:21.200 --> 00:01:25.800]  特別在我的講道裡面,就是講到耶穌最後的一個星期
[00:01:25.800 --> 00:01:28.500]  或者最後的那幾天
[00:01:28.500 --> 00:01:32.900]  聖經裡面有很多不同的記載
[00:01:32.900 --> 00:01:35.600]  如果你從來沒看過聖經也好
[00:01:35.600 --> 00:01:38.500]  你去新約的頭四本書
[00:01:38.500 --> 00:01:42.500]  《馬太馬可路加》和《約翰福音》,四本的福音書
[00:01:42.500 --> 00:01:46.200]  你都會找到耶穌的生平的所謂
[00:01:46.200 --> 00:01:50.700]  所以這些是很容易找到的一些內容
[00:01:50.700 --> 00:01:57.200]  如果你上過教會一段時間,看過聖經一段時間
[00:01:57.200 --> 00:01:59.800]  應該你對這些內容都挺熟悉的
[00:01:59.800 --> 00:02:03.800]  所以今天既然是我們講這個題目的時候
[00:02:03.800 --> 00:02:06.300]  不如我們給一個測驗給大家,好嗎?
[00:02:06.300 --> 00:02:08.800]  好,OK,行不行?
[00:02:08.800 --> 00:02:13.900]  第一條問題,哪一本的福音書是記載耶穌的出生的?
[00:02:13.900 --> 00:02:18.000]  就是那個所謂聖誕節
[00:02:18.000 --> 00:02:21.000]  答案是什麼?
[00:02:21.000 --> 00:02:22.700]  答案是什麼?
[00:02:22.700 --> 00:02:26.600]  應該是《馬太》和《路加》,對不對?
[00:02:26.600 --> 00:02:30.100]  行不行?很難嗎?
[00:02:30.100 --> 00:02:34.000]  應該是《馬太》和《路加》才有記載耶穌出生的事
[00:02:34.000 --> 00:02:35.100]  《馬可》是沒有的
[00:02:35.100 --> 00:02:38.700]  《馬可》一開始就講耶穌公開的傳道
