
[00:00:00.000 --> 00:00:03.000]  今天繼續跟大家思想羅馬書第七十六講
[00:00:03.000 --> 00:00:06.000]  互為榜樣彼此鼓勵
[00:00:06.000 --> 00:00:09.000]  保羅在這十六章基本上是一個問安的說話
[00:00:09.000 --> 00:00:13.000]  但問安裏面很凸顯到保羅是一個很珍惜同工
[00:00:13.000 --> 00:00:16.000]  和重視弟妹姐妹的屬靈的榜樣
[00:00:16.000 --> 00:00:19.000]  他鼓勵我們能夠彼此成為榜樣
[00:00:19.000 --> 00:00:25.000]  互相的激勵 互相的建立 互相的相愛 互相的敬重
[00:00:25.000 --> 00:00:29.000]  建立一個很強大同心合意的福音的對公
[00:00:29.000 --> 00:00:33.000]  成為能夠將福音傳到地極的福音的陣地
[00:00:33.000 --> 00:00:35.000]  一個福音神使要的教會
[00:00:35.000 --> 00:00:37.000]  所以聖經裏面有一個提醒
[00:00:37.000 --> 00:00:40.000]  就是當我們每個人在參與這個福事裏面
[00:00:40.000 --> 00:00:42.000]  我們自己每一個心靈的榜樣
[00:00:42.000 --> 00:00:46.000]  和其他人是否能夠彼此的相愛 彼此的敬重呢
[00:00:46.000 --> 00:00:49.000]  我看今天經文羅馬書第十六章一到十六節
[00:00:49.000 --> 00:00:52.000]  我請弟兄讀單數節 姐妹讀雙數節
[00:00:52.000 --> 00:00:54.000]  我請弟兄開始
[00:00:54.000 --> 00:01:01.000]  我對你們舉薦我們的姊妹菲比 她是堅革離教會中的女執事
[00:01:01.000 --> 00:01:22.000]  問伯記拉和阿居拉安 他們在基督耶穌裏與我同供
[00:01:24.000 --> 00:01:27.000]  又問在他們家中的教會安
[00:01:27.000 --> 00:01:30.000]  問我所親愛的 以拜尼討安
[00:01:30.000 --> 00:01:35.000]  她在亞西亞事歸基督初見的果子
[00:01:35.000 --> 00:01:45.000]  又問我親屬要我同坐監的安多尼古和尤利亞
[00:01:45.000 --> 00:01:49.000]  她在亞西亞事歸基督初見的果子
[00:01:54.000 --> 00:01:58.000]  問伯記拉和阿居拉安 他們在使徒中是有冥王的
[00:01:58.000 --> 00:02:00.000]  也是比我先在基督裏
[00:02:00.000 --> 00:02:12.000]  又問在基督裏與我同供的 以巴盧並我所親愛的是大古安
[00:02:12.000 --> 00:02:23.000]  又問我親屬希羅天安
[00:02:23.000 --> 00:02:26.000]  問我家在主裡的人安
[00:02:26.000 --> 00:02:42.000]  又問在主蒙簡遜的奴婦和她的母親安
[00:02:42.000 --> 00:02:45.000]  她的母親就是我的母親
[00:02:54.000 --> 00:02:57.000]  又問菲羅羅古和尤利亞
