
[00:00:00.000 --> 00:00:02.240]  我哋今日讀嘅經文呢
[00:00:02.240 --> 00:00:06.080]  就係已忽所書嘅最後嘅一段
[00:00:06.080 --> 00:00:07.400]  可以咁講
[00:00:07.400 --> 00:00:10.720]  第十節嗰度好清楚就話呢
[00:00:10.720 --> 00:00:11.640]  保羅話
[00:00:11.640 --> 00:00:15.840]  我還有沒了的話
[00:00:15.840 --> 00:00:17.360]  沒了的話
[00:00:17.360 --> 00:00:19.640]  即係最後講嘅說話
[00:00:19.640 --> 00:00:22.560]  當時呢個保羅呢
[00:00:22.560 --> 00:00:24.720]  佢就係坐監啦
[00:00:24.720 --> 00:00:28.560]  佢都唔知道佢嘅前途係點樣
[00:00:28.560 --> 00:00:31.040]  所以呢佢就話
[00:00:31.040 --> 00:00:32.480]  沒了的話
[00:00:32.480 --> 00:00:35.120]  有啲嘅經文呢就翻譯話係
[00:00:35.120 --> 00:00:37.360]  即係總而言之
[00:00:37.360 --> 00:00:39.640]  即係話呢
[00:00:39.640 --> 00:00:40.920]  一句講曬
[00:00:40.920 --> 00:00:42.480]  即係話呢
[00:00:42.480 --> 00:00:44.440]  最重要嘅說話
[00:00:44.440 --> 00:00:51.480]  佢係對已忽所嘅信徒嚟講嘅
[00:00:51.480 --> 00:00:52.560]  喺呢度呢
[00:00:52.560 --> 00:00:56.280]  今日嘅題目叫暫立得住
[00:00:56.280 --> 00:00:58.160]  保羅喺呢處呢
[00:00:58.160 --> 00:01:00.080]  喺第六章
[00:01:00.080 --> 00:01:01.920]  最後呢一段呢
[00:01:01.920 --> 00:01:07.120]  我就畀佢
[00:01:07.120 --> 00:01:09.640]  咁第一個呢我叫做
[00:01:09.640 --> 00:01:12.520]  站起來
[00:01:12.520 --> 00:01:13.440]  喺呢度保羅話
[00:01:13.440 --> 00:01:15.680]  你哋要靠主
[00:01:15.680 --> 00:01:18.200]  依賴佢嘅大能大力
[00:01:18.200 --> 00:01:20.440]  作剛強的人
[00:01:20.440 --> 00:01:21.640]  起身
[00:01:21.640 --> 00:01:23.480]  站起來
[00:01:23.480 --> 00:01:25.760]  每一年呢十二一號呢
[00:01:25.760 --> 00:01:28.600]  國慶嘅時候呢大家都可能聽到
[00:01:28.600 --> 00:01:32.840]  其中有個廣播
[00:01:32.840 --> 00:01:34.960]  中國人民
[00:01:34.960 --> 00:01:40.040]  站起來
[00:01:40.040 --> 00:01:41.680]  呢個毛主席再一次
[00:01:41.680 --> 00:01:43.720]  向全世界宣告
[00:01:43.720 --> 00:01:45.440]  中國人
[00:01:45.440 --> 00:01:46.760]  而家
[00:01:46.760 --> 00:01:49.400]  站起來
[00:01:49.400 --> 00:01:50.760]  喺呢處呢
[00:01:50.760 --> 00:01:52.480]  保羅
[00:01:52.480 --> 00:01:55.400]  就同所有嘅基督徒講
[00:01:55.400 --> 00:01:56.520]  你哋要
[00:01:56.520 --> 00:01:58.880]  站起來
[00:01:58.880 --> 00:02:00.560]  如果你唔舒服
[00:02:00.560 --> 00:02:02.640]  如果你係病
[00:02:02.640 --> 00:02:06.160]  你唔能夠站起來
[00:02:06.160 --> 00:02:07.640]  但係呢
[00:02:07.640 --> 00:02:11.960]  唔係話自己可以站起來就站起來
[00:02:11.960 --> 00:02:13.960]  喺呢處呢保羅好清楚講嘅
[00:02:13.960 --> 00:02:17.160]  我哋一齊再讀第十節
[00:02:17.160 --> 00:02:19.600]  我還有沒了的話
[00:02:19.600 --> 00:02:21.720]  你哋要靠主
[00:02:21.720 --> 00:02:24.040]  依賴佢嘅大能大力
[00:02:24.040 --> 00:02:27.000]  作剛強的人
[00:02:27.000 --> 00:02:30.840]  依賴主嘅大能大力
[00:02:30.840 --> 00:02:33.120]  如果你睇英文聖經呢
[00:02:33.120 --> 00:02:37.360]  就會睇到呢佢呢個係一個被動
[00:02:37.360 --> 00:02:38.840]  empower
[00:02:38.840 --> 00:02:42.280]  有啲人呢就譯佢做充權
[00:02:42.280 --> 00:02:44.600]  即係話呢
[00:02:44.600 --> 00:02:46.920]  好多嘅電器呀
[00:02:46.920 --> 00:02:47.720]  唔郁得嘅
[00:02:47.720 --> 00:02:50.040]  但你一畀電佢就會郁
[00:02:50.040 --> 00:02:50.920]  係吧
[00:02:50.920 --> 00:02:54.000]  我哋呢好似呢用曬嘅電池
[00:02:54.000 --> 00:02:55.440]  或者我哋以前就水在
[00:02:55.440 --> 00:02:57.160]  死在罪惡過犯裏面
[00:02:57.160 --> 00:02:59.920]  但上帝叫我哋活過嚟
[00:02:59.920 --> 00:03:00.960]  依賴
[00:03:00.960 --> 00:03:05.640]  神嘅主耶穌嘅大能大力
[00:03:05.640 --> 00:03:08.880]  你先可以站起來
[00:03:08.880 --> 00:03:10.400]  今日呢我哋見到呢
[00:03:10.400 --> 00:03:12.560]  福林泉嘅頂姐妹
[00:03:12.560 --> 00:03:13.960]  係吧
[00:03:13.960 --> 00:03:15.920]  佢哋係長者
[00:03:15.920 --> 00:03:19.240]  亞國小組嗰啲都唔細㗎啦係吧
[00:03:19.240 --> 00:03:20.080]  係吧
[00:03:20.080 --> 00:03:22.560]  今日呢佢哋站起嚟
[00:03:22.560 --> 00:03:24.520]  唔單止站起嚟喎
