
[00:00:00.000 --> 00:00:01.640]  今天實在很感恩
[00:00:01.640 --> 00:00:04.500]  也很感謝貴堂的邀請
[00:00:04.500 --> 00:00:07.480]  在神的位上跟大家一起分享
[00:00:07.480 --> 00:00:09.480]  今天是父親節
[00:00:09.480 --> 00:00:13.480]  我想請各位是父親的舉手
[00:00:13.480 --> 00:00:14.560]  舉手
[00:00:14.560 --> 00:00:17.240]  是不是這邊?也不少
[00:00:17.240 --> 00:00:18.080]  好
[00:00:18.080 --> 00:00:19.840]  我想訪問一下大家
[00:00:19.840 --> 00:00:23.800]  做父親容易嗎?
[00:00:23.800 --> 00:00:26.840]  你們可以抬頭、轉頭
[00:00:26.840 --> 00:00:30.080]  如果你覺得做父親容易的話,請你抬頭
[00:00:30.080 --> 00:00:32.080]  給我太太
[00:00:32.080 --> 00:00:34.080]  做父親容易嗎?
[00:00:34.080 --> 00:00:41.080]  做父親實在不簡單
[00:00:41.080 --> 00:00:45.080]  去年年初有一個調查
[00:00:45.080 --> 00:00:48.080]  訪問了300位父親
[00:00:48.080 --> 00:00:55.580]  訪問一下究竟父親的壓力大不大
[00:00:55.580 --> 00:01:01.340]  大約100人的壓力指數是超標的
[00:01:01.340 --> 00:01:05.840]  甚至在這100人中有3分之1是相當嚴重
[00:01:05.840 --> 00:01:07.840]  要看醫生
[00:01:07.840 --> 00:01:10.580]  其實父親真的不容易做
[00:01:10.580 --> 00:01:13.080]  不用看統計
[00:01:13.080 --> 00:01:16.080]  你只要看父親的表情
[00:01:16.080 --> 00:01:19.080]  父親的咒文
[00:01:19.080 --> 00:01:21.580]  或者他們的生態
[00:01:21.580 --> 00:01:23.580]  都知道不容易做
[00:01:23.580 --> 00:01:25.580]  家裡有什麼壞了
[00:01:25.580 --> 00:01:27.080]  找誰?
[00:01:27.080 --> 00:01:30.080]  跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳跳
[00:01:30.080 --> 00:01:33.080]  都是父親的
[00:01:33.080 --> 00:01:35.080]  父親有些難一點
[00:01:35.080 --> 00:01:36.080]  有些懂不懂
[00:01:36.080 --> 00:01:37.580]  有些可能不懂
[00:01:37.580 --> 00:01:40.080]  甚至有些無助感覺
[00:01:40.080 --> 00:01:41.580]  無法遷就
[00:01:41.580 --> 00:01:43.580]  無法退縮
[00:01:43.580 --> 00:01:45.580]  一定要定眼上
[00:01:45.580 --> 00:01:49.580]  所以父親很多時候的胸襟
[00:01:49.580 --> 00:01:51.080]  就是這樣的
[00:01:51.080 --> 00:01:52.080]  可以練回來的
[00:01:52.080 --> 00:01:54.080]  夠膽一定要這樣上
[00:01:54.080 --> 00:01:56.580]  甚至很多時候有些人說男士
[00:01:56.580 --> 00:02:00.580]  很多時候都會抑壓自己的感受
[00:02:00.580 --> 00:02:02.080]  有時候是真的
[00:02:02.080 --> 00:02:04.080]  就算自己有些無助感
[00:02:04.080 --> 00:02:05.580]  有些害怕
[00:02:05.580 --> 00:02:07.080]  感受
[00:02:07.080 --> 00:02:09.580]  很多時候都不敢流露出來
[00:02:09.580 --> 00:02:12.080]  不是整個家庭倒塌的
[00:02:12.080 --> 00:02:13.080]  所以很多時候
[00:02:13.080 --> 00:02:17.080]  父親有些感受
[00:02:17.080 --> 00:02:18.580]  都要吞下去
