
[00:00:00.000 --> 00:00:03.680]  在一九九零年的一個風雨交加的夜晚
[00:00:03.680 --> 00:00:06.800]  一個十二歲的小胖子
[00:00:06.800 --> 00:00:08.800]  淋著雨
[00:00:08.800 --> 00:00:12.880]  和一萬多名其他的基督徒
[00:00:12.880 --> 00:00:15.200]  在中正紀念堂的廣場
[00:00:15.200 --> 00:00:17.000]  高唱著
[00:00:17.000 --> 00:00:20.000]  送三住生命
[00:00:20.000 --> 00:00:23.200]  全能上帝
[00:00:23.200 --> 00:00:28.800]  你作望到永遠
[00:00:30.600 --> 00:00:32.600]  那個風雨交加的夜晚
[00:00:32.600 --> 00:00:36.200]  高歌的小胖今天就站在你們面前
[00:00:36.200 --> 00:00:41.600]  那是當年何用仁宣教士
[00:00:41.600 --> 00:00:44.000]  帶領全臺灣宗教會
[00:00:44.000 --> 00:00:46.600]  一起舉辦的一個敬拜讚美節慶
[00:00:46.600 --> 00:00:48.800]  當年十二歲的我
[00:00:48.800 --> 00:00:52.200]  我是在一個從小拿著詩歌本
[00:00:52.200 --> 00:00:54.800]  唱著有關上帝的
[00:00:55.200 --> 00:01:00.200]  這樣子的一個詩歌的方式長大的一個孩子
[00:01:00.200 --> 00:01:01.800]  可是在那天晚上我
[00:01:01.800 --> 00:01:04.200]  深深的震撼到
[00:01:04.200 --> 00:01:07.400]  原來我們可以如此充滿熱情的
[00:01:07.400 --> 00:01:11.800]  來對著這位創造宇宙萬物的主來互動
[00:01:11.800 --> 00:01:16.200]  而我還記得我當時內心是如此的火熱
[00:01:16.200 --> 00:01:18.200]  被聖靈充滿
[00:01:18.200 --> 00:01:20.400]  那個晚上開始的時候
[00:01:20.400 --> 00:01:22.000]  我生命就不再一樣了
[00:01:22.000 --> 00:01:25.000]  最明顯的改變就是我每天洗澡的時候
[00:01:25.200 --> 00:01:27.200]  就是我敬拜讚美的一個時刻
[00:01:27.200 --> 00:01:28.400]  哇
[00:01:28.400 --> 00:01:29.800]  我想我家的人
[00:01:29.800 --> 00:01:32.800]  包括我鄰居應該都知道我什麼時候在洗澡
[00:01:32.800 --> 00:01:34.200]  因為我唱得非常的
[00:01:34.200 --> 00:01:36.400]  盡情非常的大聲
[00:01:36.400 --> 00:01:39.400]  但從那天開始我發現我
[00:01:39.400 --> 00:01:41.600]  開始渴慕敬拜神
[00:01:41.600 --> 00:01:44.600]  我更渴慕與神同行
[00:01:44.600 --> 00:01:46.000]  我也發現
[00:01:46.000 --> 00:01:49.100]  原來我與這位創造主
[00:01:49.100 --> 00:01:50.500]  原來可以有一個
[00:01:50.500 --> 00:01:53.000]  親密的關係
[00:01:53.300 --> 00:01:55.700]  而且這個關係是值得去經營的
[00:01:55.700 --> 00:01:57.400]  記得在上個月
[00:01:57.400 --> 00:01:58.900]  我在逐日信息中提到
[00:01:58.900 --> 00:02:02.000]  重修大衛倒他的帳幕
[00:02:02.000 --> 00:02:05.000]  大衛的帳幕就是與神相遇的地方
[00:02:05.000 --> 00:02:07.100]  對神同在的怯幕
[00:02:07.100 --> 00:02:09.800]  並且有一顆為神而活的心智
[00:02:09.800 --> 00:02:11.700]  我才發現
[00:02:11.700 --> 00:02:13.500]  在那個晚上
[00:02:13.500 --> 00:02:16.800]  大衛的帳幕在我生命當中
