
[00:00:00.000 --> 00:00:01.560]  好,我們領袖神的話語之先
[00:00:01.560 --> 00:00:03.040]  我再一次低頭,我們記住好嗎?
[00:00:03.040 --> 00:00:05.800]  懇求聖靈你自己親自去工作
[00:00:05.800 --> 00:00:08.200]  你不得了高門孩子所講的信息
[00:00:08.200 --> 00:00:11.400]  有一樣我們每一個人聽這段編導的時候
[00:00:11.400 --> 00:00:13.000]  說可以有不同的領袖
[00:00:13.000 --> 00:00:15.400]  有不同的重點可以有不同的反省
[00:00:15.400 --> 00:00:17.200]  但懇求你離大去工作
[00:00:17.200 --> 00:00:18.800]  你使用孩子所講的道
[00:00:18.800 --> 00:00:20.200]  成為我們的幫助
[00:00:20.200 --> 00:00:21.800]  祈禱拉奉主德聖的名
[00:00:21.800 --> 00:00:25.200]  我們用了一年多的時間
[00:00:25.200 --> 00:00:26.800]  來看舊約的尼希米基
[00:00:26.800 --> 00:00:30.600]  今天會是尼希米基的最後一講了
[00:00:30.600 --> 00:00:33.400]  我會在想星期六的早上
[00:00:33.400 --> 00:00:36.000]  我會再和大家講什麼道呢?
[00:00:36.000 --> 00:00:38.400]  我覺得時間是非常好的
[00:00:38.400 --> 00:00:39.800]  剛剛過去的星期天
[00:00:39.800 --> 00:00:41.400]  如果大家知道的時候
[00:00:41.400 --> 00:00:43.400]  我們買了一個辦公室
[00:00:43.400 --> 00:00:45.000]  已經開始使用
[00:00:45.000 --> 00:00:46.800]  剛剛過去的星期天
[00:00:46.800 --> 00:00:48.800]  我們有一個很簡單的奉獻禮
[00:00:48.800 --> 00:00:50.400]  我們在一個走廊那裡
[00:00:50.400 --> 00:00:52.200]  離大去祈禱分享
[00:00:52.200 --> 00:00:53.600]  然後就去參觀
[00:00:53.600 --> 00:00:56.600]  剛剛完了那個奉獻禮的時候
[00:00:56.600 --> 00:00:58.800]  今天都會講尼希米基
[00:00:58.800 --> 00:01:01.600]  他們都完成了他們的工作
[00:01:01.600 --> 00:01:04.200]  我覺得時間是非常的配合
[00:01:04.200 --> 00:01:07.000]  我們了解一點就是尼希米
[00:01:07.000 --> 00:01:10.600]  他在波斯王朝裡面做高官
[00:01:10.600 --> 00:01:13.200]  但是他知道自己的同胞
[00:01:13.200 --> 00:01:15.600]  在自己的故鄉裡面受苦
[00:01:15.600 --> 00:01:17.600]  於是他很受感動
[00:01:17.600 --> 00:01:20.200]  他放下了這個高官的職份
[00:01:20.200 --> 00:01:22.600]  回去自己的國土裡面
[00:01:22.600 --> 00:01:27.000]  帶領自己的同胞來重建那個城牆
[00:01:27.000 --> 00:01:30.200]  其實《聖經》裡面很短的記載
[00:01:30.200 --> 00:01:32.800]  就是他已經完成了這個工作
[00:01:32.800 --> 00:01:36.200]  但是接著就是一個屬靈上的醒覺
[00:01:36.200 --> 00:01:41.000]  他們就離大去有水門的陪靈會
[00:01:41.000 --> 00:01:44.600]  意思就是他們有一個很大的言經聚會
[00:01:44.600 --> 00:01:46.800]  人民得著那個復興
[00:01:46.800 --> 00:01:48.800]  於是為自己的國家
[00:01:48.800 --> 00:01:50.200]  為自己的領袖
[00:01:50.200 --> 00:01:52.200]  離大去禱告認罪
[00:01:52.200 --> 00:01:56.600]  甚至後來他們立下了一個的盟誓
[00:01:56.600 --> 00:02:00.800]  這個盟誓還要找文字寄下來來簽約
[00:02:00.800 --> 00:02:03.400]  他們要遵守四樣東西
[00:02:03.400 --> 00:02:07.200]  我們來看尼希米基第十章的二十八到二十九節
[00:02:07.200 --> 00:02:09.200]  我們一起來讀出
[00:02:09.200 --> 00:02:26.200]  既然敵民祭祀你美人守門的歌唱的你提理和一切來祝榮光居民回復神律法的並他們的妻子兒女泛有知識能明白的
[00:02:26.200 --> 00:02:31.200]  都隨從他們貴族的弟兄發採氣勢
[00:02:31.200 --> 00:02:42.200]  必遵行神職家律人中西所傳的律法謹守謹行搖滑我們主的一切誡命律例
[00:02:42.200 --> 00:02:45.800]  這個就好像一個新人當他結婚的時候
[00:02:45.800 --> 00:02:47.800]  大家知道他們結婚的時候
[00:02:47.800 --> 00:02:51.400]  一定要在神的面前
[00:02:51.400 --> 00:02:53.400]  離大去許下一個盟誓
[00:02:53.400 --> 00:02:55.400]  我願意一生一世的愛你
[00:02:55.400 --> 00:02:57.800]  我願意來和你和福與共
[00:02:57.800 --> 00:02:59.400]  無論是健康疾病
[00:02:59.400 --> 00:03:00.600]  富口貧窮
[00:03:00.600 --> 00:03:02.600]  和你一起走這條人生的路
[00:03:02.600 --> 00:03:04.000]  這個是立誓
[00:03:04.000 --> 00:03:06.000]  但是在香港的法律上
[00:03:06.000 --> 00:03:09.000]  後來他們要簽結婚證書
[00:03:09.000 --> 00:03:11.000]  這是法律上的條文
[00:03:11.000 --> 00:03:16.000]  現在這班人在神面前有復興有感受
[00:03:16.000 --> 00:03:19.000]  於是他們就立下了一個盟誓
[00:03:19.000 --> 00:03:21.000]  甚至離大去簽約
[00:03:21.000 --> 00:03:23.000]  我們不詳細看每一個盟誓
[00:03:23.000 --> 00:03:26.000]  這四個有四個重點
[00:03:26.000 --> 00:03:31.000]  一會兒我們就會看原來他們完全違反了這四個重點
[00:03:31.000 --> 00:03:35.000]  這個盟誓第一就是他們不容讓自己的子女
[00:03:35.000 --> 00:03:39.000]  離大去和外邦人有嫁娶
[00:03:39.000 --> 00:03:42.000]  第十章的第三十節我們一起來讀出
[00:03:42.000 --> 00:03:46.000]  將我我們經女兒家給這地的居民
[00:03:46.000 --> 00:03:50.000]  也不為我們的兒子娶他們的女兒
[00:03:50.000 --> 00:03:55.000]  我們立誓就是不讓自己的兒女和外籍人士離大去結婚
[00:03:55.000 --> 00:03:57.000]  一會兒我會詳細講
[00:03:57.000 --> 00:03:59.000]  今天我們可以和外籍人士結婚
[00:03:59.000 --> 00:04:01.000]  但最大問題是他們那時害怕甚麼呢
[00:04:01.000 --> 00:04:05.000]  就是那些外邦人他們不是相信神
[00:04:05.000 --> 00:04:10.000]  很容易將他們的信仰離大去帶離了正道
[00:04:10.000 --> 00:04:14.000]  所以他們說我們不讓我們的兒女和外邦人離大去嫁娶
[00:04:14.000 --> 00:04:17.000]  第二就是要守安息日的條例
[00:04:17.000 --> 00:04:19.000]  第十章的三十一節
[00:04:19.000 --> 00:04:27.000]  此地的居民若在安息日或甚麼成日帶了貨物或糧食來買給我們
