
[00:00:00.000 --> 00:00:04.040]  撒旦帶著一個人去參觀他的工具房
[00:00:04.040 --> 00:00:07.080]  工具房裡面到處都是撒旦
[00:00:07.080 --> 00:00:12.940]  利用來引人犯罪的一些器具和陷阱
[00:00:12.940 --> 00:00:19.480]  參觀的人指著一塊手工精細的鐵網
[00:00:19.480 --> 00:00:23.480]  問撒旦「這究竟是什麼來的?」
[00:00:23.480 --> 00:00:27.240]  撒旦笑笑口咁回答說
[00:00:27.240 --> 00:00:31.360]  那個叫做自大網
[00:00:31.360 --> 00:00:35.440]  專門網內那些自高自大的人
[00:00:35.440 --> 00:00:38.900]  只要被這個網罩著
[00:00:38.900 --> 00:00:41.520]  驕傲自大的人
[00:00:41.520 --> 00:00:46.780]  就再逃離不了他的魔掌
[00:00:46.780 --> 00:00:50.440]  撒旦順勢在炫耀
[00:00:50.440 --> 00:00:56.600]  說這個網叛倒了世界上很多的人
[00:00:56.600 --> 00:01:05.080]  自大 令到人對自己的信心無限加大
[00:01:05.080 --> 00:01:07.640]  參觀的人繼續看下去
[00:01:07.640 --> 00:01:12.000]  發現一個好像牢一樣大的鐵鉤
[00:01:12.000 --> 00:01:15.800]  鉤上面還帶著心紅的血跡
[00:01:15.800 --> 00:01:18.960]  他問撒旦「這是什麼?」
[00:01:18.960 --> 00:01:20.400]  撒旦回答說
[00:01:20.400 --> 00:01:26.520]  這個鉤是專門用來鉤那些被窒盜芯
[00:01:26.520 --> 00:01:29.600]  蒙蔽了雙眼的人
[00:01:29.600 --> 00:01:32.480]  同樣的 撒旦說這個鉤
[00:01:32.480 --> 00:01:37.440]  幫助他鉤了世界上很多的靈魂
[00:01:37.440 --> 00:01:41.960]  直到其實是自信心不足
[00:01:41.960 --> 00:01:51.080]  直到令到人對自己的信心無限的不斷的縮小
[00:01:51.080 --> 00:01:55.640]  他們又繼續看著很多其他的工具和陷阱
[00:01:55.640 --> 00:02:03.560]  撒旦一邊解釋一邊洋洋得意地炫耀每一個工具的效用
[00:02:03.560 --> 00:02:07.160]  甚至還邀請參觀的人
[00:02:07.160 --> 00:02:16.040]  歡迎他們借用這些任何的器具去對付他們的仇人
[00:02:16.040 --> 00:02:23.920]  換轉頭說 就是說幫助撒旦得到更多的靈魂
[00:02:23.920 --> 00:02:26.040]  終於在最後的時候
[00:02:26.040 --> 00:02:30.760]  參觀的人看到撒旦桌上
[00:02:30.760 --> 00:02:36.880]  有一個很小的 好像別針一樣大小的細針
[00:02:36.880 --> 00:02:39.480]  去問撒旦是什麼
[00:02:39.480 --> 00:02:45.240]  撒旦說「噢 這東西你不要小看它那麼小
[00:02:45.240 --> 00:02:48.320]  在眾多的工具裏面
[00:02:48.320 --> 00:02:51.800]  就是這個我不能夠借給你用
[00:02:51.800 --> 00:02:55.880]  因為這個是我的秘密武器
[00:02:55.880 --> 00:02:58.640]  幾乎只有一半的靈魂
[00:02:58.640 --> 00:03:03.760]  都是放在我這個小小的針上面」
[00:03:03.760 --> 00:03:07.680]  包括很多自以為是的基督徒
[00:03:07.680 --> 00:03:11.960]  都在這件工具上面跌倒
[00:03:11.960 --> 00:03:15.400]  參觀的人好奇心大起
[00:03:15.400 --> 00:03:21.120]  直接就問撒旦究竟什麼工具那麼厲害
[00:03:21.120 --> 00:03:23.880]  撒旦很狡猾地說
