
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹 主佬平安
[00:00:02.000 --> 00:00:04.640]  我們首先有個祈禱
[00:00:04.640 --> 00:00:11.200]  主佬我們都是願意好像剛才那首詩歌向你祈求
[00:00:11.200 --> 00:00:14.760]  祈求你的聲音 微小的聲音
[00:00:14.760 --> 00:00:16.400]  你的感動
[00:00:16.400 --> 00:00:19.120]  常常去帶領著我們
[00:00:19.120 --> 00:00:24.920]  以致我們在日常生活裏面無論經歷生命大小的挑戰
[00:00:24.920 --> 00:00:27.840]  我們去感覺到主你
[00:00:27.840 --> 00:00:32.240]  舞撇下我們 你的愛 常常的伏筆
[00:00:32.240 --> 00:00:34.560]  拖帶 引領著我們
[00:00:34.560 --> 00:00:37.840]  主讓一份親密的關係
[00:00:37.840 --> 00:00:40.960]  主讓我們能夠去不斷盡心
[00:00:40.960 --> 00:00:43.280]  主讓我們願意和你
[00:00:43.280 --> 00:00:44.640]  得去結連
[00:00:44.640 --> 00:00:47.840]  讓主親自作我們生命的主宰
[00:00:47.840 --> 00:00:50.640]  奉主耶穌基督的聖名祈求
[00:00:50.640 --> 00:00:52.640]  阿門
[00:00:52.640 --> 00:00:55.680]  弟兄姊妹 我想問一下你 你有沒有夢想的?
[00:00:55.680 --> 00:00:57.440]  你有沒有Dream的?
[00:00:57.440 --> 00:01:00.160]  有 是不是? 反應得非常之快
[00:01:00.160 --> 00:01:03.040]  我想 常常問 你有沒有一個夢想?
[00:01:03.040 --> 00:01:05.360]  你有沒有一個Dream? 這句話
[00:01:05.360 --> 00:01:08.160]  就算在小學的時候 我們都作過問 是不是?
[00:01:08.160 --> 00:01:11.440]  我夢想出來做什麼? 是怎樣怎樣怎樣?
[00:01:11.440 --> 00:01:14.480]  一句簡單的說話 但是在
[00:01:14.480 --> 00:01:18.080]  美國民權領袖馬丁路德金
[00:01:18.080 --> 00:01:21.520]  他在1963年8月28日
[00:01:21.520 --> 00:01:23.840]  所講的一個演說裏面
[00:01:23.840 --> 00:01:26.320]  就成為一個很不簡單的說話
[00:01:26.320 --> 00:01:29.360]  當時他對著華盛頓首府
[00:01:29.360 --> 00:01:32.960]  25萬名爭取民權人士
[00:01:32.960 --> 00:01:35.600]  所講的一篇演說
[00:01:35.600 --> 00:01:36.960]  其中一句說話
[00:01:36.960 --> 00:01:38.400]  如果你有看過錄音
[00:01:38.400 --> 00:01:40.560]  I have a dream 大家看到嗎?
[00:01:40.560 --> 00:01:41.840]  聲音是這樣
[00:01:41.840 --> 00:01:43.600]  很振奮人心的
[00:01:43.600 --> 00:01:45.600]  因為當時這個
[00:01:45.600 --> 00:01:48.800]  這個集會就是針對
[00:01:48.800 --> 00:01:55.040]  美國在1863年已經通過了釋放黑奴的政策
[00:01:55.040 --> 00:01:58.240]  但是直到100年之後
[00:01:58.240 --> 00:02:01.840]  馬丁路德金講這篇演說
[00:02:01.840 --> 00:02:06.240]  美國仍然是有很多不平等
[00:02:06.240 --> 00:02:10.720]  有很多對黑人和對白人不平等的政策
[00:02:10.720 --> 00:02:13.040]  我相信我們今天仍然看到
[00:02:13.040 --> 00:02:16.320]  一些這樣的拉扯在當中
[00:02:16.320 --> 00:02:20.640]  所以這個是針對美國總督隔離
[00:02:20.640 --> 00:02:26.000]  和當中很不平等很不和平裏面
[00:02:26.000 --> 00:02:30.560]  這個演說成為爭取自由和平等
[00:02:30.560 --> 00:02:32.720]  這個演說被評論為
[00:02:32.720 --> 00:02:39.200]  美國20世紀最重要的演說之一
[00:02:39.200 --> 00:02:41.120]  馬丁路德金這個事蹟
[00:02:41.120 --> 00:02:43.680]  提醒了我們一件事情
[00:02:43.680 --> 00:02:46.160]  這是一個很有力的演說
[00:02:46.160 --> 00:02:50.560]  能夠喚醒世人對民權和平等的注意
[00:02:50.560 --> 00:02:52.560]  一句簡單的說話
[00:02:52.560 --> 00:02:54.080]  I have a dream
[00:02:54.080 --> 00:02:56.320]  這個我有夢想這句說話
[00:02:56.320 --> 00:03:00.000]  常常都留在很多人的心裏面
[00:03:00.000 --> 00:03:03.760]  並且影響著很多的人
[00:03:03.760 --> 00:03:09.760]  同樣的情況出現在《史道行傳》第十章一到三十三節
[00:03:09.760 --> 00:03:15.040]  那裏不是記載了一個演說和一句說話
[00:03:15.040 --> 00:03:19.840]  但是那裏記載了描述了兩個人的一個故事
[00:03:19.840 --> 00:03:24.240]  這個描述這個記載當中充滿了很多動感的說話
[00:03:24.240 --> 00:03:30.320]  喚醒了信徒對潔淨和不潔淨的關注
[00:03:30.320 --> 00:03:32.720]  當中那裏不是一句說話
[00:03:32.720 --> 00:03:36.480]  而是一句令人猜疑的一個意象
[00:03:36.480 --> 00:03:40.800]  承載著人對神的回應
[00:03:40.800 --> 00:03:45.760]  也都令我們今天在基督裏面有佛
[00:03:45.760 --> 00:03:50.320]  正如馬丁路德金的一個演說和一句說話
[00:03:50.320 --> 00:03:55.200]  《史道行傳》這裏一個故事記載了兩個人
[00:03:55.200 --> 00:04:01.520]  一個令人很疑惑的一個意象
[00:04:01.520 --> 00:04:09.840]  這個意象和一個故事清楚宣告了外邦人在福音上有佛
[00:04:09.840 --> 00:04:14.160]  這個故事是有關彼得和哥尼劉的記載
[00:04:14.160 --> 00:04:19.680]  是記載在《史道行傳》第十章直到十一章的第十八節
[00:04:19.680 --> 00:04:23.440]  我們說這是《史道行傳》中最長的一個敘事
[00:04:23.440 --> 00:04:25.040]  一個 narrative
[00:04:25.040 --> 00:04:27.760]  總共有六十六節的經文
[00:04:27.760 --> 00:04:31.920]  當中包括了有七個的場景、七個 sins
[00:04:31.920 --> 00:04:35.840]  而整個故事記載的一個主題就是說什麼呢?
[00:04:35.840 --> 00:04:40.160]  就是打破過去分隔人的範圍
[00:04:40.160 --> 00:04:44.640]  The breaking of the old distinctions that divide people
[00:04:44.640 --> 00:04:46.960]  今天我們會虛言讀
[00:04:46.960 --> 00:04:52.320]  或者我們只有時間去看頭四個的場景
[00:04:52.320 --> 00:04:57.040]  我希望大家今天有機會讀完一到三十三節
[00:04:57.040 --> 00:04:59.280]  不過我們會分開幾次來讀
[00:04:59.280 --> 00:05:01.520]  我們一起打開這段經文好不好?
