
[00:00:00.000 --> 00:00:03.000]  將頂姐妹平安
[00:00:03.000 --> 00:00:07.000]  我特意用親愛的頂姐妹
[00:00:07.000 --> 00:00:11.000]  是的 我們真是親愛的
[00:00:11.000 --> 00:00:14.000]  但很多時候往往在日常生活當中
[00:00:14.000 --> 00:00:17.000]  這個親愛的關係
[00:00:17.000 --> 00:00:20.000]  就破壞了
[00:00:20.000 --> 00:00:23.000]  當我們思想這個題目
[00:00:23.000 --> 00:00:24.000]  勢不兩立
[00:00:24.000 --> 00:00:27.000]  或者我定這個勢不兩立
[00:00:27.000 --> 00:00:29.000]  這個講題的時候
[00:00:29.000 --> 00:00:32.000]  我不知道你會想起些什麼
[00:00:32.000 --> 00:00:37.000]  會想起很多年前的電影或者電視劇集
[00:00:37.000 --> 00:00:42.000]  或者想到英國和阿根廷
[00:00:42.000 --> 00:00:46.000]  以色列和哈馬斯
[00:00:46.000 --> 00:00:51.000]  或者你和某個人現在的關係
[00:00:51.000 --> 00:01:03.000]  抑或勢不兩立是你立志對撒旦的一個宣告呢?
[00:01:03.000 --> 00:01:05.000]  想到勢不兩立
[00:01:05.000 --> 00:01:08.000]  可能大家會覺得很負面
[00:01:08.000 --> 00:01:10.000]  很霸道
[00:01:10.000 --> 00:01:13.000]  想到今年的時空主題是
[00:01:13.000 --> 00:01:17.000]  門徒團契 伶侶相交
[00:01:17.000 --> 00:01:20.000]  加上剛才所唱的詩歌
[00:01:20.000 --> 00:01:22.000]  每一首都觸動我的心
[00:01:22.000 --> 00:01:24.000]  特別第三首
[00:01:24.000 --> 00:01:29.000]  一個在火災裏面失去家園
[00:01:29.000 --> 00:01:30.000]  至少可能有間屋
[00:01:30.000 --> 00:01:33.000]  起碼琴還能彈 即是還沒燒到
[00:01:33.000 --> 00:01:35.000]  但他回不回自己的家
[00:01:35.000 --> 00:01:38.000]  那種痛苦 那種無奈
[00:01:38.000 --> 00:01:40.000]  但他看到的是什麼
[00:01:40.000 --> 00:01:44.000]  是夜話 就是愛
