
[00:00:00.000 --> 00:00:02.000]  (主席)各位親愛的媒體,早晨!
[00:00:02.000 --> 00:00:05.000]  由9月份開始,紮根聖賢的系列
[00:00:05.000 --> 00:00:14.000]  都以撕篇119篇,聖經最長的一篇章節
[00:00:14.000 --> 00:00:16.000]  來進行宣講
[00:00:16.000 --> 00:00:21.000]  在119篇有176節的字母詩
[00:00:21.000 --> 00:00:27.000]  希伯來文的字母,22個字母分為22段
[00:00:27.000 --> 00:00:32.000]  每段8節而作成的119篇的詩篇
[00:00:32.000 --> 00:00:35.000]  我想大家都不陌生,聽過很多次
[00:00:35.000 --> 00:00:39.000]  紮根聖賢的系列當中的分享
[00:00:39.000 --> 00:00:43.000]  今天我們進入第9段,就是這個字
[00:00:43.000 --> 00:00:44.000]  Ted這個字
[00:00:44.000 --> 00:00:47.000]  特別是在65到72節裡
[00:00:47.000 --> 00:00:49.000]  我自己用了紅色字
[00:00:49.000 --> 00:00:57.000]  引申出來的詞彙翻譯
[00:00:57.000 --> 00:01:04.000]  我們一起讀一次119篇,65到72節
[00:01:04.000 --> 00:01:06.000]  預備,1,2,3
[00:01:06.000 --> 00:01:11.000]  耶和華,你向來是照你的話善待僕人
[00:01:11.000 --> 00:01:14.000]  求你將精明和知識賜給我
[00:01:14.000 --> 00:01:17.000]  因我信了你的命令
[00:01:17.000 --> 00:01:20.000]  但未受苦已先走迷了路
[00:01:20.000 --> 00:01:22.000]  現在卻遵守你的話
[00:01:22.000 --> 00:01:26.000]  你本為善所行的也善
[00:01:26.000 --> 00:01:29.000]  求你將你的律例教訓我
[00:01:29.000 --> 00:01:32.000]  驕傲人偏做謊言攻擊我
[00:01:32.000 --> 00:01:35.000]  我卻要一心守你的訓詞
[00:01:35.000 --> 00:01:37.000]  他們心夢之遊
[00:01:37.000 --> 00:01:39.000]  我卻喜愛你的律法
[00:01:39.000 --> 00:01:41.000]  我受苦事與我有益
[00:01:41.000 --> 00:01:44.000]  為要使我學習你的律例
[00:01:44.000 --> 00:01:46.000]  你口中的訓言與我有益
[00:01:46.000 --> 00:01:49.000]  勝於千萬的金銀
[00:01:49.000 --> 00:01:54.000]  你會留意到當中紅色的字
[00:01:54.000 --> 00:02:01.000]  剛才提到由字組成一個特別的字
[00:02:01.000 --> 00:02:06.000]  在這裡重複出現的就是這個
[00:02:06.000 --> 00:02:13.000]  因為我們用這個字開頭的詞彙
[00:02:13.000 --> 00:02:17.000]  我放在K8來源的聖經裡
[00:02:17.000 --> 00:02:23.000]  我試著放在第65到68節給大家知道
[00:02:23.000 --> 00:02:26.000]  善待僕人 耶話照你的話
[00:02:26.000 --> 00:02:29.000]  好的判斷和知識指教我
[00:02:29.000 --> 00:02:32.000]  因為你的命令我信靠
[00:02:32.000 --> 00:02:34.000]  未受苦已先走迷了路
[00:02:34.000 --> 00:02:36.000]  你的話我遵守
[00:02:36.000 --> 00:02:38.000]  良善是你
[00:02:38.000 --> 00:02:40.000]  良善也是你所行的
[00:02:40.000 --> 00:02:43.000]  教導我你的律例
[00:02:43.000 --> 00:02:45.000]  在頭四節都發現
[00:02:45.000 --> 00:02:48.000]  其實這個字的意思都重複出現
[00:02:48.000 --> 00:02:50.000]  其實這個字在希臘巴黎文裡
[00:02:50.000 --> 00:02:52.000]  是同一個字
[00:02:52.000 --> 00:02:54.000]  tooth 這個字是good
[00:02:54.000 --> 00:02:56.000]  即是有善的善
[00:02:56.000 --> 00:02:58.000]  或者是好的意思
[00:02:58.000 --> 00:03:03.000]  在第65節裡翻譯為善待
