
[00:00:00.000 --> 00:00:01.400]  電視節目平安
[00:00:01.400 --> 00:00:03.640]  提升者們平安
[00:00:03.640 --> 00:00:07.160]  分享一下我的一個經驗
[00:00:07.160 --> 00:00:09.800]  分享傳道的一個經驗
[00:00:09.800 --> 00:00:14.080]  有一天我趕著時間帶孩子去上課
[00:00:14.080 --> 00:00:17.720]  有一天趕著時間要帶孩子去上課
[00:00:17.720 --> 00:00:19.640]  就跳上車 插了鑰匙
[00:00:19.640 --> 00:00:21.840]  然後踏著煞車
[00:00:21.840 --> 00:00:22.960]  就進了後波
[00:00:22.960 --> 00:00:27.720]  然後就拉下手煞車
[00:00:27.720 --> 00:00:29.520]  然後就預備開車
[00:00:29.520 --> 00:00:32.120]  我就跳上了車
[00:00:32.120 --> 00:00:34.240]  插好了那個鑰匙
[00:00:34.240 --> 00:00:37.960]  然後我就把那個煞車的拉下來
[00:00:37.960 --> 00:00:40.600]  然後就到了那個煞車的檔
[00:00:40.600 --> 00:00:42.680]  然後就開了車煞
[00:00:42.680 --> 00:00:45.680]  然後就準備倒車開出那個車道
[00:00:45.680 --> 00:00:50.960]  因為我的車是要這樣下去我的屋外面的
[00:00:50.960 --> 00:00:53.040]  因為那個車道是有斜坡
[00:00:53.040 --> 00:00:56.440]  所以是倒車下去的位置
[00:00:56.440 --> 00:00:57.600]  我預備開車的時候
[00:00:57.600 --> 00:01:00.480]  就看到車板上有一些紅燈
[00:01:00.480 --> 00:01:02.960]  我倒車之前就看到
[00:01:02.960 --> 00:01:05.520]  車的顯示板有一些紅燈
[00:01:05.520 --> 00:01:07.280]  跟以前好像不一樣
[00:01:07.280 --> 00:01:08.280]  但是我都沒有理它
[00:01:08.280 --> 00:01:11.920]  因為車子都已經在向後移動
[00:01:11.920 --> 00:01:14.120]  好像以前都沒有看見過這樣的燈
[00:01:14.120 --> 00:01:15.600]  可是因為我太趕了
[00:01:15.600 --> 00:01:17.640]  就沒有多留意
[00:01:17.640 --> 00:01:20.640]  我就一直踏著煞車
[00:01:20.640 --> 00:01:24.120]  但是發覺好像煞車制沒有用
[00:01:24.120 --> 00:01:26.960]  車子沒有在斜坡上慢下來
[00:01:26.960 --> 00:01:28.680]  還一直這樣向後衝
[00:01:28.680 --> 00:01:30.160]  好像不受控制
[00:01:30.160 --> 00:01:33.880]  因為我是在斜坡上後倒車
[00:01:33.880 --> 00:01:36.480]  那我就踩著那個煞車的板
[00:01:36.480 --> 00:01:38.240]  可是好像真沒什麼作用
[00:01:38.240 --> 00:01:41.040]  那個車還是繼續的向下滑
[00:01:41.040 --> 00:01:42.480]  我就嚇死了
[00:01:42.480 --> 00:01:43.800]  就回答了祈禱
[00:01:43.800 --> 00:01:48.400]  請行人路上不要有人走過
[00:01:48.400 --> 00:01:50.240]  不要有小孩走過
[00:01:50.240 --> 00:01:53.160]  因為一衝下去就怕撞到人
[00:01:53.160 --> 00:01:54.280]  然後就說車在那裡
[00:01:54.280 --> 00:01:57.920]  尊敬不要有車走過不然我撞到車
[00:01:57.920 --> 00:01:59.000]  那我就怕了
[00:01:59.000 --> 00:02:00.120]  我就立刻倒車
[00:02:00.120 --> 00:02:05.480]  我說希望行人道上不要有人經過
[00:02:05.480 --> 00:02:07.000]  也不要有車經過
[00:02:07.000 --> 00:02:09.280]  否則我就會撞到人了
[00:02:09.280 --> 00:02:13.400]  那個車衝了下去平路一米左右就停下來
[00:02:13.400 --> 00:02:18.600]  那我的車倒後衝到了車道裡面
[00:02:18.600 --> 00:02:22.400]  然後就一米左右的地方就停下來了
[00:02:22.400 --> 00:02:24.800]  我心跳也差不多停下來了
[00:02:24.800 --> 00:02:27.720]  那我當時的心跳已經好像是停了下來
[00:02:27.720 --> 00:02:29.160]  很感恩沒有人受傷
[00:02:29.160 --> 00:02:29.960]  沒有人撞車
[00:02:29.960 --> 00:02:32.200]  只是一次失控的經驗
[00:02:32.200 --> 00:02:35.720]  很感恩當時就沒有人受傷
[00:02:35.720 --> 00:02:37.760]  也沒有撞到別人的車
[00:02:37.760 --> 00:02:40.760]  只是我多了一次失控的經歷
[00:02:40.760 --> 00:02:43.440]  其實這次失控不是車有問題
[00:02:43.440 --> 00:02:46.680]  其實這一次失控不是我的車有問題
[00:02:46.680 --> 00:02:48.800]  我以為車有問題嚇到我
