
[00:00:00.000 --> 00:00:03.680]  我今天是配合教會的主題和中心的工作
[00:00:03.680 --> 00:00:06.360]  就選了聖經裏面其中一段
[00:00:06.360 --> 00:00:07.800]  和恩賜有關的經文
[00:00:07.800 --> 00:00:10.280]  我今年講題主要講恩賜
[00:00:10.280 --> 00:00:14.680]  今天選那段經文是羅馬書第十二章第一至八節
[00:00:14.680 --> 00:00:17.720]  我很想鼎姐妹先讀出這段經文
[00:00:17.720 --> 00:00:21.000]  我請小慧在這裏帶著鼎姐妹讀
[00:00:21.000 --> 00:00:22.040]  因為我最近咳嗽
[00:00:22.040 --> 00:00:23.640]  留下一點聲音講到
[00:00:23.640 --> 00:00:26.080]  麻煩小慧跟鼎姐妹一起中讀
[00:00:26.080 --> 00:00:28.080]  羅馬書第十二章一至八節
[00:00:28.080 --> 00:00:29.080]  預備起
[00:00:29.080 --> 00:00:30.840]  所以弟兄們
[00:00:30.840 --> 00:00:33.640]  我以神的慈悲勸你們
[00:00:33.640 --> 00:00:35.480]  將身體獻上
[00:00:35.480 --> 00:00:36.920]  當作活祭
[00:00:36.920 --> 00:00:38.160]  是聖潔的
[00:00:38.160 --> 00:00:40.040]  是神所喜悅的
[00:00:40.040 --> 00:00:44.040]  你們如此侍奉乃是理所當然的
[00:00:44.040 --> 00:00:46.440]  不要效法這個世界
[00:00:46.440 --> 00:00:49.200]  只要心意更新而變化
[00:00:49.200 --> 00:00:52.400]  叫你們察驗何為神的善良
[00:00:52.400 --> 00:00:55.400]  純存可喜悅的旨意
[00:00:55.400 --> 00:00:57.800]  我憑著所賜我的恩
[00:00:57.800 --> 00:00:59.800]  對你們各人說
[00:00:59.800 --> 00:01:03.240]  不要看自己過於所當看的
[00:01:03.240 --> 00:01:07.560]  要照著神所分給各人信心的大小
[00:01:07.560 --> 00:01:09.640]  看得合乎忠道
[00:01:09.640 --> 00:01:13.920]  正如我們一個身體上有好些肢體
[00:01:13.920 --> 00:01:17.240]  肢體也不都是一樣的容處
[00:01:17.240 --> 00:01:19.120]  我們這許多人
[00:01:19.120 --> 00:01:21.640]  在基督裡成為一身
[00:01:21.640 --> 00:01:23.920]  互相聯絡作肢體
[00:01:23.920 --> 00:01:26.080]  也是如此
[00:01:26.080 --> 00:01:28.480]  按我們所得的恩賜
[00:01:28.480 --> 00:01:29.840]  各有不同
[00:01:29.840 --> 00:01:31.480]  或說喻言
[00:01:31.480 --> 00:01:35.400]  就當照著信心的程度說喻言
[00:01:35.400 --> 00:01:36.800]  或作執事
[00:01:36.800 --> 00:01:38.840]  就當專一執事
[00:01:38.840 --> 00:01:40.440]  或作教導的
[00:01:40.440 --> 00:01:42.560]  就當專一教導
[00:01:42.560 --> 00:01:44.200]  或作勸化的
[00:01:44.200 --> 00:01:46.320]  就當專一勸化
[00:01:46.320 --> 00:01:47.320]  施捨的
[00:01:47.320 --> 00:01:48.880]  就當誠實
[00:01:48.880 --> 00:01:49.840]  自理的
[00:01:49.840 --> 00:01:51.320]  就當殷勤
[00:01:51.320 --> 00:01:52.600]  憐憫人的
[00:01:52.600 --> 00:01:55.480]  就當甘心
[00:01:55.480 --> 00:01:57.400]  今天講到的重點
[00:01:57.400 --> 00:01:59.200]  很想鼓勵我們的弟兄姊妹
[00:01:59.200 --> 00:02:03.040]  堅守神給我們服侍社區的意象
[00:02:03.040 --> 00:02:05.640]  因為這是我們多年前領受的意象
[00:02:05.640 --> 00:02:08.600]  要成為一間全福音的社區教會
[00:02:08.600 --> 00:02:11.160]  讓我們繼續委身並且投入
[00:02:11.160 --> 00:02:13.400]  來服侍社群
[00:02:13.400 --> 00:02:15.800]  繼續講這段經文之先
[00:02:15.800 --> 00:02:19.560]  我必須要介紹羅馬書的內容大綱
[00:02:19.560 --> 00:02:21.160]  以至我們能夠明白
[00:02:21.160 --> 00:02:24.880]  保羅為何一直鋪排勸勉弟兄姊妹
[00:02:24.880 --> 00:02:28.160]  羅馬書的結構大綱是很清晰的
[00:02:28.160 --> 00:02:30.120]  第一章一至十七節
[00:02:30.120 --> 00:02:31.960]  是引言和主題
[00:02:31.960 --> 00:02:33.440]  講到保羅對教會的
[00:02:33.440 --> 00:02:35.640]  問安、感恩和祈禱
[00:02:35.640 --> 00:02:37.080]  然後就講
[00:02:37.080 --> 00:02:38.720]  神的公義如何藉著
[00:02:38.720 --> 00:02:40.680]  耶穌基督的福音來顯明
[00:02:40.680 --> 00:02:44.640]  使所有信的人都要得稱為義
[00:02:44.640 --> 00:02:45.920]  一至三章
[00:02:45.920 --> 00:02:46.880]  有一個主題
[00:02:46.880 --> 00:02:48.200]  人人都不義
[00:02:48.200 --> 00:02:49.320]  講什麼人不義呢?
[00:02:49.320 --> 00:02:51.000]  猶太人就以為愛邦人不義
[00:02:51.000 --> 00:02:52.920]  接著保羅就告訴猶太人都不義
[00:02:52.920 --> 00:02:55.280]  其實世上所有人都不義
[00:02:55.280 --> 00:02:56.720]  不義就很慘
[00:02:56.720 --> 00:02:58.960]  但原來神為人預備的是什麼呢?
[00:02:58.960 --> 00:03:00.920]  神的公義是願意加比一切
[00:03:00.920 --> 00:03:01.960]  相信祂的人
[00:03:01.960 --> 00:03:04.760]  所以由三章二十一節到五章二十一節
[00:03:04.760 --> 00:03:06.840]  就是講神的公義如何加比
[00:03:06.840 --> 00:03:08.040]  相信祂的人
[00:03:08.040 --> 00:03:09.000]  只要相信
[00:03:09.000 --> 00:03:10.280]  我們有一句話
[00:03:10.280 --> 00:03:11.800]  就是「因信稱義」
[00:03:11.800 --> 00:03:14.360]  相信的人就可以得稱為義
[00:03:14.360 --> 00:03:15.880]  脫離不義
[00:03:15.880 --> 00:03:17.560]  但是有很多人信耶穌
[00:03:17.560 --> 00:03:18.720]  你看到祂都沒有改變
[00:03:18.720 --> 00:03:20.000]  不就是這樣嗎?
[00:03:20.000 --> 00:03:22.440]  是因為我們信耶穌的歷程
[00:03:22.440 --> 00:03:24.680]  有一個我們叫做「成性的過程」
[00:03:24.680 --> 00:03:26.960]  保羅就告訴我們
[00:03:26.960 --> 00:03:28.800]  由六章到八章
[00:03:28.800 --> 00:03:32.040]  人在領受公義之後的生命會是怎樣的
[00:03:32.040 --> 00:03:33.560]  不是很容易的
[00:03:33.560 --> 00:03:35.280]  我們熟悉的就是保羅說
