
[00:00:00.000 --> 00:00:06.000]  兩個星期之前,無論大家是參加晚課,中課,早課,或者午課
[00:00:06.000 --> 00:00:10.000]  無論你聽楊牧師講道也好,聽Jason全道講道也好
[00:00:10.000 --> 00:00:14.000]  我相信兩位講者都提到《馬克福音》
[00:00:14.000 --> 00:00:18.000]  好像應該去到十六章第八節就完了
[00:00:18.000 --> 00:00:22.000]  所以今天我們來看《馬克福音》十六章九到十節
[00:00:22.000 --> 00:00:25.000]  我們就說這個可能是
[00:00:26.000 --> 00:00:30.000]  當一位的,或者當時的編者
[00:00:30.000 --> 00:00:34.000]  他要將不同的使徒所寫的聖經,所寫的書卷
[00:00:34.000 --> 00:00:37.000]  編輯,放在一起成為正典的時候
[00:00:37.000 --> 00:00:41.000]  可能他看到《馬克福音》裡面,為什麼結局這麼有趣呢
[00:00:41.000 --> 00:00:44.000]  好像還沒完結的,於是他
[00:00:44.000 --> 00:00:48.000]  將後面這部分,就是今天我們看的這部分放上來
[00:00:48.000 --> 00:00:51.000]  添加在《馬克福音》裡面
[00:00:51.000 --> 00:00:54.000]  這個是現代很多學者接受的看法
[00:00:55.000 --> 00:00:58.000]  不過如果這個真是純粹添加的內容
[00:00:58.000 --> 00:01:00.000]  於是我們就要問
[00:01:00.000 --> 00:01:03.000]  為什麼聖經學者接受這樣的觀點
[00:01:03.000 --> 00:01:08.000]  又或者說,為什麼我們覺得它是放進去的
[00:01:08.000 --> 00:01:12.000]  我相信我們都是要問這些問題的,當我們看的時候
[00:01:12.000 --> 00:01:16.000]  在已經被發現最早的聖經版本裡面
[00:01:16.000 --> 00:01:18.000]  或者叫做聖經的抄本
[00:01:18.000 --> 00:01:20.000]  我們知道聖經不是像我們現在這樣一本書
[00:01:20.000 --> 00:01:22.000]  或者現在電子版
[00:01:23.000 --> 00:01:26.000]  聖經的字是抄在羊皮卷裡面
[00:01:26.000 --> 00:01:28.000]  久了那些皮卷會硬,會爛
[00:01:28.000 --> 00:01:30.000]  於是那段時間要再抄
