
[00:00:00.000 --> 00:00:08.700]  那有段時間沒有在普通話崇拜當中 那因為之前可能是很多時候去了那個
[00:00:08.700 --> 00:00:17.700]  籃球班那邊去幫忙 所以崇拜的時候沒有在當中 很懷念大家一起在下午的時間一同崇拜
[00:00:17.700 --> 00:00:26.200]  一起來敬拜神 那今年是我們2018年到年末了 年底的時候
[00:00:26.200 --> 00:00:31.200]  那之前就是我們有一系列的一些外展的一些施工
[00:00:31.200 --> 00:00:36.200]  比如有一個是叫廣東話班 那我們最後一堂廣東話班的時候呢
[00:00:36.200 --> 00:00:46.200]  我們就請了一位媽媽來分享她在那個星期二的媽媽小組裡面的一些感受
[00:00:46.200 --> 00:00:53.200]  然後呢 她就分享了當中 她用了一個詞來表達她對這個小組的一個感覺
[00:00:53.200 --> 00:00:58.200]  她說這個小組是一個有溫度的小組 什麼叫有溫度的小組呢
[00:00:58.200 --> 00:01:03.200]  那她從兩個方面來說 第一方面就是說她覺得在當中的時候
[00:01:03.200 --> 00:01:07.200]  跟弟兄姊妹在一起的時候 跟那些媽媽在一起的時候呢
[00:01:07.200 --> 00:01:13.200]  她互動的過程當中她感受得很溫暖 因為大家都彼此支持 很溫暖
[00:01:13.200 --> 00:01:21.200]  那另外一方面 她覺得就是有時候這個小組也幫她降溫 為什麼會幫她降溫呢
[00:01:21.200 --> 00:01:28.200]  因為有時候她在家裡帶著兩個孩子 孩子讓她有時候會很生氣 動怒了
[00:01:28.200 --> 00:01:32.200]  然後她就回到小組的時候呢 當她這樣分享的時候呢
[00:01:32.200 --> 00:01:37.200]  其他媽媽都跟她說 其實他們家裡也有同樣的情況
[00:01:37.200 --> 00:01:42.200]  而且他們也讀一些的課程 讀一些的智慧媽媽的一本書
[00:01:42.200 --> 00:01:48.200]  當中有些的聖經的教導 幫助他們怎樣去理解 怎麼樣去教導孩子
[00:01:48.200 --> 00:01:53.200]  所以也幫她降溫 所以她覺得這個小組是一個有溫度的小組
[00:01:53.200 --> 00:01:59.200]  我覺得她這個詞非常的好 為什麼她覺得這個小組是有溫度的小組呢
[00:01:59.200 --> 00:02:07.200]  正因為可能在其他的地方 她可能覺得比較難找到這樣的一個有溫度的地方
[00:02:07.200 --> 00:02:15.200]  所以我們在看這個世界 我們可以幻想看我們的整個社會的過程當中
[00:02:15.200 --> 00:02:18.200]  是不是有時候給我們感覺 就好像今天的題目一樣
[00:02:18.200 --> 00:02:23.200]  這個社會有時候比較冷漠一點 天氣很冷對不對
[00:02:23.200 --> 00:02:28.200]  人的心有時候也被感覺到很冷漠 有些冷漠的感覺
[00:02:28.200 --> 00:02:36.200]  什麼冷漠呢 最近有一件事情發生了 就在四川這個地方
[00:02:36.200 --> 00:02:44.200]  大概十月二十八號這個日子 有一輛公共汽車就在一條大橋上面行走
[00:02:44.200 --> 00:02:49.200]  這條大橋在長江的上面 怎麼樣發生什麼事情呢
[00:02:49.200 --> 00:02:54.200]  這輛公車就撞倒了一輛紅色的小轎車
[00:02:54.200 --> 00:02:59.200]  結果後來整輛公車就掉到海裡面 掉到長江裡面
[00:02:59.200 --> 00:03:04.200]  然後總共有十五人因此而罹難 大家有沒有看過這個新聞
[00:03:04.200 --> 00:03:09.200]  在重慶大家都有對不對 後來發現這個什麼原因呢
[00:03:09.200 --> 00:03:14.200]  有人開始不知道原因就以為那個司機有些什麼事情發生了
[00:03:14.200 --> 00:03:17.200]  就是可能他不留意或者怎麼樣子
[00:03:17.200 --> 00:03:23.200]  結果原來發生什麼事情呢 就是在車上面有一個行駛的錄影
[00:03:23.200 --> 00:03:29.200]  就發現原來在車上面有位旅乘客就跟他發生了一個爭執
[00:03:29.200 --> 00:03:34.200]  發生了口角 進而動手 互相在折打
[00:03:34.200 --> 00:03:41.200]  司機一不小心在折打過程中一把方向盤拐到另外一個方向
[00:03:41.200 --> 00:03:45.200]  整個車就衝向海邊掉下去
[00:03:45.200 --> 00:03:52.200]  後來根據這個情況發現很有可能就是這個旅乘客
[00:03:52.200 --> 00:03:58.200]  因為他錯過了一個站沒有下車 然後跟司機在爭吵
[00:03:58.200 --> 00:04:01.200]  但是很奇怪的時候 在爭吵爭打的時候
[00:04:01.200 --> 00:04:08.200]  竟然車上有另外十三位的乘客
[00:04:08.200 --> 00:04:12.200]  他們的爭執我想不是只是十秒鐘這麼短
[00:04:12.200 --> 00:04:14.200]  可能也有差不多一分鐘的時間
[00:04:14.200 --> 00:04:20.200]  但是竟然沒有一個乘客在前面去阻攔他們
[00:04:20.200 --> 00:04:24.200]  就說你不要爭吵了 把這個旅乘客拉回來
[00:04:24.200 --> 00:04:26.200]  或者不要干擾司機開車
[00:04:26.200 --> 00:04:32.200]  好像後來有一部報導就說好冷漠 為什麼沒有人理這件事情
[00:04:32.200 --> 00:04:36.200]  結果就釀成了這麼大的一個災難
[00:04:36.200 --> 00:04:40.200]  讓我從這件事情回想 我們在很多年前
[00:04:40.200 --> 00:04:44.200]  應該是2010年的時候 有一個小月月事件
[00:04:44.200 --> 00:04:47.200]  2011年應該是 也是在十月份的時間
[00:04:47.200 --> 00:04:51.200]  在博山這個地方 有一個小女孩
[00:04:51.200 --> 00:04:57.200]  被一輛小的麵包車輾過
[00:04:57.200 --> 00:05:01.200]  但是在她身邊 這也是同樣有個影片
[00:05:01.200 --> 00:05:04.200]  因為她的CCTV錄下來了
[00:05:04.200 --> 00:05:07.200]  竟然有十八位的路人走過她的身旁
[00:05:07.200 --> 00:05:12.200]  見一個孩子被車輾過 然後就是她受傷在地上
[00:05:12.200 --> 00:05:18.200]  十八個路人都沒有人去走上前 去照顧這個孩子
[00:05:18.200 --> 00:05:21.200]  去扶起這個孩子送她去醫院
