
[00:00:00.000 --> 00:00:01.640]  主給我們恩典
[00:00:01.640 --> 00:00:04.560]  我們今天可以如常地
[00:00:04.560 --> 00:00:06.560]  好像往日一樣
[00:00:06.560 --> 00:00:09.400]  回到教會和弟兄姊妹
[00:00:09.400 --> 00:00:11.240]  我們未必個個都認識
[00:00:11.240 --> 00:00:13.040]  不過很熟稔
[00:00:13.040 --> 00:00:15.160]  有些親切感
[00:00:15.160 --> 00:00:16.560]  一同唱詩
[00:00:16.560 --> 00:00:18.080]  一同讀經
[00:00:18.080 --> 00:00:19.680]  一同祈禱
[00:00:19.680 --> 00:00:21.480]  一同聽道
[00:00:21.480 --> 00:00:22.800]  不知不覺
[00:00:22.800 --> 00:00:26.840]  其實這些是我們人生的幸福
[00:00:26.840 --> 00:00:29.080]  主又給我恩典
[00:00:29.080 --> 00:00:35.240]  我都不時有機會和大家一起去親近主
[00:00:35.240 --> 00:00:40.800]  不久前在大家的七十五週年堂慶
[00:00:40.800 --> 00:00:43.160]  我都在那裏
[00:00:43.160 --> 00:00:47.680]  不知不覺明年大家慶祝八十週年
[00:00:47.680 --> 00:00:51.680]  今天的講題好像燈籬一樣
[00:00:51.680 --> 00:00:54.680]  迎向四十乘二
[00:00:54.680 --> 00:00:57.080]  四十乘二就是八十
[00:00:57.080 --> 00:01:04.160]  即是我們迎向大家的八十週年
[00:01:04.160 --> 00:01:09.040]  1937年開始
[00:01:09.040 --> 00:01:12.040]  所以到明年就八十年了
[00:01:12.040 --> 00:01:14.200]  明年對大家來說
[00:01:14.200 --> 00:01:16.880]  我覺得是雙喜臨門
[00:01:16.880 --> 00:01:21.400]  因為除了我們這個群體是八十週年之外
[00:01:21.400 --> 00:01:25.320]  我們對於基督教會
[00:01:25.320 --> 00:01:27.160]  對於宗教改革的歷史
[00:01:27.160 --> 00:01:29.120]  不是很多人很清楚
[00:01:29.120 --> 00:01:31.640]  一般我們都拿馬丁路德
[00:01:31.640 --> 00:01:37.400]  在1517年的行動作為一個代表
[00:01:37.400 --> 00:01:40.080]  1517到明年是五百年
[00:01:40.080 --> 00:01:44.720]  所以宗教改革明年是一個大日子
[00:01:44.720 --> 00:01:46.720]  五百週年有悉封
[00:01:46.720 --> 00:01:50.880]  我們八十週年紀念
[00:01:50.880 --> 00:01:53.880]  其實所有日子都是屬於神的
[00:01:53.880 --> 00:01:55.120]  都是寶貴的
[00:01:55.120 --> 00:01:56.960]  每一天都是這麼寶貴
[00:01:56.960 --> 00:01:59.880]  不過按照我們的社會文化
[00:01:59.880 --> 00:02:01.160]  我們的習慣
[00:02:01.160 --> 00:02:03.440]  有些齊頭數的日子
