
[00:00:00.000 --> 00:00:03.540]  我們一起想到主在來這個題目
[00:00:03.540 --> 00:00:07.500]  我相信主在來是每個信徒都知道這件事
[00:00:07.500 --> 00:00:09.500]  但對我們有多少影響呢?
[00:00:09.500 --> 00:00:11.840]  我相信我們可以一起去學習
[00:00:11.840 --> 00:00:13.840]  我們一起去禱告
[00:00:13.840 --> 00:00:16.680]  天父多謝祢讓我們一起有敬拜
[00:00:16.680 --> 00:00:19.680]  一起在這個當中學習祢的話語
[00:00:19.680 --> 00:00:21.180]  求主祢幫助我們
[00:00:21.180 --> 00:00:23.180]  願意祢的話語改變我們
[00:00:23.180 --> 00:00:24.220]  我們今天祈禱
[00:00:24.220 --> 00:00:25.720]  奉主耶穌基督的名
[00:00:25.720 --> 00:00:27.720]  阿門
[00:00:27.720 --> 00:00:29.720]  在美國三一神學院
[00:00:29.720 --> 00:00:31.720]  有位很出名的教授
[00:00:31.720 --> 00:00:33.720]  我們基督徒很多時候都會
[00:00:33.720 --> 00:00:35.720]  看到他的一些色經書
[00:00:35.720 --> 00:00:37.720]  這位就是
[00:00:37.720 --> 00:00:39.720]  這位的
[00:00:39.720 --> 00:00:41.720]  因為中文
[00:00:41.720 --> 00:00:43.720]  我特別想
[00:00:43.720 --> 00:00:45.720]  省略一下
[00:00:45.720 --> 00:00:47.720]  杜格拉斯
[00:00:47.720 --> 00:00:49.720]  大家知道他在三一神學院
[00:00:49.720 --> 00:00:51.720]  有很多著作
[00:00:51.720 --> 00:00:53.720]  幫助很多信徒學習聖經
[00:00:53.720 --> 00:00:55.720]  他曾經有一個經歷
[00:00:55.720 --> 00:00:57.720]  他身體有一個毛病
[00:00:57.720 --> 00:01:01.720]  醫生甚至懷疑是一個癌病
[00:01:01.720 --> 00:01:03.720]  於是突然間
[00:01:03.720 --> 00:01:05.720]  很大的打擊
[00:01:05.720 --> 00:01:07.720]  他要做一個檢驗
[00:01:07.720 --> 00:01:09.720]  做了檢驗之後
[00:01:09.720 --> 00:01:11.720]  三天之後才拿報告
[00:01:11.720 --> 00:01:13.720]  你想想如果要等報告
[00:01:13.720 --> 00:01:15.720]  三天好像三年
[00:01:15.720 --> 00:01:17.720]  很不容易過
[00:01:17.720 --> 00:01:19.720]  三天裡面他覺得很焦慮
[00:01:19.720 --> 00:01:21.720]  失眠
[00:01:21.720 --> 00:01:23.720]  很多的掛慮
[00:01:23.720 --> 00:01:25.720]  但突然間他想想
[00:01:25.720 --> 00:01:27.720]  面對永恆的時候
[00:01:27.720 --> 00:01:29.720]  人的生命 自己的生命快要完結
[00:01:29.720 --> 00:01:31.720]  他看到永恆這件事
[00:01:31.720 --> 00:01:33.720]  他開始奇怪自己做
[00:01:33.720 --> 00:01:35.720]  神學院的老師
[00:01:35.720 --> 00:01:37.720]  竟然他覺得這個時候
[00:01:37.720 --> 00:01:39.720]  他對這些屬靈的事情
[00:01:39.720 --> 00:01:41.720]  是更加的熱衷
[00:01:41.720 --> 00:01:43.720]  他開始看聖經
[00:01:43.720 --> 00:01:45.720]  慢慢的注意聖經裡面
[00:01:45.720 --> 00:01:47.720]  一句一句的說話
[00:01:47.720 --> 00:01:49.720]  裡面慢慢的得到平靜
[00:01:49.720 --> 00:01:51.720]  他漸漸覺得
[00:01:51.720 --> 00:01:53.720]  他現在面對
[00:01:53.720 --> 00:01:55.720]  一些擁有一些物質的東西
[00:01:55.720 --> 00:01:57.720]  其實
[00:01:57.720 --> 00:01:59.720]  這些都不重要
[00:01:59.720 --> 00:02:01.720]  最重要的是和神的關係
