
[00:00:00.000 --> 00:00:01.400]  我們再低頭祈禱
[00:00:01.400 --> 00:00:07.420]  耶穌基督,我們來到祢面前,我們朝拜祢
[00:00:07.420 --> 00:00:11.140]  我們去奉祢的命,去聚會的時候
[00:00:11.140 --> 00:00:13.200]  我們知道祢在我們當中
[00:00:13.200 --> 00:00:17.560]  願意我們常常去唱哈利路亞的讚美祢
[00:00:17.560 --> 00:00:19.460]  願我們的生命
[00:00:19.460 --> 00:00:23.780]  無論是落在光明還是黑暗當中
[00:00:23.780 --> 00:00:26.360]  我們的唱頌聲永不停止
[00:00:26.360 --> 00:00:29.300]  主引領我們明白祢的真道
[00:00:29.380 --> 00:00:32.880]  當我們打開話語的時候,求聖靈指教我們
[00:00:32.880 --> 00:00:35.780]  祈禱奉祝耶穌基督得聖命之祈求
[00:00:35.780 --> 00:00:36.920]  阿們
[00:00:36.920 --> 00:00:45.120]  舊約的意象和預言
[00:00:45.120 --> 00:00:50.240]  必須要先從聖經的歷史整體的脈絡開始
[00:00:50.240 --> 00:00:53.020]  傳統上我們會直接
[00:00:53.020 --> 00:00:57.000]  將耶穌基督自稱人子的說話
[00:00:57.340 --> 00:01:00.160]  讀進去《但義理書》的第七章
[00:01:00.160 --> 00:01:02.520]  有關人子的意象裡面
[00:01:02.520 --> 00:01:05.180]  很直接地說
[00:01:05.180 --> 00:01:09.960]  《但義理書》的第七章是預言尼塞亞的彌臨
[00:01:09.960 --> 00:01:13.520]  十個基督徒中有九個都會這樣回答
[00:01:13.520 --> 00:01:16.900]  這個一定是指著耶穌基督所說的
[00:01:16.900 --> 00:01:18.480]  還有一個
[00:01:18.480 --> 00:01:21.000]  他可能會問一個問題
[00:01:21.000 --> 00:01:23.100]  如果是這樣的話
[00:01:24.240 --> 00:01:27.760]  我身處在《但義理成書》的年代
[00:01:27.760 --> 00:01:32.220]  若果這個事情發生在五百年之後來的耶穌
[00:01:32.220 --> 00:01:36.180]  甚至是二千多年之後,這個耶穌才再來
[00:01:36.180 --> 00:01:39.440]  人子駕天雲降臨的記載
[00:01:39.440 --> 00:01:42.240]  遙遠的主在來
[00:01:42.240 --> 00:01:45.740]  對當時我這個《但義理書》的讀者
[00:01:45.740 --> 00:01:47.080]  有什麼意思呢?
[00:01:47.080 --> 00:01:51.240]  你不用怕,你受苦,你又冤屈
[00:01:51.340 --> 00:01:54.360]  你受壓迫,不要緊的,放心
[00:01:54.360 --> 00:01:56.780]  幾千年後會幫你平反
[00:01:56.780 --> 00:02:01.880]  如果是這麼遙遠的話,對當下的意義在哪裡呢?
[00:02:01.880 --> 00:02:05.120]  所以讀舊約的意象和預言
[00:02:05.120 --> 00:02:08.340]  我們必須要從聖經的歷史脈絡開始
[00:02:08.340 --> 00:02:11.740]  這一段的《但義理書》是起點來的
[00:02:11.740 --> 00:02:13.500]  是開始來的
[00:02:13.500 --> 00:02:18.200]  終點沒錯,一定是對應耶穌基督主再來的應許
[00:02:18.600 --> 00:02:23.260]  但是從這個起點,到耶穌這個終點
[00:02:23.260 --> 00:02:25.100]  是有一段的路程的
[00:02:25.100 --> 00:02:29.520]  在當中,神的說話、神的意象、祂的預言
