
[00:00:00.000 --> 00:00:02.000]  請大家再一起祈禱
[00:00:30.000 --> 00:00:32.000]  活出你的陽色
[00:00:32.000 --> 00:00:34.000]  陽王禱告奉耶穌基督的名
[00:00:34.000 --> 00:00:36.000]  阿們
[00:00:36.000 --> 00:00:40.000]  又再見多一些弟兄姊妹
[00:00:40.000 --> 00:00:42.000]  愈來愈開心
[00:00:42.000 --> 00:00:44.000]  愈來愈興奮
[00:00:44.000 --> 00:00:48.000]  2020年都是一個比較暗淡的一年
[00:00:48.000 --> 00:00:50.000]  但是到了年尾
[00:00:50.000 --> 00:00:52.000]  今天12月6日
[00:00:52.000 --> 00:00:56.000]  第一個12月的主日
[00:00:56.000 --> 00:01:02.000]  開始看到周圍都有一些活力
[00:01:02.000 --> 00:01:06.000]  政府也給我們提醒
[00:01:06.000 --> 00:01:08.000]  聖誕快到了
[00:01:08.000 --> 00:01:10.000]  你不給我們多一些慶祝
[00:01:10.000 --> 00:01:12.000]  那怎麼辦呢?
[00:01:12.000 --> 00:01:14.000]  於是很多的教會
[00:01:14.000 --> 00:01:16.000]  不單止基督教的教會
[00:01:16.000 --> 00:01:18.000]  其他的宗教
[00:01:18.000 --> 00:01:20.000]  平時我們沒有什麼來往的
[00:01:20.000 --> 00:01:22.000]  都在過去的幾個月裏
[00:01:22.000 --> 00:01:26.000]  一起去提醒我們的政府
[00:01:26.000 --> 00:01:28.000]  我們不是給他們壓力
[00:01:28.000 --> 00:01:30.000]  不過我們會提醒他們
[00:01:30.000 --> 00:01:32.000]  聖誕快到了
[00:01:32.000 --> 00:01:34.000]  還有另外一個問題
[00:01:34.000 --> 00:01:36.000]  就是那些大球場
[00:01:36.000 --> 00:01:38.000]  那些幾千人
[00:01:38.000 --> 00:01:40.000]  在那裏嘈喧巴閉
[00:01:40.000 --> 00:01:42.000]  在那裏叫喊歡呼
[00:01:42.000 --> 00:01:44.000]  但是我們連唱歌都不行
[00:01:44.000 --> 00:01:48.000]  又好像你經常都忘記了我們這一班
[00:01:48.000 --> 00:01:51.000]  很虔誠的去教會的人
[00:01:51.000 --> 00:01:55.000]  於是政府都被我們提醒
[00:01:55.000 --> 00:01:59.000]  開始有更適合的措施
