
[00:00:00.000 --> 00:00:04.480]  多謝敬拜隊給我們這幾首詩歌
[00:00:04.480 --> 00:00:08.720]  特別當唱到黑暗必過去的時候
[00:00:08.720 --> 00:00:13.340]  我們都很清楚今日香港以至世界的情況
[00:00:13.340 --> 00:00:17.120]  我們都盼望神的愛和神的道
[00:00:17.120 --> 00:00:20.860]  能夠在這段日子裏面更提醒我們
[00:00:20.860 --> 00:00:24.240]  讓我們忍耐的守望
[00:00:24.240 --> 00:00:29.820]  在當中我們求主將這一切都摧毀
[00:00:29.820 --> 00:00:32.420]  讓我們能夠像詩歌所說
[00:00:32.420 --> 00:00:35.800]  平安在神的手裏
[00:00:35.800 --> 00:00:37.560]  求主帶領我們今天晚上
[00:00:37.560 --> 00:00:40.840]  今日這個時間一起敬拜主
[00:00:40.840 --> 00:00:49.960]  我們先一起在神的面前一起禱告
[00:00:49.960 --> 00:00:56.200]  用十價補血敬愛釋放了我們的主
[00:00:56.200 --> 00:01:00.480]  疫情再一次在我們當中肆虐之際
[00:01:00.480 --> 00:01:07.640]  但都沒有攔阻到我們再一次真誠的來到你的根前
[00:01:07.640 --> 00:01:12.120]  求神幫助我們將種種的煩慮放下
[00:01:12.120 --> 00:01:15.600]  正如耶穌基督說
[00:01:15.600 --> 00:01:20.580]  「凡路苦擔重擔的人可以到我這裏來」
[00:01:20.580 --> 00:01:25.700]  就可以經歷到主你給我們這一份的安息
[00:01:25.700 --> 00:01:31.440]  求主藉著你的話再次引導我們進入真理
[00:01:31.440 --> 00:01:34.320]  使我們看得到你
[00:01:34.320 --> 00:01:37.160]  更加看得到自己
[00:01:37.160 --> 00:01:39.600]  改變我們的生命
[00:01:39.600 --> 00:01:42.120]  讓我們更加像你
[00:01:42.120 --> 00:01:48.240]  讓我們更加有負擔有能力為你活下去
[00:01:48.240 --> 00:01:51.840]  而且幫助我們更加認識
[00:01:51.840 --> 00:01:58.180]  能夠幫助其他人依靠你跟從你
[00:01:58.180 --> 00:02:00.480]  求主帶領我們這一堂道
[00:02:00.480 --> 00:02:05.360]  幫助聽的講的能夠在你面前都一切蒙恩
[00:02:05.360 --> 00:02:11.120]  我們這樣的禱告是奉群羊大牧者耶穌基督的命求
[00:02:11.120 --> 00:02:14.020]  阿門
[00:02:14.020 --> 00:02:17.920]  靠神道盡安息
[00:02:17.920 --> 00:02:20.720]  當我們看希伯來書第四章
[00:02:20.720 --> 00:02:23.740]  我會將它調教到由第十一節
[00:02:23.740 --> 00:02:24.760]  不是由第十二節
[00:02:24.760 --> 00:02:28.040]  由十一節到第十六節
[00:02:28.040 --> 00:02:31.200]  我會講神活潑的話
[00:02:31.200 --> 00:02:36.420]  引領你和我進入安息
[00:02:36.420 --> 00:02:43.180]  請聽我讀出希伯來書四章十一至十六節的經文
[00:02:43.180 --> 00:02:44.400]  這裏說
[00:02:44.400 --> 00:02:48.880]  「所以我們務必竭力進入那安息
[00:02:48.880 --> 00:02:53.140]  免得有人學那不順從的樣子跌倒了
[00:02:53.140 --> 00:02:56.060]  神的道是活潑的
[00:02:56.060 --> 00:02:58.000]  是有功效的
[00:02:58.000 --> 00:03:01.220]  比一切兩人的劍更快
[00:03:01.220 --> 00:03:03.000]  甚至魂已靈
[00:03:03.000 --> 00:03:05.820]  骨折已骨碎都能刺入
[00:03:05.820 --> 00:03:07.240]  剖開
[00:03:07.240 --> 00:03:11.680]  連心中的思念和主義都能夠辨明
[00:03:11.680 --> 00:03:17.400]  並且被做的沒有一件事可以在他面前不顯然的
[00:03:17.400 --> 00:03:22.180]  原來萬物與那與我們有關係的主眼前
[00:03:22.180 --> 00:03:25.820]  都是赤露敞開的」
[00:03:25.820 --> 00:03:30.540]  我們既然有一位已經升入高天尊榮的大祭司
[00:03:30.540 --> 00:03:33.980]  就是耶穌基督的兒子
[00:03:33.980 --> 00:03:35.980]  神的兒子耶穌
[00:03:35.980 --> 00:03:39.660]  就應該持定所承認的道
[00:03:39.660 --> 00:03:44.200]  因為我們的大祭司並非不能體恤我們的軟弱
[00:03:44.200 --> 00:03:47.160]  他也曾凡事受過試探
[00:03:47.160 --> 00:03:48.900]  與我們一樣
[00:03:48.900 --> 00:03:51.520]  只不過他沒有犯罪
[00:03:51.520 --> 00:03:55.800]  所以我們只管坦然無懼地來到施恩補助前
[00:03:55.800 --> 00:03:57.640]  為要得廉恤
[00:03:57.640 --> 00:03:59.360]  蒙恩惠
[00:03:59.360 --> 00:04:04.800]  作隨時的幫助
[00:04:04.800 --> 00:04:06.360]  「靠神話
[00:04:06.360 --> 00:04:07.640]  神的道
[00:04:07.640 --> 00:04:10.400]  盡安食」
[00:04:10.400 --> 00:04:14.300]  不知道神的話對於你來說有多好
[00:04:14.300 --> 00:04:16.640]  有多幫助呢?
[00:04:16.640 --> 00:04:19.680]  詩篇十九篇第七節這樣說
[00:04:19.680 --> 00:04:22.480]  「祂是耶穌的律法傳遞
[00:04:22.480 --> 00:04:24.800]  能夠甦醒人心」
[00:04:24.800 --> 00:04:28.640]  甦醒人心
[00:04:28.640 --> 00:04:33.320]  在2015年的3月
[00:04:33.320 --> 00:04:35.320]  在黃昏裏面
[00:04:35.320 --> 00:04:39.240]  我去到QM即是瑪麗醫院
[00:04:39.240 --> 00:04:43.440]  在護士團契裏面去靜悼
[00:04:43.440 --> 00:04:48.600]  講題是「黑聖心靈的風暴」
[00:04:48.600 --> 00:04:52.760]  講到耶穌基督如何平靜風浪
[00:04:52.760 --> 00:04:59.720]  提到當人在經歷大大小小的暴風雨的時候
[00:04:59.720 --> 00:05:04.280]  唯有耶穌基督真是在你的船裏面
[00:05:04.280 --> 00:05:09.080]  因為祂只能夠說到「住了吧 靜了吧」
[00:05:09.080 --> 00:05:13.040]  我們這班就好像當日的門徒一樣
[00:05:13.040 --> 00:05:15.400]  當我們能夠大大懼怕
[00:05:15.400 --> 00:05:20.160]  這個能夠震懾大風浪的主
[00:05:20.160 --> 00:05:22.680]  轉危為機
[00:05:22.680 --> 00:05:29.080]  我們才可以走出人生最可怕最可怕的風浪
[00:05:29.080 --> 00:05:31.640]  在散會的時候
[00:05:31.640 --> 00:05:37.080]  有一位弟兄走上前來跟我打招呼
[00:05:37.080 --> 00:05:41.320]  而且告訴我他很忙很小可
[00:05:41.320 --> 00:05:45.640]  他覺得今天是神好像提醒他
[00:05:45.640 --> 00:05:52.520]  進來這個團契再一次聽到
[00:05:52.520 --> 00:05:58.120]  當他說聽到那句「住了吧 靜了吧」
