
[00:00:00.000 --> 00:00:01.280]  各位子妹 平安
[00:00:01.280 --> 00:00:07.940]  我們以夫所書
[00:00:07.940 --> 00:00:12.540]  已經漸漸要接近尾聲了
[00:00:12.540 --> 00:00:15.100]  但是通常是
[00:00:15.100 --> 00:00:17.140]  最到後面 怎麼樣
[00:00:17.140 --> 00:00:19.960]  最精彩
[00:00:19.960 --> 00:00:25.080]  到後面很重要
[00:00:25.080 --> 00:00:26.880]  越到後面越重要
[00:00:27.380 --> 00:00:30.440]  如果我們看以夫所書的話 我們從第一章
[00:00:30.440 --> 00:00:33.000]  大概你要回想起兩年前
[00:00:33.000 --> 00:00:36.080]  第一章裡面我們就看見
[00:00:36.080 --> 00:00:41.200]  保羅在以夫所書第一章裡面就講到
[00:00:41.200 --> 00:00:44.020]  神的心意是什麼呢
[00:00:44.020 --> 00:00:46.580]  神的心意是什麼
[00:00:56.560 --> 00:00:58.100]  以夫所書第一章你看
[00:00:58.100 --> 00:01:01.680]  保羅在第一章
[00:01:01.680 --> 00:01:05.260]  這個地方第十節
[00:01:05.260 --> 00:01:06.540]  第九節
[00:01:06.540 --> 00:01:11.160]  講到說有一天他要照所安排的在日期滿足的時候
[00:01:11.160 --> 00:01:13.720]  使天上地上一切所有的
[00:01:13.720 --> 00:01:15.760]  都在基督裡面怎麼樣
[00:01:15.760 --> 00:01:17.800]  同歸於一
[00:01:17.800 --> 00:01:21.400]  所以以夫所
[00:01:21.400 --> 00:01:24.720]  以夫所書裡面讓我們看見說神的一個心意
[00:01:24.720 --> 00:01:26.520]  就是
[00:01:27.540 --> 00:01:31.120]  一切都在基督的裡面合而為一合一
[00:01:31.120 --> 00:01:33.940]  但是你看今天的這個世代
[00:01:33.940 --> 00:01:36.500]  你看見今天這個世代
[00:01:36.500 --> 00:01:39.060]  完全是相反對不對
[00:01:39.060 --> 00:01:46.220]  這個世界你可以看見國家跟國家民族跟民族甚至同一個國家同一個民族
[00:01:46.220 --> 00:01:48.020]  都在那邊彼此紛爭
[00:01:48.020 --> 00:01:50.580]  家庭在紛爭
[00:01:50.580 --> 00:01:52.380]  家庭在分裂
[00:01:53.400 --> 00:01:56.740]  美國如此西方的國家如此今天
[00:01:56.740 --> 00:02:00.840]  華人在中國在台灣在香港在世界各地
[00:02:00.840 --> 00:02:02.620]  都在走同樣的道路
[00:02:02.620 --> 00:02:03.400]  為什麼
[00:02:03.400 --> 00:02:04.920]  為什麼
[00:02:04.920 --> 00:02:08.760]  你覺得這些現象是自然發生的嗎
[00:02:08.760 --> 00:02:15.160]  上帝的心意是要合一對不對
[00:02:15.160 --> 00:02:20.540]  那為什麼今天整個世界反而是相反呢
[00:02:20.540 --> 00:02:22.600]  為什麼
[00:02:23.100 --> 00:02:23.860]  誰在控制
[00:02:23.860 --> 00:02:31.300]  所以保羅講到這個合一第一章講合一接著他開始講到這個神的心意
[00:02:31.300 --> 00:02:32.840]  要透過教會
[00:02:32.840 --> 00:02:33.860]  是不是
[00:02:33.860 --> 00:02:35.900]  教會是他在地上的代表
[00:02:35.900 --> 00:02:39.240]  神透過他的教會要來完成這個工作
[00:02:39.240 --> 00:02:47.160]  接著耶穌基督定在實相上面使人跟神之間和好了人跟人之間和好了記不記得
[00:02:47.160 --> 00:02:49.980]  然後從第四章開始
[00:02:50.240 --> 00:02:53.820]  後面的三章就講到那麼怎麼樣子來生活
[00:02:53.820 --> 00:03:01.240]  講到家庭的生活講到這個在職場上的關係講到這些的生活
[00:03:01.240 --> 00:03:05.340]  最後講完這一切之後
[00:03:05.340 --> 00:03:08.920]  他保羅說我還有末了的話
[00:03:08.920 --> 00:03:12.000]  保羅說我還有
[00:03:12.000 --> 00:03:13.020]  Finally
[00:03:13.020 --> 00:03:16.600]  這個後面的這個話很重要
[00:03:16.600 --> 00:03:18.920]  他還有末了的話要做什麼
[00:03:19.680 --> 00:03:21.220]  他就在告訴我們一件事情
[00:03:21.220 --> 00:03:23.000]  我們要征戰
[00:03:23.000 --> 00:03:29.660]  親愛的兄弟妹從你信耶穌的那一天你進入教會從你信耶穌那天進入上帝國旗
[00:03:29.660 --> 00:03:31.960]  你就在面臨
[00:03:31.960 --> 00:03:34.260]  一場屬靈的戰爭
