
[00:00:00.000 --> 00:00:03.900]  恭主明問候弟兄姊妹平安
[00:00:03.900 --> 00:00:09.180]  弟兄姊妹你看到這兩個禮拜
[00:00:09.180 --> 00:00:12.640]  都是飛機的事情 我們都很留意
[00:00:12.640 --> 00:00:14.960]  弟兄姊妹這兩個星期大家都會看到
[00:00:14.960 --> 00:00:18.580]  飛機失聯的事情 大家都很留意
[00:00:18.580 --> 00:00:20.480]  我們不知道那個結果怎樣
[00:00:20.480 --> 00:00:22.480]  我們不知道這個結果會怎樣
[00:00:22.480 --> 00:00:23.860]  不過可能我們知道
[00:00:23.860 --> 00:00:27.300]  在時候後面會見到上帝
[00:00:27.300 --> 00:00:28.700]  祂要顯祂的榮耀
[00:00:28.700 --> 00:00:31.100]  但我們可能會見到後面
[00:00:31.100 --> 00:00:35.100]  上帝會見到上帝的榮耀
[00:00:35.100 --> 00:00:37.760]  即無論一個世代怎樣混亂
[00:00:37.760 --> 00:00:39.520]  無論一個世代怎樣混亂
[00:00:39.520 --> 00:00:40.920]  怎樣鬧哂搞
[00:00:40.920 --> 00:00:42.780]  怎樣非常難搞
[00:00:42.780 --> 00:00:45.060]  耶和華仍然高高作王
[00:00:45.060 --> 00:00:48.140]  耶和華仍然高高作王
[00:00:48.140 --> 00:00:52.600]  我和大家研究耶護的資治
[00:00:52.600 --> 00:00:54.020]  耶護怎樣作王
[00:00:54.020 --> 00:00:56.900]  我和大家一直在研究耶護之治
[00:00:56.900 --> 00:00:58.700]  耶護是怎樣作王的
[00:00:58.700 --> 00:01:02.560]  特別是耶護是開頭那年是非常混亂的
[00:01:02.560 --> 00:01:07.400]  所以耶護開始的當年是非常混亂
[00:01:07.400 --> 00:01:08.580]  很多血
[00:01:08.580 --> 00:01:10.700]  要流很多血
[00:01:10.700 --> 00:01:11.600]  很多人死
[00:01:11.600 --> 00:01:13.840]  要很多人死
[00:01:13.840 --> 00:01:15.380]  還有國家亂七八糟
[00:01:15.380 --> 00:01:17.840]  國家整個是亂套了
[00:01:17.840 --> 00:01:22.040]  我們經過有幾堂來看耶護
[00:01:22.040 --> 00:01:24.700]  怎樣來治理這個國家
[00:01:24.700 --> 00:01:26.440]  我們通過幾堂講道
[00:01:26.440 --> 00:01:28.760]  來看耶護怎樣治理這個國家
[00:01:28.760 --> 00:01:31.680]  現在剛才周同學讀的經文是
[00:01:31.680 --> 00:01:35.520]  列王記下十章二十九到三十六節
[00:01:35.520 --> 00:01:37.440]  剛才周公我們讀的經文是
[00:01:37.440 --> 00:01:41.440]  列王記下十章二十九至三十六節
[00:01:41.440 --> 00:01:42.900]  一跳跳到拉尾了
[00:01:42.900 --> 00:01:45.800]  一跳就跳到結尾了
[00:01:45.800 --> 00:01:50.280]  為甚麼聖經說這麼少它中間的部份呢
[00:01:50.280 --> 00:01:53.680]  為甚麼聖經講很少它在中間那部份呢
[00:01:53.680 --> 00:01:56.400]  你們有沒有這個疑問
[00:01:56.400 --> 00:01:59.400]  大家有沒有這樣的疑問呢
[00:01:59.400 --> 00:02:02.000]  其實有一個很重要的讀聖經的原則
[00:02:02.000 --> 00:02:05.200]  大家有一個很重要的讀聖經的原則
[00:02:05.200 --> 00:02:07.160]  你很有興趣想知道的東西
[00:02:07.160 --> 00:02:09.840]  如果你很想有興趣知道的事情
[00:02:09.840 --> 00:02:11.400]  作者沒有告訴你
[00:02:11.400 --> 00:02:14.400]  作者並沒有告訴你的話
[00:02:14.400 --> 00:02:16.600]  作者即是告訴你呢
[00:02:16.600 --> 00:02:18.120]  你的觀念是甚麼呢
[00:02:18.120 --> 00:02:20.760]  作者告訴你這個觀念是甚麼呢
[00:02:20.760 --> 00:02:21.640]  不重要
[00:02:21.640 --> 00:02:23.240]  不重要
[00:02:23.240 --> 00:02:23.760]  是嗎
[00:02:23.760 --> 00:02:25.320]  你有身分證
[00:02:25.320 --> 00:02:27.840]  你有小孩你是不是每樣東西都告訴他
[00:02:27.840 --> 00:02:29.840]  你是不是每件事都要告訴他呢
[00:02:29.840 --> 00:02:31.960]  對他有關的你講
[00:02:31.960 --> 00:02:33.480]  對他有關的咱們要告訴他
[00:02:33.480 --> 00:02:35.680]  這部聖經是對我們有關的呢
[00:02:35.680 --> 00:02:37.520]  這世界對我們有關聯的
[00:02:37.520 --> 00:02:40.440]  上帝接著他的僕人就寫下來給我們知道
[00:02:40.440 --> 00:02:44.120]  上帝就接著他的僕人寫下來告訴我們
[00:02:44.120 --> 00:02:46.280]  好現在我們去
[00:02:46.280 --> 00:02:49.960]  在耶護之四大家手上有大綱了
[00:02:49.960 --> 00:02:52.920]  好我們現在看耶護之四第四章
[00:02:52.920 --> 00:02:54.720]  大家手上都有大綱
[00:02:54.720 --> 00:02:56.520]  今天經文不是很長
[00:02:56.520 --> 00:02:58.160]  今天經文不是很長
[00:02:58.160 --> 00:02:59.480]  我將它分成五點
[00:02:59.480 --> 00:03:01.000]  我將它分成五點
[00:03:01.000 --> 00:03:02.880]  手上的大綱你們可以看到了
[00:03:02.880 --> 00:03:06.080]  手上的大綱大家可以看到
[00:03:06.080 --> 00:03:10.920]  耶護之子是在主前八百四十一年開始
[00:03:10.920 --> 00:03:15.560]  耶護之子是在主前八百四十一年開始
[00:03:15.560 --> 00:03:17.720]  因為我跟大家讀的是甚麼呢
[00:03:17.720 --> 00:03:20.000]  一起研究是以色列北部的歷史
[00:03:20.000 --> 00:03:24.080]  我和大家所研究的都是以色列北部的歷史
[00:03:24.080 --> 00:03:25.720]  北部就是以色列
[00:03:25.720 --> 00:03:26.920]  北部就是以色列
[00:03:26.920 --> 00:03:28.440]  大家知道有個南部
[00:03:28.440 --> 00:03:29.880]  大家知道有個南部
[00:03:29.880 --> 00:03:30.600]  猶大
[00:03:30.600 --> 00:03:32.520]  那是猶大國
[00:03:32.520 --> 00:03:41.600]  那現在經文就是列王記下很尊敬列王記北部
[00:03:41.600 --> 00:03:44.480]  列王記下很尊敬北部
[00:03:44.480 --> 00:03:46.440]  但是兩家是有相連的
[00:03:46.440 --> 00:03:48.040]  但是兩家是有相連的
[00:03:48.040 --> 00:03:49.840]  大家知道北部是一個大國
[00:03:49.840 --> 00:03:51.520]  大家知道北部是一個大國
[00:03:51.520 --> 00:03:52.880]  以色列十二支派
[00:03:52.880 --> 00:03:54.440]  以色列十二支派
[00:03:54.440 --> 00:03:55.960]  北部佔了十支派
[00:03:55.960 --> 00:03:57.280]  北部佔了十支派
[00:03:57.280 --> 00:03:59.440]  嚴格來說是十支派半
[00:03:59.440 --> 00:04:02.840]  嚴格來說是十支派半
[00:04:02.840 --> 00:04:04.320]  好
[00:04:04.320 --> 00:04:08.000]  學者對北部的歷史有這樣的提議
[00:04:08.000 --> 00:04:12.600]  作者對北部的歷史有這樣的提議
[00:04:12.600 --> 00:04:16.560]  因為北部由頭到尾沒有一個好的君王
[00:04:16.560 --> 00:04:19.840]  因為北部從頭到尾沒有一個好的君王
[00:04:19.840 --> 00:04:21.920]  每一個君王都是值得上帝的
[00:04:21.920 --> 00:04:24.760]  每一個君王都是值得上帝的
[00:04:24.760 --> 00:04:26.120]  所以北部是早些滅亡的
[00:04:26.120 --> 00:04:28.480]  所以北部是早些滅亡的
[00:04:28.480 --> 00:04:29.480]  在北部來說
[00:04:29.480 --> 00:04:33.520]  現在有解經家說
