
[00:00:00.000 --> 00:00:03.260]  「非一般的時代,非一般的崇拜」
[00:00:03.260 --> 00:00:06.680]  歡迎大家來到我們的周六崇拜
[00:00:06.680 --> 00:00:09.560]  由2018年1月開始
[00:00:09.560 --> 00:00:12.460]  我們一直在研讀《馬可》的福音
[00:00:12.460 --> 00:00:15.800]  到現在已經有兩年半的時間
[00:00:15.800 --> 00:00:20.520]  我們講道系列的總題叫做「非凡的見證」
[00:00:20.520 --> 00:00:23.920]  不是因為馬可是一個非凡的作者
[00:00:23.920 --> 00:00:28.760]  而是因為主耶穌基督是一個非凡的救主
[00:00:28.760 --> 00:00:32.960]  兩個星期前我們開始閱讀《馬可福音》第十三章
[00:00:32.960 --> 00:00:37.280]  當時的題目是「世界終結的預兆」
[00:00:37.280 --> 00:00:39.440]  究竟《馬可福音》第十三章
[00:00:39.440 --> 00:00:41.640]  剛才我們讀過三十七節
[00:00:41.640 --> 00:00:47.440]  裏面所講的是不是關於世界終結的預兆
[00:00:47.440 --> 00:00:50.360]  世界終結之前將要發生的事
[00:00:50.360 --> 00:00:53.080]  答案是「Yes」和「No」
[00:00:53.080 --> 00:00:57.600]  我希望你還記得兩個星期前我講過的一些東西
[00:00:57.600 --> 00:00:59.920]  因為時間的關係
[00:00:59.920 --> 00:01:02.040]  兩個星期前我只講了上集
[00:01:02.040 --> 00:01:04.480]  今天我會繼續講下集
[00:01:04.480 --> 00:01:06.440]  經文仍然是一樣
[00:01:06.440 --> 00:01:09.600]  一至三十七節的題目不一樣
[00:01:09.600 --> 00:01:15.080]  題目是「世界的末了」和「天國的使命」
[00:01:15.080 --> 00:01:18.520]  我想再次帶你回到《馬可福音》第十三章
[00:01:18.520 --> 00:01:22.120]  耶穌最後一周裏面的故事
[00:01:22.120 --> 00:01:24.880]  《馬可福音》第十三章第一節這樣說
[00:01:24.880 --> 00:01:27.280]  耶穌從聖殿裏出來的時候
[00:01:27.280 --> 00:01:29.360]  有一個門徒對他說
[00:01:29.360 --> 00:01:34.120]  「老師,請看,這是多麼了不起的石頭
[00:01:34.120 --> 00:01:36.800]  多麼了不起的建築」
[00:01:36.800 --> 00:01:38.440]  於是耶穌回答說
[00:01:38.440 --> 00:01:40.680]  耶穌對他們說
[00:01:40.680 --> 00:01:44.200]  「你看見這些宏偉的建築嗎?
[00:01:44.200 --> 00:01:46.720]  這裏將沒有一塊石頭
[00:01:46.720 --> 00:01:51.760]  會留在另一塊石頭上而不被摧毀的」
[00:01:51.760 --> 00:01:53.040]  耶穌在講甚麼?
[00:01:53.040 --> 00:01:58.480]  耶穌在講的是公元七十年將要成就的一個預言
[00:01:58.480 --> 00:02:00.160]  就是耶路撒冷被毀
[00:02:00.160 --> 00:02:03.320]  就是聖殿被毀
[00:02:03.320 --> 00:02:04.680]  從一個屬靈的角度
