
[00:00:00.000 --> 00:00:05.000]  今日和大家一同要在敬拜的時候思想的訊息
[00:00:05.000 --> 00:00:11.680]  名字就是「基督徒當以河為誇」
[00:00:11.680 --> 00:00:16.240]  「基督徒當以河為誇」 我們先做一個祈禱
[00:00:16.240 --> 00:00:20.120]  親愛的天父 我們感謝祢賜給我們生命氣息
[00:00:20.120 --> 00:00:23.180]  讓我們聚集在這個地點
[00:00:23.180 --> 00:00:25.880]  在今日你分別為聖的日子
[00:00:25.880 --> 00:00:28.380]  主日是你分別為聖的
[00:00:28.380 --> 00:00:31.940]  眾信徒聚集在你的家中
[00:00:31.940 --> 00:00:35.080]  我們唱詩 我們讚美
[00:00:35.080 --> 00:00:37.180]  我們要聆聽你的說話
[00:00:37.180 --> 00:00:39.340]  因為這個世代邪惡
[00:00:39.340 --> 00:00:40.920]  倘若我們沒有你的話語
[00:00:40.920 --> 00:00:44.280]  成為我們的腳前燈 路上光
[00:00:44.280 --> 00:00:46.100]  我們很容易迷失
[00:00:46.100 --> 00:00:49.120]  我們很容易雖然是帶著信仰
[00:00:49.120 --> 00:00:52.280]  但是我們活出的生命和世人蒙別
[00:00:52.280 --> 00:00:54.560]  主日我們需要回到祢的面前
[00:00:54.560 --> 00:00:56.280]  求祢教導我們
[00:00:56.280 --> 00:00:58.920]  求祢將祢的說話向我們顯明
[00:00:58.920 --> 00:01:00.920]  讓我們明白祢的心意
[00:01:00.920 --> 00:01:03.480]  我們將以下我們分享思想
[00:01:03.480 --> 00:01:06.340]  祢話語的時間 恭敬交在祢的手中
[00:01:06.340 --> 00:01:08.120]  願祢向我們的說話
[00:01:08.120 --> 00:01:09.980]  願祢親自引導我們
[00:01:09.980 --> 00:01:11.840]  我們同心合意祈禱
[00:01:11.840 --> 00:01:14.880]  奉耶穌基督的聖名求 阿們
[00:01:14.880 --> 00:01:19.920]  在最近這一個多月
[00:01:19.920 --> 00:01:23.440]  都有不少所謂的「叱吒風雲」的人
[00:01:23.440 --> 00:01:25.720]  一一離世
[00:01:25.720 --> 00:01:30.460]  我可以數到有三個比較知名度高的
[00:01:30.460 --> 00:01:32.820]  一個就是非洲的
[00:01:32.820 --> 00:01:34.720]  南非的一個領袖
[00:01:34.720 --> 00:01:36.280]  叫曼達拉
[00:01:36.280 --> 00:01:39.020]  曼達拉都活到九十多歲
[00:01:39.020 --> 00:01:42.120]  他的特別的地方
[00:01:42.120 --> 00:01:43.920]  就在南非那裏
[00:01:43.920 --> 00:01:46.480]  他要解放的活動
[00:01:46.480 --> 00:01:49.860]  曾經被監禁二十八年
[00:01:49.860 --> 00:01:51.720]  當他去放監的時候
[00:01:51.720 --> 00:01:54.960]  已經是六十多歲 七十多歲
[00:01:54.960 --> 00:01:57.760]  想著人日落西天
[00:01:57.760 --> 00:01:59.160]  但是他再放監出來
[00:01:59.160 --> 00:02:02.760]  仍然是高舉要教育下一代
[00:02:02.760 --> 00:02:04.880]  所以他對南非的影響很大
[00:02:04.880 --> 00:02:07.080]  最近他就離世了
[00:02:07.080 --> 00:02:08.580]  另外一個人物
[00:02:08.580 --> 00:02:10.760]  也是我們基督教圈子裏面
[00:02:10.760 --> 00:02:13.820]  很敬重一位的屬靈長輩
[00:02:13.820 --> 00:02:15.420]  藤鎮輝牧師
[00:02:15.420 --> 00:02:18.620]  他也是剛剛歸主了
[00:02:18.620 --> 00:02:21.860]  在十月十九號的時候
[00:02:21.860 --> 00:02:23.920]  一世 其實九十多歲
[00:02:23.920 --> 00:02:25.420]  他一生都是服侍主
[00:02:25.420 --> 00:02:26.820]  直到最後幾年
[00:02:26.820 --> 00:02:29.860]  因為開始體力沒那麼以前健康
[00:02:29.860 --> 00:02:31.420]  才退下來
[00:02:31.420 --> 00:02:34.060]  一生為主 打造美好的帳篷
[00:02:34.060 --> 00:02:37.460]  另外一個就是影視界的名人
[00:02:37.460 --> 00:02:41.720]  大家可能這個你們都知道
[00:02:41.720 --> 00:02:43.260]  邵逸夫先生
[00:02:43.260 --> 00:02:45.260]  一百零七歲
[00:02:45.260 --> 00:02:48.820]  不同的人無論你活多少歲
[00:02:48.820 --> 00:02:51.520]  我今天早上洗臉的時候
