
[00:00:00.000 --> 00:00:02.000]  各位代言之妹 各位朋友
[00:00:02.000 --> 00:00:05.000]  晚安 主內便平安
[00:00:05.000 --> 00:00:06.000]  感謝上帝的恩典
[00:00:06.000 --> 00:00:08.000]  讓我們一起回到教會當中
[00:00:08.000 --> 00:00:11.000]  可以一起透過詩歌去讚美神
[00:00:11.000 --> 00:00:14.000]  而且也可以一起學習神的話語
[00:00:14.000 --> 00:00:17.000]  讓我們一起低頭禱告吧
[00:00:17.000 --> 00:00:20.000]  創造天地萬有的上帝
[00:00:20.000 --> 00:00:22.000]  我們獻上衷心的感恩
[00:00:22.000 --> 00:00:23.000]  很感謝你
[00:00:23.000 --> 00:00:25.000]  因為你做了這麼美麗的世界
[00:00:25.000 --> 00:00:27.000]  讓我們居住在其中
[00:00:27.000 --> 00:00:29.000]  也讓我們認識神
[00:00:29.000 --> 00:00:31.000]  能夠成為神你自己寶貴的兒女
[00:00:31.000 --> 00:00:33.000]  我們獻上感謝
[00:00:33.000 --> 00:00:35.000]  也很感謝你建立教會
[00:00:35.000 --> 00:00:38.000]  讓我們屬你的人能夠可以聚受一堂
[00:00:38.000 --> 00:00:40.000]  能夠同心的去歌頌你
[00:00:40.000 --> 00:00:43.000]  也在裡面去細讀你的話語
[00:00:43.000 --> 00:00:46.000]  讓我們學習信心的功課
[00:00:46.000 --> 00:00:48.000]  讓我們每一天能夠靠神你而行
[00:00:48.000 --> 00:00:50.000]  能夠去見證榮耀你的美名
[00:00:50.000 --> 00:00:53.000]  多謝你聽我們同心合意祈禱
[00:00:53.000 --> 00:00:56.000]  奉靠基督耶穌名字禱告
[00:00:56.000 --> 00:00:57.000]  阿們
[00:00:58.000 --> 00:01:00.000]  今天來到創世紀第幾講
[00:01:00.000 --> 00:01:03.000]  第十講
[00:01:03.000 --> 00:01:05.000]  上星期有沒有弟兄前輩來崇拜
[00:01:05.000 --> 00:01:08.000]  不知道大家記不記得
[00:01:08.000 --> 00:01:10.000]  上次循循道的Philip
[00:01:10.000 --> 00:01:15.000]  講到什麼創世紀的走向
[00:01:15.000 --> 00:01:17.000]  創世紀是技術神
[00:01:17.000 --> 00:01:19.000]  按照祂的心意
[00:01:19.000 --> 00:01:22.000]  去設計創造這個世界
[00:01:22.000 --> 00:01:24.000]  也按照祂寶貴的形象
