
[00:00:00.000 --> 00:00:04.000]  各位親愛的弟兄姊妹們 早安
[00:00:04.000 --> 00:00:08.000]  沒想到在三十多年前
[00:00:08.000 --> 00:00:12.000]  能夠有機會來到史雲頓華人基督教會
[00:00:12.000 --> 00:00:15.000]  那時應該還是團契吧 Andrew
[00:00:15.000 --> 00:00:18.000]  那時還是團契的時刻
[00:00:18.000 --> 00:00:23.000]  你們應該在Freshport Evangelical Church的時候
[00:00:23.000 --> 00:00:25.000]  就有這個團契
[00:00:25.000 --> 00:00:28.000]  我又有機會帶著我兒子
[00:00:28.000 --> 00:00:31.000]  和我父母一起來這裡
[00:00:31.000 --> 00:00:35.000]  我這次來到這裡算是懷舊了
[00:00:35.000 --> 00:00:37.000]  為什麼呢?
[00:00:37.000 --> 00:00:40.000]  因為完全不知道自己來過這裡
[00:00:40.000 --> 00:00:42.000]  我都忘記了
[00:00:42.000 --> 00:00:45.000]  如果不是梁銓道有機會
[00:00:45.000 --> 00:00:49.000]  來跟陳銓道說這件事
[00:00:49.000 --> 00:00:52.000]  我也不知道自己曾經來過這個地方
[00:00:52.000 --> 00:00:54.000]  這個城市
[00:00:54.000 --> 00:00:59.000]  所以在Doncaster第一次坐火車
[00:00:59.000 --> 00:01:03.000]  再坐濕圍 再坐火車下來這裡
[00:01:03.000 --> 00:01:05.000]  很感恩
[00:01:05.000 --> 00:01:07.000]  真是難以想像
[00:01:07.000 --> 00:01:11.000]  原來人生裡真的有很多很多的改變
[00:01:11.000 --> 00:01:13.000]  在我們的人生裡
[00:01:13.000 --> 00:01:16.000]  那時梁銓道和我都很年輕
[00:01:16.000 --> 00:01:19.000]  眨眨眼睛 白頭髮來了
[00:01:19.000 --> 00:01:21.000]  所以看到
[00:01:21.000 --> 00:01:25.000]  我們今天如何在屬靈生命裡成長
[00:01:25.000 --> 00:01:30.000]  如何在生活裡繼續見證神的恩典
[00:01:30.000 --> 00:01:34.000]  正是你們教會今年的主題
[00:01:34.000 --> 00:01:38.000]  如何屬靈恩典來發展
[00:01:38.000 --> 00:01:41.000]  我坐火車下來 坐地鐵下來
[00:01:41.000 --> 00:01:44.000]  但很多時候都是在一個地方
[00:01:44.000 --> 00:01:47.000]  這個地方是什麼地方呢?
[00:01:49.000 --> 00:01:51.000]  對了 機場
[00:01:51.000 --> 00:01:55.000]  因為我經常一年跑四次回香港
[00:01:55.000 --> 00:01:58.000]  當然要回香港坐飛機
[00:01:58.000 --> 00:02:05.000]  然後又去台灣 去其他地方的時候
[00:02:05.000 --> 00:02:09.000]  很多時候我都會在這些機場
[00:02:09.000 --> 00:02:12.000]  在機場的時候我都會有一個感覺
[00:02:12.000 --> 00:02:15.000]  究竟這些人在做什麼呢?
[00:02:15.000 --> 00:02:18.000]  會不會像我這樣出差呢?
[00:02:18.000 --> 00:02:20.000]  還是去旅遊呢?
[00:02:20.000 --> 00:02:24.000]  究竟他們的身份是什麼呢?
[00:02:24.000 --> 00:02:29.000]  我們基督徒是不是只有一種身份呢?
[00:02:29.000 --> 00:02:31.000]  當我們一路去想的時候
[00:02:31.000 --> 00:02:34.000]  我們就說究竟我在這個世界裡
[00:02:34.000 --> 00:02:38.000]  是不是只在教會裡出現的一種身份
[00:02:38.000 --> 00:02:43.000]  究竟我在其他地方有沒有另外一些身份呢?
[00:02:43.000 --> 00:02:49.000]  我想一下 這是我們基督徒有的一些不同的身份
[00:02:49.000 --> 00:02:52.000]  所以我今天來跟大家分享的時候
[00:02:52.000 --> 00:02:54.000]  說相織的時候
[00:02:54.000 --> 00:02:57.000]  就是說我們有兩個不同的織法
[00:02:57.000 --> 00:02:58.000]  不同的身份
[00:02:58.000 --> 00:03:04.000]  如果我們在生活裡有醫生護士會計師
[00:03:04.000 --> 00:03:09.000]  做不同的職場裡的不同的職業
[00:03:09.000 --> 00:03:12.000]  這些都是叫做不同的身份
[00:03:12.000 --> 00:03:16.000]  我自己和太太每個星期六在紐約
[00:03:16.000 --> 00:03:19.000]  就是叫做NYPD 做輔警的
[00:03:19.000 --> 00:03:21.000]  我們一路做輔警
[00:03:21.000 --> 00:03:24.000]  你看到要出勤
[00:03:24.000 --> 00:03:27.000]  要來幫助社區的民眾
[00:03:27.000 --> 00:03:29.000]  這個漂亮嗎?
[00:03:29.000 --> 00:03:30.000]  漂亮啊
[00:03:30.000 --> 00:03:32.000]  這個是師姐
