
[00:00:00.000 --> 00:00:06.080]  感謝主啊 今天上帝帶領大家一齊回到崇拜
[00:00:06.080 --> 00:00:09.400]  不知你今早起床的時候有沒有掙扎
[00:00:09.400 --> 00:00:13.400]  現在炸亂還寒的天氣 不知道是冷還是熱
[00:00:13.400 --> 00:00:15.680]  可能有時我們也會有些掙扎
[00:00:15.680 --> 00:00:19.480]  特別是一家大小 可能媽媽早起床
[00:00:19.480 --> 00:00:21.760]  就請小朋友和老公起床
[00:00:21.760 --> 00:00:24.400]  然後很忙的回到家
[00:00:24.400 --> 00:00:25.960]  可能還有不同的侍奉崗位
[00:00:25.960 --> 00:00:30.200]  這一刻終於可以坐下在禮堂上敬拜
[00:00:30.200 --> 00:00:31.400]  感謝主啊
[00:00:31.400 --> 00:00:35.960]  又或者我過了一星期都習慣了
[00:00:35.960 --> 00:00:38.880]  這段時間回到家 沒有什麼掙扎
[00:00:38.880 --> 00:00:44.920]  很正常 很感恩 完全沒有掙扎
[00:00:44.920 --> 00:00:47.400]  怎樣也好 我們做過基督徒
[00:00:47.400 --> 00:00:50.520]  基督徒是回教會的 不是基督徒也知道的
[00:00:50.520 --> 00:00:52.240]  不可停止聚會
[00:00:52.240 --> 00:00:56.760]  很像亞瑟停止慣了的人 希伯來書聖經的教導
[00:00:56.760 --> 00:00:59.680]  我們也很熟悉
[00:00:59.680 --> 00:01:01.920]  但我們是否因為這是基督徒的責任
[00:01:01.920 --> 00:01:03.520]  所以我們回來呢
[00:01:03.520 --> 00:01:05.880]  你說也是的 但可能有人說
[00:01:05.880 --> 00:01:10.320]  也不是的 我愛主耶穌 我就回來
[00:01:10.320 --> 00:01:12.720]  那是外地的責任呢
[00:01:12.720 --> 00:01:16.520]  可不可以兩樣都是呢
[00:01:16.520 --> 00:01:22.840]  如果你還記得 去年香港經常打風 橫風橫雨
[00:01:22.840 --> 00:01:29.000]  很多地盤都很惹事
[00:01:29.000 --> 00:01:32.440]  有人訪問一個地盤工人
[00:01:32.440 --> 00:01:34.720]  在這樣的情況下
[00:01:34.720 --> 00:01:41.040]  究竟是什麼驅使你在橫風橫雨下工作呢
[00:01:41.040 --> 00:01:45.400]  是愛還是責任呢
