
[00:00:00.000 --> 00:00:01.800]  我們今天很想和大家來看
[00:00:01.800 --> 00:00:04.200]  《路加福音》耶穌的教導
[00:00:04.200 --> 00:00:06.320]  《路加福音》第十四章
[00:00:06.320 --> 00:00:11.320]  我會分兩次和大家一起去領受神給我們的說話
[00:00:11.320 --> 00:00:13.560]  今天會說一到二十四節
[00:00:13.560 --> 00:00:17.160]  下星期我會說二十五到三十五節
[00:00:17.160 --> 00:00:18.560]  所以如果大家有時間
[00:00:18.560 --> 00:00:20.200]  可以回去看看
[00:00:20.200 --> 00:00:20.880]  預備一下
[00:00:20.880 --> 00:00:23.240]  下星期我們在崇拜當中
[00:00:23.240 --> 00:00:25.040]  繼續去領受
[00:00:25.640 --> 00:00:30.160]  今天我給大家的題目是說到耶穌父賢侄的教導
[00:00:30.160 --> 00:00:32.200]  如果大家仍有印象
[00:00:32.200 --> 00:00:33.520]  我們教會這一兩年
[00:00:33.520 --> 00:00:37.240]  我們都推動一個Bless的行動
[00:00:37.240 --> 00:00:39.240]  D-L-E-S-S
[00:00:39.240 --> 00:00:42.520]  以前也有一個提醒
[00:00:42.520 --> 00:00:44.360]  有一個牌在後面
[00:00:44.360 --> 00:00:48.040]  八十週年就換了一個八十週年的Logo
[00:00:48.040 --> 00:00:49.600]  不知道大家還記不記得
[00:00:49.600 --> 00:00:51.480]  今年我們的主題
[00:00:51.480 --> 00:00:53.600]  集中在Bless裡面的是哪一個呢?
[00:00:54.320 --> 00:00:56.320]  我們集中在E裡面
[00:00:56.320 --> 00:00:57.560]  B-L-E-S-S
[00:00:57.560 --> 00:00:58.880]  這個E代表什麼呢?
[00:00:58.880 --> 00:01:00.680]  Eating
[00:01:00.680 --> 00:01:03.760]  就是鼓勵大家去吃東西
[00:01:03.760 --> 00:01:06.320]  當然我們每個人每天都要吃點東西
[00:01:06.320 --> 00:01:08.240]  但是這個Eating其實是提醒我們
[00:01:08.240 --> 00:01:11.400]  可以約一下不同的人去吃東西
[00:01:11.400 --> 00:01:14.320]  透過我們一起聊聊天
[00:01:14.320 --> 00:01:15.400]  吃吃東西的時候
[00:01:15.400 --> 00:01:17.680]  可以多一點認識
[00:01:17.680 --> 00:01:18.960]  建立關係
[00:01:18.960 --> 00:01:22.760]  可以一起分享感恩、見證
[00:01:22.760 --> 00:01:23.880]  都可以
[00:01:23.880 --> 00:01:31.840]  所以這是在說我們很想透過吃吃東西來聯繫大家
[00:01:31.840 --> 00:01:34.320]  耶穌這個賦賢者教導
[00:01:34.320 --> 00:01:36.520]  我想是一個講到吃
[00:01:36.520 --> 00:01:40.080]  這個Eating裡面其中一種的方式
[00:01:40.080 --> 00:01:42.440]  去賦賢藉
[00:01:42.440 --> 00:01:45.520]  這個賦賢藉用現代人的說話可以叫做什麼呢?
[00:01:45.520 --> 00:01:47.720]  去喝
[00:01:47.720 --> 00:01:50.760]  這個賦賢藉其實就是和我們大家平時去喝
[00:01:50.760 --> 00:01:52.080]  實際上耶穌
[00:01:52.080 --> 00:01:55.800]  待會我們看經文就知道耶穌去了一個人的家裡吃飯
[00:01:55.800 --> 00:01:58.360]  然後耶穌就講了兩個比喻
[00:01:58.360 --> 00:02:01.280]  這兩個比喻其實發生的場景都是去喝的
[00:02:01.280 --> 00:02:02.760]  婚姻的賢藉
[00:02:02.760 --> 00:02:04.800]  所以賦賢藉是講到去喝
[00:02:04.800 --> 00:02:08.120]  但是其實當中有一個更重要的教導
[00:02:08.120 --> 00:02:10.640]  透過賦賢藉去喝的時候
[00:02:10.640 --> 00:02:12.880]  是提醒我們弟兄姊妹的
[00:02:12.880 --> 00:02:14.720]  在這段經文
[00:02:14.720 --> 00:02:16.120]  第一到第六節
[00:02:16.120 --> 00:02:20.520]  講到這群法尼塞人心裡面沒有說出來的話
[00:02:20.520 --> 00:02:22.240]  但是耶穌已經看得很清楚
[00:02:22.240 --> 00:02:25.040]  其實也是我們過往有機會讀福音書的時候
[00:02:25.040 --> 00:02:27.400]  我們都會聽過
