
[00:00:00.000 --> 00:00:04.200]  我們今天進入一個不容易說的議題
[00:00:04.200 --> 00:00:07.700]  分隔、盼望、從遇
[00:00:07.700 --> 00:00:09.100]  先考考大家
[00:00:09.100 --> 00:00:11.700]  以上不同的病毒
[00:00:11.700 --> 00:00:14.200]  想看看大家知不知道從哪裡來
[00:00:14.200 --> 00:00:17.200]  從哪一個生物而來
[00:00:17.200 --> 00:00:19.400]  先考考大家一個比較簡單的
[00:00:19.400 --> 00:00:23.400]  就是蜂牛症是從什麼生物而來的
[00:00:23.400 --> 00:00:27.200]  牛啦,所以巴西乳磚從英國回來
[00:00:27.200 --> 00:00:31.600]  你不可以捐血了,因為可能有蜂牛症
[00:00:31.600 --> 00:00:33.600]  蜂牛症有什麼特質的,巴西乳磚
[00:00:33.600 --> 00:00:37.600]  老馬會變成一個海綿
[00:00:37.600 --> 00:00:41.600]  變成一個海綿,你這麼聰明一定沒事的,放心
[00:00:41.600 --> 00:00:43.600]  豬流感是什麼來的
[00:00:43.600 --> 00:00:45.600]  豬啦,很明顯
[00:00:45.600 --> 00:00:49.600]  接著問一些深一點的,H5N1呢
[00:00:49.600 --> 00:00:53.600]  是什麼來的,從哪裡來的
[00:00:53.600 --> 00:00:56.600]  家禽啦
[00:00:56.600 --> 00:01:00.600]  愛滋病從哪裡來的
[00:01:00.600 --> 00:01:03.600]  猩猩啦
[00:01:03.600 --> 00:01:07.600]  伊波拉病毒呢
[00:01:07.600 --> 00:01:09.600]  哪裡來的
[00:01:09.600 --> 00:01:12.600]  蚊子,不是喔
[00:01:12.600 --> 00:01:17.600]  伊波拉病毒原本的媒介不是蚊子來的
[00:01:17.600 --> 00:01:18.600]  是什麼呢
[00:01:18.600 --> 00:01:22.600]  是蝙蝠、果蝠和大猩猩
[00:01:22.600 --> 00:01:26.600]  接著是蚊子等等
[00:01:26.600 --> 00:01:31.600]  好了,中東呼吸綜合症是什麼
[00:01:31.600 --> 00:01:34.600]  說完都不認識了,認不認識
[00:01:34.600 --> 00:01:36.600]  駱駝,為什麼你認識的
[00:01:36.600 --> 00:01:39.600]  看新聞的,哎呀,我們沒有看
[00:01:39.600 --> 00:01:41.600]  看新聞的
[00:01:41.600 --> 00:01:45.600]  最後問今天,冠狀病毒是什麼
[00:01:45.600 --> 00:01:47.600]  從哪裡來的
[00:01:47.600 --> 00:01:49.600]  蝙蝠,還有呢
[00:01:49.600 --> 00:01:51.600]  沒錯,蝙蝠和蛇
[00:01:51.600 --> 00:01:53.600]  這些我們都清楚知道
[00:01:53.600 --> 00:01:56.600]  也實在在影響全世界
[00:01:56.600 --> 00:01:58.600]  也在不同的疫情中
[00:01:58.600 --> 00:02:01.600]  有人辛苦,有人死亡
[00:02:01.600 --> 00:02:03.600]  還有一種病毒呢
[00:02:03.600 --> 00:02:06.600]  我問問大家,知不知道從哪裡來的
[00:02:06.600 --> 00:02:09.600]  這個病毒叫做自大
[00:02:09.600 --> 00:02:12.600]  從哪裡來的
[00:02:12.600 --> 00:02:15.600]  從自己來的,從人來的,沒錯
[00:02:15.600 --> 00:02:17.600]  在外在的病毒,我們知道
[00:02:17.600 --> 00:02:20.600]  在不同的媒介中,最近我們知道
[00:02:20.600 --> 00:02:23.600]  全球已經超過300萬人受感染
[00:02:23.600 --> 00:02:25.600]  但是這些病毒都是外來的
