
[00:00:00.000 --> 00:00:07.200]  我不知道大家在祈禱裡面有沒有跟神討價還價去講數
[00:00:07.200 --> 00:00:09.200]  神啊,你要幫我們怎樣怎樣
[00:00:09.200 --> 00:00:12.000]  如果不是的話,我們要怎樣怎樣
[00:00:12.000 --> 00:00:14.200]  求神來成就一些事
[00:00:14.200 --> 00:00:18.800]  但是其實我們如果跟神來講數的時候
[00:00:18.800 --> 00:00:23.200]  我們背後有什麼理念和心態呢?
[00:00:23.200 --> 00:00:27.500]  今天我們會從《信心之父》阿巴拉罕裡面
[00:00:27.500 --> 00:00:30.400]  一個祈禱是有所學習的
[00:00:30.400 --> 00:00:32.500]  我先去讀這段聖經
[00:00:32.500 --> 00:00:37.300]  就是約《創世紀》第十八章十六到三十三節
[00:00:37.300 --> 00:00:38.600]  因為是很長的
[00:00:38.600 --> 00:00:39.900]  所以為什麼是我讀呢?
[00:00:39.900 --> 00:00:41.400]  因為我讀得很快的
[00:00:41.400 --> 00:00:42.900]  所以有時候我都講到
[00:00:42.900 --> 00:00:46.600]  老人家聽不聽得到我都好像很奇怪
[00:00:46.600 --> 00:00:47.600]  大家聽我讀出
[00:00:47.600 --> 00:00:50.700]  三人就從那裡起行,向所多買觀看
[00:00:50.700 --> 00:00:53.800]  阿巴拉罕有和與他們同行
[00:00:53.800 --> 00:00:55.600]  要送他們一程
[00:00:55.600 --> 00:01:00.400]  耶和說,我所要做的事,豈可瞞著阿巴拉罕呢?
[00:01:00.400 --> 00:01:03.600]  阿巴拉罕必要成為強大的國
[00:01:03.600 --> 00:01:07.100]  地上的萬國,都必因他得福
[00:01:07.100 --> 00:01:13.100]  我眷顧他,為要叫他吩咐他的眾子和他的眷屬遵守我的道
[00:01:13.100 --> 00:01:18.600]  秉公行義,使我所應許阿巴拉罕的話都成就了
[00:01:18.600 --> 00:01:23.900]  耶和說,所得瑪和摩拉的罪惡甚重聲聞於我
[00:01:23.900 --> 00:01:27.400]  我現在要下去,察看他們所行的
[00:01:27.400 --> 00:01:32.200]  果然像那達到我耳中的聲音一樣嗎?
[00:01:32.200 --> 00:01:35.400]  若是不言,我也必知道
[00:01:35.400 --> 00:01:38.400]  二人轉身離開那裡,向所多買去
[00:01:38.400 --> 00:01:42.400]  但阿巴拉罕仍舊站在耶和說面前
[00:01:42.400 --> 00:01:44.600]  阿巴拉罕近前來說
[00:01:44.600 --> 00:01:47.600]  無論是惡,你都要剿滅嗎?
[00:01:47.600 --> 00:01:52.200]  假若那城裡有五十多二人,你還剿滅那地方嗎?
[00:01:52.200 --> 00:01:57.200]  不為城裡這五十多二人饒恕其中的人嗎?
[00:01:57.200 --> 00:02:01.700]  將二人和惡人同殺,將二人與惡人一樣看待
[00:02:01.700 --> 00:02:06.700]  這豈不是你所行的?
[00:02:06.700 --> 00:02:10.200]  審判全地的主豈不行公義嗎?
[00:02:10.200 --> 00:02:15.700]  耶和說,我若在所多瑪城裡見有五十多二人
[00:02:15.700 --> 00:02:19.200]  我就為他們的緣故饒恕那地方的眾人
[00:02:19.200 --> 00:02:24.200]  阿巴拉罕說,我雖然是灰塵,還敢對主說
[00:02:24.200 --> 00:02:28.700]  假若這五十多二人短了五個
[00:02:28.700 --> 00:02:33.200]  你就因這短了五個毀滅全城嗎?
[00:02:33.200 --> 00:02:37.200]  他說,我在那裡若見有四十五個
[00:02:37.200 --> 00:02:39.200]  也不毀滅那城
[00:02:39.200 --> 00:02:42.200]  阿巴拉罕又對他說
[00:02:42.200 --> 00:02:46.700]  假若在那裡見有四十個,怎麼樣呢?
[00:02:46.700 --> 00:02:51.200]  他說,為借四十個的緣故,我也不做借事
[00:02:51.200 --> 00:02:56.200]  阿巴拉罕說,求主不要動怒
[00:02:56.200 --> 00:03:01.700]  容我說,假若在那裡見有三十個,怎麼樣呢?
[00:03:01.700 --> 00:03:07.200]  他說,我在那裡若見有三十個,我也不做借事
[00:03:07.200 --> 00:03:12.200]  阿巴拉罕說,我還敢對主說
[00:03:12.200 --> 00:03:16.700]  假若在那裡見有二十個,怎麼樣呢?
[00:03:16.700 --> 00:03:20.700]  他說,為借二十個的緣故,我也不毀滅那城
[00:03:20.700 --> 00:03:25.200]  阿巴拉罕說,求主不要動怒
[00:03:25.200 --> 00:03:30.200]  我再說這一次,假若在那裡見有十個
[00:03:30.200 --> 00:03:35.200]  他說,為借十個的緣故,我也不毀滅那城
[00:03:35.200 --> 00:03:39.200]  也說,若巴拉罕說完了話就走了
