
[00:00:00.000 --> 00:00:02.760]  我們今天繼續講哈伯谷書
[00:00:02.760 --> 00:00:04.040]  今天講到第二章
[00:00:04.040 --> 00:00:05.760]  上一次講到第一章的時候
[00:00:05.760 --> 00:00:07.720]  基本上講到哈伯谷先知
[00:00:07.720 --> 00:00:14.520]  開頭他見到以色列國當中很多不義的事情
[00:00:14.520 --> 00:00:20.200]  於是他向神求問或投訴
[00:00:20.200 --> 00:00:22.560]  神給了他的答案
[00:00:22.560 --> 00:00:26.280]  沒錯,我也見到以色列國的罪惡
[00:00:26.280 --> 00:00:33.800]  但是他不是按照哈伯谷先知的期望來回應
[00:00:33.800 --> 00:00:36.920]  神說我見到這些以色列的罪惡
[00:00:36.920 --> 00:00:40.760]  我就會差遣一些更加邪惡的加拿大人
[00:00:40.760 --> 00:00:44.360]  來到你們中間將以色列懲罰
[00:00:44.360 --> 00:00:46.480]  這些更加邪惡的加拿大人
[00:00:46.480 --> 00:00:49.240]  就會侵略你們的國家
[00:00:49.240 --> 00:00:52.440]  當哈伯谷先知得到這樣的回應的時候
[00:00:52.440 --> 00:00:54.800]  基本上他就更加不滿意
[00:00:54.800 --> 00:00:59.800]  因為他期待著神伸張正義
[00:00:59.800 --> 00:01:08.400]  但是現在神用更邪惡的來侵略他們
[00:01:08.400 --> 00:01:11.600]  來將他們欺壓
[00:01:11.600 --> 00:01:16.360]  所以哈伯谷有很多不明白
[00:01:16.360 --> 00:01:20.120]  他的信仰和他見到的現實
[00:01:20.120 --> 00:01:23.480]  似乎落於一個很大的落差的時候
[00:01:23.480 --> 00:01:25.000]  正如之前所說
[00:01:25.000 --> 00:01:29.440]  哈伯谷書基本上不是一個當眾宣講的訊息
[00:01:29.440 --> 00:01:32.680]  基本上是哈伯谷先知自己的內心
[00:01:32.680 --> 00:01:40.880]  他和神好像有一個屬靈的掙扎的交流的訊息
[00:01:40.880 --> 00:01:42.720]  說到哈伯谷書的時候
[00:01:42.720 --> 00:01:45.600]  他有幾段的禱告
[00:01:45.600 --> 00:01:50.480]  第一次禱告說到不義的事情
[00:01:50.480 --> 00:01:55.480]  神就回答說到巴比倫人來懲罰他們
[00:01:55.480 --> 00:01:59.040]  然後上一次也說到有第二個禱告
[00:01:59.040 --> 00:02:05.280]  他更加不明白神為何一個聖潔公義的神
[00:02:05.280 --> 00:02:07.120]  會容忍這些事情發生
[00:02:07.120 --> 00:02:09.040]  接下來
[00:02:09.040 --> 00:02:15.720]  第二章就說到一段頗長的神的回應
[00:02:15.720 --> 00:02:19.040]  其實哈伯谷書的結構就是
[00:02:19.040 --> 00:02:21.360]  哈伯谷先知一個求問
[00:02:21.360 --> 00:02:22.440]  神有一個回應
[00:02:22.440 --> 00:02:23.960]  然後第二個求問
[00:02:23.960 --> 00:02:25.040]  第二個回應
[00:02:25.040 --> 00:02:28.680]  今天我們所看的這一段第二章就是第二個回應
[00:02:28.680 --> 00:02:34.920]  哈伯谷先知不明白神為何會容忍這些這麼邪惡的迦勒底人
[00:02:34.920 --> 00:02:38.360]  來橫行霸道的時候
[00:02:38.360 --> 00:02:41.800]  神給他有什麼回應呢?
[00:02:41.800 --> 00:02:47.800]  首先他就說到哈伯谷先知自己的態度是怎樣的
[00:02:47.800 --> 00:02:51.600]  「我要站在守望所立,在望樓上觀看」
