
[00:00:00.000 --> 00:00:07.280]  你聽我講了很久,你一定看過這個periodic table
[00:00:07.280 --> 00:00:09.220]  這個其實是聖經66本書
[00:00:09.220 --> 00:00:12.780]  舊約有39本書,新約有27本書
[00:00:12.780 --> 00:00:18.660]  而所有舊約新約其實有一箇中心點
[00:00:18.660 --> 00:00:21.980]  它的中心點主要是蘇基督的來臨
[00:00:21.980 --> 00:00:23.120]  天國的來臨
[00:00:23.120 --> 00:00:27.380]  而當年最後耶穌基督在十字架上撞亡
[00:00:27.380 --> 00:00:30.880]  你要這樣去明白舊約新約
[00:00:30.880 --> 00:00:34.040]  你纔可以看了大圖,大故事
[00:00:34.040 --> 00:00:35.760]  究竟在講什麼
[00:00:35.760 --> 00:00:37.880]  我不知道你有沒有掙扎過
[00:00:37.880 --> 00:00:40.300]  怎樣去記住這66本書
[00:00:40.300 --> 00:00:43.300]  其實不是很難的,今天講一點點
[00:00:43.300 --> 00:00:46.180]  你發覺舊約那邊其實很簡單
[00:00:46.180 --> 00:00:52.040]  5+5+5+5+12+12
[00:00:52.040 --> 00:00:54.020]  行不行
[00:00:54.020 --> 00:00:56.220]  先講頭5本書
[00:00:56.220 --> 00:00:59.180]  頭5本書叫摩西五經
[00:00:59.180 --> 00:01:01.820]  摩西五經的背景其實很有趣
[00:01:01.820 --> 00:01:02.940]  是講出埃及的
[00:01:02.940 --> 00:01:05.360]  5本書的背景其實都是出埃及的
[00:01:05.360 --> 00:01:07.480]  但這件事是很重要的
[00:01:07.480 --> 00:01:10.980]  我不知道你會不會經常提醒自己
[00:01:10.980 --> 00:01:13.020]  當你看頭5本書的時候
[00:01:13.020 --> 00:01:15.740]  其實背景是他們出埃及的
[00:01:15.740 --> 00:01:16.820]  爲什麼這個重要呢
[00:01:16.820 --> 00:01:18.620]  譬如說你下次讀
[00:01:18.620 --> 00:01:22.380]  阿巴蘭帶着沙拉去了埃及
[00:01:22.380 --> 00:01:26.540]  有些人說他沒有信心,你記得那個故事
[00:01:26.540 --> 00:01:28.840]  我們經常罵阿巴蘭說他沒有信心
[00:01:28.840 --> 00:01:32.140]  有沒有想過整個故事的關鍵是埃及
[00:01:32.140 --> 00:01:34.920]  有沒有想過他們去了哪裏
[00:01:34.920 --> 00:01:36.380]  是去了埃及
[00:01:36.380 --> 00:01:39.380]  有沒有想過那個下甲的故事
[00:01:39.380 --> 00:01:43.320]  我們又說在家裏,兩個老婆不好,吵來吵去
[00:01:43.320 --> 00:01:44.980]  你們可以講很多東西
[00:01:44.980 --> 00:01:49.180]  有沒有想過下甲故事的關鍵是下甲是埃及人
[00:01:49.180 --> 00:01:52.980]  有沒有想過用埃及的角度去看每一個
[00:01:52.980 --> 00:01:56.140]  創世紀、出埃及紀等等的故事
[00:01:56.140 --> 00:02:00.180]  或者你這樣去看,你可以看得明白一點
[00:02:00.180 --> 00:02:02.680]  摩西五經之後
[00:02:02.680 --> 00:02:07.280]  就一堆有12卷書,我們叫歷史書
[00:02:07.280 --> 00:02:08.880]  但我想跟你講
[00:02:08.880 --> 00:02:13.780]  我們要讀的史詩記都是12卷,其中一卷
[00:02:13.780 --> 00:02:19.280]  聖經學者告訴你,這12卷書都是和前面5本書有關係的
[00:02:19.280 --> 00:02:21.780]  有些聖經學者叫做
[00:02:21.780 --> 00:02:23.780]  Deuteronomistic History
[00:02:23.780 --> 00:02:26.180]  就是說所有後面的歷史書
[00:02:26.180 --> 00:02:30.980]  其實都是對應着生命記寫的
[00:02:30.980 --> 00:02:35.080]  我想你有機會回去看生命記,是極其悶的一本書
[00:02:35.080 --> 00:02:38.880]  其實不是,我想民數記、利美記更加悶
[00:02:38.880 --> 00:02:42.180]  但是生命記是一個很重要的書
[00:02:42.180 --> 00:02:46.580]  它說了很多可能是律法、律例、典章那些
[00:02:46.580 --> 00:02:49.080]  你搞什麼鬼,跟你有什麼關係
[00:02:49.080 --> 00:02:51.880]  原來那些律法、律例、典章
[00:02:51.880 --> 00:02:56.380]  和後面的歷史書是很有關係的
[00:02:56.380 --> 00:02:58.680]  因爲後面的所有君王
[00:02:58.680 --> 00:03:00.980]  你怎麼批他好還是不好
[00:03:00.980 --> 00:03:04.680]  完全是看他有沒有跟着生命記
[00:03:04.680 --> 00:03:06.880]  一會兒我們去到史詩記的時候
[00:03:06.880 --> 00:03:08.580]  你也發覺我們是走不掉的
[00:03:08.580 --> 00:03:11.180]  我們一定要回去生命記看一些東西
[00:03:11.180 --> 00:03:14.580]  我們才明白原來寫史詩記的人
[00:03:14.580 --> 00:03:17.880]  就是在想着生命記
[00:03:17.880 --> 00:03:21.680]  如果你看到這十二本歷史書的時候
[00:03:21.680 --> 00:03:24.480]  或者你記不了很多很仔細的東西
[00:03:24.480 --> 00:03:26.280]  但是你可不可以記得一樣東西
[00:03:26.280 --> 00:03:27.780]  就是因爲以色列人的罪
[00:03:27.780 --> 00:03:29.280]  他們不斷犯罪
[00:03:29.280 --> 00:03:30.780]  然後上帝鏟了一國
[00:03:30.780 --> 00:03:32.580]  鏟了北國、鏟了南國
[00:03:32.580 --> 00:03:34.880]  最後最重要的那樣東西叫做
[00:03:34.880 --> 00:03:37.380]  祕魯巴比倫
[00:03:37.380 --> 00:03:39.080]  好嗎?你記得巴比倫
[00:03:39.080 --> 00:03:41.680]  你什麼都不記得你記得他們祕魯巴比倫
[00:03:41.680 --> 00:03:42.480]  爲什麼呢?
[00:03:42.480 --> 00:03:44.680]  因爲其他所有的東西
[00:03:44.680 --> 00:03:47.380]  都跟祕魯巴比倫有關係
[00:03:47.380 --> 00:03:48.980]  如果你繼續看下去
[00:03:48.980 --> 00:03:53.780]  我們有所謂五個大先知書
[00:03:53.780 --> 00:03:55.380]  其實是四個大先知
[00:03:55.380 --> 00:03:57.380]  然後有十二個小先知書
[00:03:57.380 --> 00:03:59.080]  這些小先知、大先知
[00:03:59.080 --> 00:04:04.180]  他們所做的事情都是在皇帝當危的時候
[00:04:04.180 --> 00:04:05.680]  而他們所警告他們
