
[00:00:00.000 --> 00:00:05.480]  有一個節目訪問了50個人
[00:00:05.480 --> 00:00:10.400]  訪問他們關於情人節的經驗
[00:00:10.400 --> 00:00:15.120]  有一個女孩說她跟男朋友在情人節那天分手
[00:00:15.120 --> 00:00:23.720]  因為在情人節之前女方有很多期待
[00:00:23.720 --> 00:00:31.000]  她以為男方會帶她去喫飯 送禮物給她
[00:00:31.000 --> 00:00:33.040]  結果不是這樣的
[00:00:33.040 --> 00:00:38.040]  她男朋友前一晚喝得太醉了
[00:00:38.040 --> 00:00:41.520]  當天什麼都沒有安排
[00:00:41.520 --> 00:00:45.360]  這個女孩一怒之下就跟他分手了
[00:00:45.360 --> 00:00:50.560]  另一個被訪問的是結婚多年的太太
[00:00:50.560 --> 00:00:56.920]  她說她先生無論結婚紀念日生日
[00:00:56.920 --> 00:01:00.280]  她先生什麼都沒有做過
[00:01:00.280 --> 00:01:02.520]  也沒有送過禮物給她
[00:01:02.520 --> 00:01:05.600]  她最初很生氣
[00:01:05.600 --> 00:01:08.280]  結婚久了
[00:01:08.280 --> 00:01:12.200]  她也明白這是她的個性
[00:01:12.200 --> 00:01:15.760]  她知道她先生不是不愛她
[00:01:15.760 --> 00:01:18.640]  這是她的個性
[00:01:18.640 --> 00:01:21.480]  一樣都是情人節
[00:01:21.480 --> 00:01:24.720]  一個不送禮物而分手
[00:01:24.720 --> 00:01:29.240]  另一對夫妻沒有送禮物
[00:01:29.240 --> 00:01:30.840]  不過無所謂
[00:01:30.840 --> 00:01:32.680]  差別在哪裡
[00:01:32.680 --> 00:01:35.360]  差別就在認識
[00:01:35.360 --> 00:01:38.120]  差別在接納
[00:01:38.120 --> 00:01:43.360]  男女之間夫妻之間有認識有接納
[00:01:43.360 --> 00:01:47.280]  有接納就帶來信任
[00:01:47.280 --> 00:01:49.280]  不過有些人
[00:01:49.280 --> 00:01:51.560]  你一直信任他
[00:01:51.560 --> 00:01:54.200]  但你突然發現他做了一些事情
[00:01:54.200 --> 00:01:57.400]  令你好失望
[00:01:57.400 --> 00:02:03.000]  我們可能也聽過這些個案
[00:02:03.000 --> 00:02:05.080]  有一個神學生
[00:02:05.080 --> 00:02:09.560]  一直很欣賞他們教會的執事會主席
[00:02:09.560 --> 00:02:14.600]  是他一個非常尊重的人
[00:02:14.600 --> 00:02:16.800]  不是Sam
[00:02:16.800 --> 00:02:20.880]  不過他發現家人移民後
[00:02:20.880 --> 00:02:25.400]  執事會主席身邊多了一個女伴
[00:02:25.400 --> 00:02:29.760]  他一直很相信這個主席
[00:02:29.760 --> 00:02:33.280]  因為他是他的主日學老師
[00:02:33.280 --> 00:02:37.120]  他應該明白神的要求
[00:02:37.120 --> 00:02:43.120]  但他聽到外面的人稱呼這位女士為執事會太太
[00:02:43.120 --> 00:02:46.800]  但他聽到外面的人稱呼這位女士為執事會太太
[00:02:46.800 --> 00:02:49.960]  他感到有事發生
[00:02:49.960 --> 00:02:53.760]  他請牧師跟他談一下
[00:02:53.760 --> 00:02:56.200]  這個執事會主席就說
[00:02:56.200 --> 00:02:57.640]  你給我一點時間處理
[00:02:57.640 --> 00:03:02.000]  過了六個月
[00:03:02.000 --> 00:03:05.760]  他都好像沒有任何的交代
[00:03:05.760 --> 00:03:07.040]  那天開會
[00:03:07.040 --> 00:03:12.280]  這個主席需要交代這件婚外情的事
[00:03:12.280 --> 00:03:14.440]  這個主席需要交代這件婚外情的事
[00:03:14.440 --> 00:03:16.600]  但在開會之前
[00:03:16.600 --> 00:03:21.400]  這個主席跟神學生說
[00:03:21.400 --> 00:03:23.160]  他對不起
[00:03:23.160 --> 00:03:24.880]  令你失望
[00:03:24.880 --> 00:03:26.880]  但你放心
[00:03:26.880 --> 00:03:28.680]  我會留下交代這件事
[00:03:28.680 --> 00:03:31.000]  我會留下交代這件事
[00:03:31.000 --> 00:03:33.120]  結果是怎樣呢
[00:03:33.120 --> 00:03:34.560]  他走了
[00:03:34.560 --> 00:03:38.040]  他沒有交代這件事
[00:03:38.040 --> 00:03:40.920]  神學生很失望
[00:03:40.920 --> 00:03:43.600]  通常我們遇到一些你信任的人
[00:03:43.600 --> 00:03:45.400]  通常我們遇到一些你信任的人
