
[00:00:00.000 --> 00:00:02.720]  很多年前在一個電視節目裏面
[00:00:02.720 --> 00:00:04.720]  我看完之後我都想了很久
[00:00:04.720 --> 00:00:07.320]  那個電視節目裏面他就說
[00:00:07.320 --> 00:00:09.320]  美國有一幫印第安人
[00:00:09.320 --> 00:00:11.800]  天生有一種很特別的能力
[00:00:11.800 --> 00:00:16.280]  就是他們在高樓大廈上來工作
[00:00:16.280 --> 00:00:18.880]  可能他們有一些繩索 有一些繩
[00:00:18.880 --> 00:00:21.160]  但你不知道爲什麼
[00:00:21.160 --> 00:00:23.600]  無論風速多大都好
[00:00:23.600 --> 00:00:25.960]  在搖晃的槓根上
[00:00:25.960 --> 00:00:27.960]  他們不用穿安全帶
[00:00:28.360 --> 00:00:31.760]  他們仍然可以很穩定地向前走
[00:00:31.760 --> 00:00:33.760]  這幫人很奇怪的
[00:00:33.760 --> 00:00:37.000]  於是有一個驚險動作的職業表演者
[00:00:37.000 --> 00:00:38.560]  我們都見過有些人的了
[00:00:38.560 --> 00:00:40.880]  其實我每年見到都不太敢看的
[00:00:40.880 --> 00:00:44.640]  那些整條繩索走過尼加拉瓜大瀑布
[00:00:44.640 --> 00:00:46.400]  兩層很高的樓裏面
[00:00:46.400 --> 00:00:48.640]  拿一條杆子在那裏走
[00:00:48.640 --> 00:00:50.720]  有一個驚險動作的職業表演者
[00:00:50.720 --> 00:00:53.440]  見到這幫人他就想 哇 挺好的
[00:00:53.440 --> 00:00:55.600]  他說我上去都要拿着杆子平衡
[00:00:55.600 --> 00:00:57.080]  然後才過的
[00:00:57.080 --> 00:00:58.920]  說如果跟這幫人學到
[00:00:58.920 --> 00:01:00.440]  我以後就厲害了
[00:01:00.440 --> 00:01:01.360]  收視一定高
[00:01:01.360 --> 00:01:02.760]  因爲我什麼都不用拿
[00:01:02.760 --> 00:01:04.760]  走上去就可以走了
[00:01:04.760 --> 00:01:09.640]  這個節目是講這個職業的驚險動作表演者
[00:01:09.640 --> 00:01:11.640]  跟這幫人走
[00:01:11.640 --> 00:01:16.120]  當我們看他的操練的時候
[00:01:16.120 --> 00:01:17.600]  這個人有個盼望
[00:01:17.600 --> 00:01:20.760]  不過那部電影的片集是講這個人還沒學到
[00:01:20.760 --> 00:01:23.040]  仍然是在問這些人
[00:01:23.040 --> 00:01:25.880]  但這些人就說我們天生就是這樣走的
[00:01:25.880 --> 00:01:27.480]  他說其實沒什麼能教你的
[00:01:27.480 --> 00:01:29.520]  你夠膽就跟着來走
[00:01:29.520 --> 00:01:30.520]  這個人當然不敢
[00:01:30.520 --> 00:01:34.360]  於是他就研究看這幫人的情況
[00:01:34.360 --> 00:01:39.400]  我就想其實在我們信仰的路上都是一樣
[00:01:39.400 --> 00:01:42.000]  我就猜如果這個危險動作者
[00:01:42.000 --> 00:01:43.640]  不過我不鼓勵大家做
[00:01:43.640 --> 00:01:44.560]  但我就這樣想
[00:01:44.560 --> 00:01:48.360]  如果這個健康工作驚險動作者
[00:01:48.360 --> 00:01:51.600]  無論他怎麼跟這幫印第安人學都好
[00:01:51.600 --> 00:01:53.520]  終有一天他一定要試一件事
[00:01:53.520 --> 00:01:56.000]  哪怕他是離地三尺
[00:01:56.000 --> 00:01:57.520]  弄一條線在這裏
[00:01:57.520 --> 00:01:59.120]  然後用風吹一吹他
[00:01:59.120 --> 00:02:00.640]  然後他上舍上面走
[00:02:00.640 --> 00:02:02.800]  除下他所有的安全措施
[00:02:02.800 --> 00:02:07.400]  否則他永遠都學不到這幫印第安人這樣向前走
[00:02:07.400 --> 00:02:10.560]  不過當然這是一個講危險的動作
[00:02:10.560 --> 00:02:12.840]  但當我看這個片集的時候
[00:02:12.840 --> 00:02:14.840]  我突然間想
[00:02:14.840 --> 00:02:19.760]  其實我們對神的信心都是這樣的
[00:02:22.080 --> 00:02:25.840]  我想當我們來想我們對神的信心
[00:02:25.840 --> 00:02:28.280]  或者我們來跟蹤神的時候
[00:02:28.280 --> 00:02:32.200]  我們很多時候可以在腦海裏的認知
[00:02:32.200 --> 00:02:35.280]  我們覺得信耶穌是重要的
[00:02:35.280 --> 00:02:37.600]  我們覺得在我們人生的生命裏面
[00:02:37.600 --> 00:02:39.520]  依靠神是重要的
[00:02:39.520 --> 00:02:42.600]  但怎麼從腦海中落到我們的生命裏面呢
[00:02:42.600 --> 00:02:44.440]  又是另一回事
