
[00:00:00.000 --> 00:00:04.760]  今日的訊息是 讓主愛懷抱
[00:00:04.760 --> 00:00:09.400]  擁抱是一個很重要的行動
[00:00:09.400 --> 00:00:12.560]  代表我們愛和接納
[00:00:12.560 --> 00:00:16.400]  剛才唱了一首歌 叫萬古盆石為我開
[00:00:16.400 --> 00:00:20.560]  讓我藏身於你懷內
[00:00:20.560 --> 00:00:24.080]  石頭是很硬的
[00:00:24.080 --> 00:00:25.840]  所以詩人很有創意
[00:00:25.840 --> 00:00:30.240]  把石頭打開 讓我們躺在盆石內
[00:00:30.240 --> 00:00:33.240]  不過 硬的石頭
[00:00:33.240 --> 00:00:38.040]  我們永遠感受不到一種很柔軟的愛
[00:00:38.040 --> 00:00:41.440]  但是 我的子女
[00:00:41.440 --> 00:00:44.840]  每逢我們兩個看電視的時候
[00:00:44.840 --> 00:00:53.840]  就喜歡走上床 靠著我這個肚腩看電視
[00:00:53.840 --> 00:00:56.040]  有時還會睡著
[00:00:56.040 --> 00:00:58.040]  我相信是很舒服的
[00:00:58.040 --> 00:01:03.240]  一個軟的胸懷是很舒服的
[00:01:03.240 --> 00:01:06.240]  所以我們人都是有這種需要
[00:01:06.240 --> 00:01:10.040]  有些父母曾經跟我們分享
[00:01:10.040 --> 00:01:12.040]  小朋友長大了
[00:01:12.040 --> 00:01:15.240]  現在想抱他們也不是那麼容易
[00:01:15.240 --> 00:01:17.040]  所以他提醒我們
[00:01:17.040 --> 00:01:20.640]  趁你的小朋友還可以讓你抱抱 親親 擁抱
[00:01:20.640 --> 00:01:22.040]  多一點擁抱他們
[00:01:22.040 --> 00:01:25.640]  因為有一天你會很懷念這個時候
[00:01:25.640 --> 00:01:28.640]  我都相信是的
[00:01:28.640 --> 00:01:30.640]  但是有時有些人的擁抱
[00:01:30.640 --> 00:01:33.040]  就令你有些奇怪的
[00:01:33.040 --> 00:01:35.640]  我試過在街上看到有些人掛著牌子
[00:01:35.640 --> 00:01:38.240]  寫著free hugs
[00:01:38.240 --> 00:01:40.840]  即是說 有些叫免費
[00:01:40.840 --> 00:01:42.840]  他自己說的 免費擁抱
[00:01:42.840 --> 00:01:45.440]  我心想怎麼搞的 免費
[00:01:45.440 --> 00:01:49.840]  其實free是自由的擁抱的意思
[00:01:49.840 --> 00:01:52.240]  要錢這件事是很奇怪的
[00:01:52.240 --> 00:01:55.840]  其實就是外國有些人
[00:01:55.840 --> 00:01:57.840]  看到城市裏面有很多陌生人
[00:01:57.840 --> 00:02:00.040]  他們想給予一些溫暖
[00:02:00.040 --> 00:02:01.040]  這些陌生人
[00:02:01.040 --> 00:02:06.040]  於是就去抱抱 帶來了溫暖
[00:02:06.040 --> 00:02:11.840]  當然我們中國人不是很習慣這種文化
[00:02:11.840 --> 00:02:14.640]  有時我們教會偶爾有些聚會叫你抱抱
[00:02:14.640 --> 00:02:17.640]  隔壁弟兄姊妹都會怪怪的
[00:02:17.640 --> 00:02:19.040]  我承認有時
[00:02:19.040 --> 00:02:24.240]  不過當你真是很感受到那種溫暖的時間
[00:02:24.240 --> 00:02:27.840]  你都會覺得真是很值得的
[00:02:27.840 --> 00:02:33.040]  其實擁抱小朋友 擁抱兒女
[00:02:33.040 --> 00:02:35.240]  不是媽媽的專利
[00:02:35.240 --> 00:02:37.040]  爸爸 我有時做爸爸
[00:02:37.040 --> 00:02:38.640]  都會想去抱一下小朋友
[00:02:38.640 --> 00:02:40.440]  不過要抱一下他們
[00:02:40.440 --> 00:02:43.240]  有時就怪怪的
[00:02:43.240 --> 00:02:45.840]  不知為何我自己覺得有時怪怪的
[00:02:45.840 --> 00:02:50.440]  我就會趁他們睡了之後去抱一下他們
[00:02:50.440 --> 00:02:52.440]  小朋友睡了之後很可愛的
[00:02:52.440 --> 00:02:53.240]  不會醒的
[00:02:53.240 --> 00:02:54.440]  你一邊推他
[00:02:54.440 --> 00:02:57.040]  他都像個玩偶一樣好玩的
[00:02:57.040 --> 00:03:00.240]  那時我會覺得好像小天使一樣可愛
[00:03:00.240 --> 00:03:03.840]  然後我就摸摸他的鼻子
[00:03:03.840 --> 00:03:05.240]  像臭豬一樣
[00:03:05.240 --> 00:03:07.240]  他都不會反應
[00:03:07.240 --> 00:03:08.640]  我就會很開心的
[00:03:08.640 --> 00:03:10.240]  所以有時太太不知為何
[00:03:10.240 --> 00:03:12.040]  我早上就去小朋友的房間
[00:03:12.040 --> 00:03:16.240]  其實我就是去摸摸他們
[00:03:16.240 --> 00:03:18.640]  其實在每個父母的心目中
[00:03:18.640 --> 00:03:21.240]  小朋友都不會長大
