
[00:00:00.000 --> 00:00:02.540]  各位弟兄姊妹新年蒙福
[00:00:02.540 --> 00:00:04.160]  今日很特別
[00:00:04.160 --> 00:00:06.160]  又是大年初一
[00:00:06.160 --> 00:00:07.740]  又是主日
[00:00:07.740 --> 00:00:10.920]  在這裡祝福各位身體健康
[00:00:10.920 --> 00:00:12.420]  心靈平安
[00:00:12.420 --> 00:00:16.080]  靈魂長進豐逸
[00:00:16.080 --> 00:00:21.240]  大家都知道每年在過年前後
[00:00:21.240 --> 00:00:25.720]  我都很習慣應節跟大家分享
[00:00:25.720 --> 00:00:30.960]  每一年華人文化所講生肖的動物
[00:00:30.960 --> 00:00:34.480]  我這件衣服穿了十五年
[00:00:34.480 --> 00:00:39.680]  第一次穿是九八年的時候過年
[00:00:39.680 --> 00:00:42.800]  當時我們還在庫黎華酒店聚會
[00:00:42.800 --> 00:00:44.560]  由於喜樂團契
[00:00:44.560 --> 00:00:46.440]  他說我們獻仙
[00:00:46.440 --> 00:00:52.160]  新年我們要穿全部都是很色彩繽紛的唐裝
[00:00:52.160 --> 00:00:54.600]  他說牧師你買一件配合我們
[00:00:54.600 --> 00:00:56.440]  以前我都不知去哪裏買
[00:00:56.440 --> 00:00:59.600]  走去旺角女人街地攤
[00:00:59.600 --> 00:01:00.800]  跨在這裏
[00:01:00.800 --> 00:01:02.480]  一件沒那麼搶眼
[00:01:02.480 --> 00:01:04.640]  反過來穿很搶眼
[00:01:04.640 --> 00:01:06.640]  買了這件衣服
[00:01:06.640 --> 00:01:08.120]  穿了十五年
[00:01:08.120 --> 00:01:09.640]  還是很新淨
[00:01:09.640 --> 00:01:11.240]  沒得色
[00:01:11.240 --> 00:01:13.720]  都不用乾洗
[00:01:13.720 --> 00:01:15.200]  穿完跨回去
[00:01:15.200 --> 00:01:17.360]  第二年又可以
[00:01:17.360 --> 00:01:21.360]  不知為何可能我沒甚麼汗
[00:01:21.360 --> 00:01:25.760]  講生肖其實講了一個週期
[00:01:25.760 --> 00:01:30.360]  我想找回我講過有關蛇的講章
[00:01:30.360 --> 00:01:33.120]  今次是第三次
[00:01:33.120 --> 00:01:36.400]  第一次是一九八九年二月四日
[00:01:36.400 --> 00:01:39.440]  那時候是大約年廿七
[00:01:39.440 --> 00:01:42.560]  我當時在美國加州牧會
[00:01:42.560 --> 00:01:45.680]  教會團契
[00:01:45.680 --> 00:01:48.040]  大家有人煮甚麼烈菜回來
[00:01:48.040 --> 00:01:52.360]  好像教會的團年一樣很開心
[00:01:52.360 --> 00:01:54.640]  那些領事會說
[00:01:54.640 --> 00:01:57.480]  牧師你講一個比較應切的訊息
[00:01:57.480 --> 00:02:00.480]  第一次講蛇
[00:02:00.480 --> 00:02:03.400]  題目叫蛇有蛇路
[00:02:03.400 --> 00:02:05.400]  這是一個成語
[00:02:05.400 --> 00:02:09.560]  眨眼十二年後在哪裏呢
[00:02:09.560 --> 00:02:11.800]  就是二零零一年
[00:02:11.800 --> 00:02:13.640]  一月二十一日
[00:02:13.640 --> 00:02:18.080]  那個時候是在富麗華酒店
[00:02:18.080 --> 00:02:20.080]  再眨眼
[00:02:20.080 --> 00:02:23.360]  就是二零一三年
[00:02:23.360 --> 00:02:25.640]  今次來到思想
[00:02:25.640 --> 00:02:28.440]  每一次講生肖的講章
[00:02:28.440 --> 00:02:31.640]  我都要做少少的解釋
[00:02:31.640 --> 00:02:34.560]  究竟生肖講章是否屬靈
[00:02:34.560 --> 00:02:36.040]  還是導人迷信
[00:02:36.040 --> 00:02:37.640]  有沒有聖經根據
[00:02:37.640 --> 00:02:40.440]  還是憑空想像呢
[00:02:40.440 --> 00:02:42.440]  其實講生肖講章
[00:02:42.440 --> 00:02:45.040]  是有一個信仰的基礎
[00:02:45.040 --> 00:02:46.920]  希伯來書第一章
[00:02:46.920 --> 00:02:49.560]  講到神的啟示
[00:02:49.560 --> 00:02:52.320]  是在末後藉著耶穌基督
[00:02:52.320 --> 00:02:54.400]  在耶穌基督的道成肉身
[00:02:54.400 --> 00:02:58.280]  和人寫聖經有關的見證
[00:02:58.280 --> 00:03:01.960]  這是一個很獨特很具體的啟示
[00:03:01.960 --> 00:03:03.960]  我們通過認識耶穌基督
[00:03:03.960 --> 00:03:04.880]  讀聖經
[00:03:04.880 --> 00:03:08.600]  我們明白神的救恩是怎樣
[00:03:08.600 --> 00:03:11.280]  但對於福音未傳到的地方
[00:03:11.280 --> 00:03:14.080]  神在當中有沒有作為呢
[00:03:14.080 --> 00:03:16.960]  我們去考察歷史和看看聖經
[00:03:16.960 --> 00:03:19.720]  原來神仍然在當中工作
[00:03:19.720 --> 00:03:22.720]  這個叫做普遍的啟示
[00:03:22.720 --> 00:03:24.440]  羅馬書第一章說
[00:03:24.440 --> 00:03:26.240]  藉著受造的物
[00:03:26.240 --> 00:03:28.440]  神的永恆和神聖
[00:03:28.440 --> 00:03:30.760]  是明明可知的
[00:03:30.760 --> 00:03:33.200]  我們看見天空的繁星
[00:03:33.200 --> 00:03:37.920]  看人內心那種道德良知
[00:03:37.920 --> 00:03:40.880]  我們感覺到冥冥中有個主宰
[00:03:40.880 --> 00:03:44.640]  和感覺到上帝所創造的人
[00:03:44.640 --> 00:03:47.240]  還有餘下的善
[00:03:47.240 --> 00:03:50.240]  所以這些都是我們可以進一步
[00:03:50.240 --> 00:03:53.400]  來介紹耶穌基督的基礎
[00:03:53.400 --> 00:03:56.240]  而且當我們去看聖經的時候
[00:03:56.240 --> 00:03:58.840]  智慧文學特別是真言
[00:03:58.840 --> 00:04:03.360]  很喜歡用動物來講道德的教訓
[00:04:03.360 --> 00:04:05.680]  和屬靈的信息
[00:04:05.680 --> 00:04:07.840]  譬如講到人勤力
[00:04:07.840 --> 00:04:10.040]  真言的智慧人就會說
[00:04:10.040 --> 00:04:13.000]  你們這些懶惰的人去看螞蟻
[00:04:13.000 --> 00:04:16.440]  螞蟻經常沒有空搬來搬去
[00:04:16.440 --> 00:04:17.840]  搬一些給牠看重
[00:04:17.840 --> 00:04:19.120]  多五倍的東西
[00:04:19.120 --> 00:04:20.760]  牠都搬得到
[00:04:20.760 --> 00:04:23.600]  而且是未雨綢繆
[00:04:23.600 --> 00:04:25.920]  而且叫我們看一下手工
[00:04:25.920 --> 00:04:29.400]  即是壁虎或者嚴蛇
[00:04:29.400 --> 00:04:31.400]  黏在那個地方
[00:04:31.400 --> 00:04:32.360]  看一下馬
[00:04:32.360 --> 00:04:33.280]  看一下驢
[00:04:33.280 --> 00:04:34.640]  看一下羊
[00:04:34.640 --> 00:04:37.440]  甚至耶穌基督講道都說
[00:04:37.440 --> 00:04:40.080]  你們看一下天空的飛鳥
[00:04:40.080 --> 00:04:42.720]  不種也不收
[00:04:42.720 --> 00:04:45.040]  天父尚且養活他們
[00:04:45.040 --> 00:04:47.800]  何況你們是神的兒女
[00:04:47.800 --> 00:04:50.480]  為什麼要為明日來到憂慮呢?
[00:04:50.480 --> 00:04:52.080]  他說看一下你們的花
[00:04:52.080 --> 00:04:54.360]  一夜之間就凋殘
[00:04:54.360 --> 00:04:57.400]  上帝仍然給他穿戴的
[00:04:57.400 --> 00:04:59.680]  給所羅門王時代的人
[00:04:59.680 --> 00:05:01.840]  所穿戴的玲瓏綢緞
[00:05:01.840 --> 00:05:03.880]  更加漂亮
[00:05:03.880 --> 00:05:08.080]  耶穌都用這個大自然很具體的東西
[00:05:08.080 --> 00:05:10.000]  來提醒我們
[00:05:10.000 --> 00:05:14.640]  何況你說聖經有65字的經文有關係
[00:05:14.640 --> 00:05:18.040]  而且我們全福音聖經說
[00:05:18.040 --> 00:05:20.160]  我們要用珠官的智慧
[00:05:20.160 --> 00:05:22.600]  和我們要按時分量
[00:05:22.600 --> 00:05:25.840]  既然全世界所有華人文化地方
[00:05:25.840 --> 00:05:28.880]  每年都有一種動物
[00:05:28.880 --> 00:05:31.680]  有些人是迷信去解釋
[00:05:31.680 --> 00:05:36.680]  為什麼我們不可以是報人有證訊的
[00:05:36.680 --> 00:05:40.240]  和給人在當中看到聖經的教導
[00:05:40.240 --> 00:05:42.880]  來說這一種生肖動物呢?
[00:05:42.880 --> 00:05:46.280]  就在這一種理念邏輯的底下
[00:05:46.280 --> 00:05:47.520]  我們就要說
[00:05:47.520 --> 00:05:50.920]  令蛇獻髓,迎春節福
[00:05:50.920 --> 00:05:53.320]  這條是一條屬靈的蛇
[00:05:53.320 --> 00:05:56.320]  所願的髓就是一些吉祥的東西
[00:05:56.320 --> 00:05:58.320]  見人得福氣的東西
[00:05:58.320 --> 00:06:03.280]  以致我們能夠迎春節福
[00:06:03.280 --> 00:06:04.880]  蛇的象徵
[00:06:04.880 --> 00:06:09.200]  無論在中西文化都是正邪合體
[00:06:09.200 --> 00:06:12.560]  我們比較多想蛇都是不好的
[00:06:12.560 --> 00:06:14.920]  實質上很多成語
[00:06:14.920 --> 00:06:19.640]  很多東西都是比較偏面去解釋蛇
[00:06:19.640 --> 00:06:21.640]  如果比較起來
[00:06:21.640 --> 00:06:26.680]  中國的文化對蛇的看法是比較正面的
[00:06:26.680 --> 00:06:29.720]  譬如說我們說方圍
[00:06:29.720 --> 00:06:35.520]  傳統中國人要用四種碎獸或者靈獸
[00:06:35.520 --> 00:06:39.480]  即是吉祥的動物來表示方圍
[00:06:39.480 --> 00:06:43.240]  左青龍,右白虎
[00:06:43.240 --> 00:06:46.680]  前面是豬雀,後面是玄武
[00:06:46.680 --> 00:06:49.880]  來說東南西北
[00:06:49.880 --> 00:06:54.880]  青龍、豬雀、白虎大家都知道
[00:06:54.880 --> 00:06:56.880]  但玄武是甚麼呢?
[00:06:56.880 --> 00:07:02.440]  玄武原來是當一條蛇纏繞著一隻龜
[00:07:02.440 --> 00:07:04.840]  所結合成一體的時候
[00:07:04.840 --> 00:07:06.520]  就叫做玄武
[00:07:06.520 --> 00:07:08.040]  代表北方
[00:07:08.040 --> 00:07:11.080]  就好像奧運很喜歡找動物
[00:07:11.080 --> 00:07:12.800]  這個叫做吉祥物
[00:07:12.800 --> 00:07:15.480]  是一種祝福的意義
[00:07:15.480 --> 00:07:19.520]  所以蛇龜的結合是一種祝福的
[00:07:19.520 --> 00:07:23.080]  另外我們中國有關蛇的傳說
[00:07:23.080 --> 00:07:25.520]  最出名是甚麼小說?
[00:07:25.520 --> 00:07:27.720]  《白蛇傳》
[00:07:27.720 --> 00:07:30.240]  裏面的主角叫做李素貞
[00:07:30.240 --> 00:07:31.680]  不是,我記錯了
[00:07:31.680 --> 00:07:35.000]  我們會友有一個叫李素貞
[00:07:35.000 --> 00:07:38.280]  《白蛇傳》的主角叫做白素貞
[00:07:38.280 --> 00:07:41.080]  這個白素貞還未受浸
[00:07:41.080 --> 00:07:43.080]  因為他未加入牧區
[00:07:43.080 --> 00:07:46.800]  所以未受浸得加入教會
[00:07:46.800 --> 00:07:50.560]  你研究《白蛇傳》
[00:07:50.560 --> 00:07:52.640]  是可以寫博士論文的
[00:07:52.640 --> 00:07:53.840]  你聽過嗎?
[00:07:53.840 --> 00:07:57.360]  有很多文學博士是研究《白蛇傳》的
[00:07:57.360 --> 00:08:00.800]  所以德國最近的教育部長
[00:08:00.800 --> 00:08:03.880]  和國防部長因為抄襲
[00:08:03.880 --> 00:08:04.880]  要辭職
[00:08:04.880 --> 00:08:06.680]  連博士學位拿給別人
[00:08:06.680 --> 00:08:09.960]  如果研究《白蛇傳》就不用了
[00:08:09.960 --> 00:08:11.800]  研究《白蛇傳》那些人
