
[00:00:00.000 --> 00:00:04.480]  信心是我們基督徒信仰生活當中
[00:00:04.480 --> 00:00:08.140]  一個生命得勝的關鍵
[00:00:08.140 --> 00:00:09.480]  你知道我們常常聽到人說
[00:00:09.480 --> 00:00:11.880]  基督教是一個愛的宗教
[00:00:11.880 --> 00:00:13.800]  但事實上與其說
[00:00:13.800 --> 00:00:14.900]  基督教是愛的宗教
[00:00:14.900 --> 00:00:16.700]  不如說更重要的是
[00:00:16.700 --> 00:00:19.840]  基督教是一個信心的宗教
[00:00:19.840 --> 00:00:25.000]  因為信心是在一切美德跟善行之先的
[00:00:25.000 --> 00:00:26.140]  如果沒有信心
[00:00:26.140 --> 00:00:28.740]  我們不可能領受基督的生命
[00:00:28.740 --> 00:00:30.480]  如果沒有基督的生命
[00:00:30.480 --> 00:00:34.000]  我們就活不出基督的生活
[00:00:34.000 --> 00:00:35.080]  所以我們看見
[00:00:35.080 --> 00:00:40.040]  神的國是需要我們憑著信心才能夠進入
[00:00:40.040 --> 00:00:44.540]  事實上不但是我們在得救那一剎那需要信心
[00:00:44.540 --> 00:00:47.200]  事實上在我們一生的道路當中
[00:00:47.200 --> 00:00:51.000]  我們都需要憑信心來跟隨神
[00:00:51.000 --> 00:00:53.240]  所以保羅在羅馬書裡面很清楚講到
[00:00:53.240 --> 00:00:57.880]  我們的信仰是本於信 以至於信
[00:00:57.880 --> 00:00:58.840]  什麼意思呢?
[00:00:58.840 --> 00:01:03.000]  是從頭到尾都是靠著信心
[00:01:03.000 --> 00:01:03.800]  Amen?
[00:01:03.800 --> 00:01:08.340]  跟你朋友說從頭到尾都靠著信心跟他說
[00:01:08.340 --> 00:01:12.940]  那到底什麼是聖經裡面所說的信心呢?
[00:01:12.940 --> 00:01:14.540]  希伯來書十一章第一節
[00:01:14.540 --> 00:01:18.040]  給我們看見一個很清楚的定義
[00:01:18.040 --> 00:01:21.340]  在這裡說信就是所望之事的實底
[00:01:21.340 --> 00:01:24.740]  是未見之事的確具
[00:01:24.740 --> 00:01:28.240]  換句話說我們看見好像信心
[00:01:28.240 --> 00:01:32.000]  是一個神所給我們一個屬靈的能力
[00:01:32.000 --> 00:01:34.900]  是讓我們能夠看見的能力
[00:01:34.900 --> 00:01:39.540]  這就好像神賜給我們在肉體上有五官一樣
[00:01:39.540 --> 00:01:43.700]  透過我們的五官 透過我們的感覺
[00:01:43.700 --> 00:01:49.440]  這個是能夠掌管著我們跟物質世界的關係
