
[00:00:00.000 --> 00:00:02.440]  我們開始之前先有個祈禱
[00:00:02.440 --> 00:00:06.580]  主耶穌多謝祢為我們寫命
[00:00:06.580 --> 00:00:10.320]  亦都在默西米沿祢被賣的一夜
[00:00:10.320 --> 00:00:12.240]  祢提醒門徒要警醒禱告
[00:00:12.240 --> 00:00:13.960]  免得有迷惑
[00:00:13.960 --> 00:00:15.680]  因為這個正正就是末世的黑夜
[00:00:15.680 --> 00:00:16.920]  祢要提醒我們
[00:00:16.920 --> 00:00:19.360]  在末世裏面
[00:00:19.360 --> 00:00:21.360]  我們要持守愛心
[00:00:21.360 --> 00:00:25.600]  要向著使命的標竿直跑
[00:00:25.600 --> 00:00:27.160]  以至主祢回來的時候
[00:00:27.160 --> 00:00:28.800]  很多人能夠信主
[00:00:28.800 --> 00:00:29.760]  要領得榮耀
[00:00:29.760 --> 00:00:31.360]  願祢等待我們今天的學習
[00:00:31.360 --> 00:00:33.040]  奉耶穌基督的名禱
[00:00:33.040 --> 00:00:34.040]  阿門
[00:00:59.760 --> 00:01:01.040]  就不是沒有街燈
[00:01:01.040 --> 00:01:02.600]  而是光污染
[00:01:02.600 --> 00:01:04.200]  所以應該都不是的
[00:01:04.200 --> 00:01:05.200]  但為什麼
[00:01:05.200 --> 00:01:07.360]  很多時候有些嚴重的交通意外
[00:01:07.360 --> 00:01:08.840]  是在晚上發生的呢
[00:01:08.840 --> 00:01:11.320]  大家認為為什麼呢
[00:01:11.320 --> 00:01:14.560]  因為晚上開車有兩個迷惑
[00:01:14.560 --> 00:01:16.280]  是什麼
[00:01:16.280 --> 00:01:19.640]  睡覺和會醉酒
[00:01:19.640 --> 00:01:20.960]  要麼睡了
[00:01:20.960 --> 00:01:21.960]  要麼醉了
[00:01:21.960 --> 00:01:26.560]  都令到會有很嚴重的交通意外發生
[00:01:26.560 --> 00:01:30.520]  我看了今天這段經文的時候
[00:01:30.520 --> 00:01:32.400]  記得耶穌講的說話的時候
[00:01:32.400 --> 00:01:35.240]  正正就是大概門徒的情況
[00:01:35.240 --> 00:01:38.320]  因為當耶穌叫門徒要警醒禱告
[00:01:38.320 --> 00:01:39.800]  免得迷惑的時候
[00:01:39.800 --> 00:01:43.120]  記不記得在什麼場景之下呢
[00:01:43.120 --> 00:01:45.840]  耶穌在黑西密園祈禱的時候
[00:01:45.840 --> 00:01:47.280]  在晚上
[00:01:47.280 --> 00:01:49.760]  還有門徒已經吃得很飽
[00:01:49.760 --> 00:01:51.880]  因為剛剛吃了御節晚餐
[00:01:51.880 --> 00:01:54.320]  昨天喝了很多酒
[00:01:54.320 --> 00:01:57.320]  所以他們應該是有些睡意
[00:01:57.320 --> 00:01:59.240]  甚至是有些醉意
[00:01:59.240 --> 00:02:00.680]  都不出奇的
[00:02:00.680 --> 00:02:02.320]  耶穌提醒我們
[00:02:02.320 --> 00:02:03.680]  要去警醒禱告
[00:02:03.680 --> 00:02:06.360]  免得在黑夜裡面被迷惑
[00:02:06.360 --> 00:02:08.720]  這段經文其實是講什麼呢
[00:02:08.720 --> 00:02:11.200]  我們看回上下文
[00:02:11.200 --> 00:02:13.360]  其實耶穌已經不斷去提門徒
[00:02:13.360 --> 00:02:14.640]  祂要被出賣的了
[00:02:14.640 --> 00:02:16.400]  祂想門徒能夠知道
