
[00:00:00.000 --> 00:00:01.200]  「頂姐妹」5元
[00:00:01.200 --> 00:00:07.680]  如果要「頂姐妹」用兩個字去形容香港的生活
[00:00:07.680 --> 00:00:11.080]  你會用哪兩個字去形容香港的生活呢?
[00:00:11.080 --> 00:00:12.600]  兩個字
[00:00:12.600 --> 00:00:14.400]  忙碌?
[00:00:14.400 --> 00:00:15.520]  還是…
[00:00:15.520 --> 00:00:17.800]  如果我選其中一個…
[00:00:17.800 --> 00:00:19.000]  很多字可以形容的
[00:00:19.000 --> 00:00:20.800]  其中一個字就是急促
[00:00:20.800 --> 00:00:23.320]  大家不知道有沒有同感
[00:00:23.320 --> 00:00:25.840]  你試試出去…
[00:00:25.840 --> 00:00:26.920]  窩打路也好
[00:00:26.920 --> 00:00:27.960]  勝利道也好
[00:00:27.960 --> 00:00:28.800]  梳打道也好
[00:00:28.800 --> 00:00:30.200]  你試試走慢一點
[00:00:30.200 --> 00:00:32.720]  你就會被後面的人推著
[00:00:32.720 --> 00:00:33.840]  走快一點
[00:00:33.840 --> 00:00:35.280]  推著你向前
[00:00:35.280 --> 00:00:38.520]  我們的生活也是很急促、很快的
[00:00:38.520 --> 00:00:40.600]  我們回覆信息也要很快的
[00:00:40.600 --> 00:00:41.920]  回覆WhatsApp信息
[00:00:41.920 --> 00:00:44.040]  你有兩個藍蝶
[00:00:44.040 --> 00:00:45.360]  你快點回覆吧
[00:00:45.360 --> 00:00:49.600]  要不然會引起不同的感受
[00:00:49.600 --> 00:00:52.640]  就是發給你你就要很快地回覆
[00:00:52.640 --> 00:00:54.880]  或者我們去坐飛機
[00:00:54.880 --> 00:00:55.280]  是不是?
[00:00:55.280 --> 00:00:59.240]  如果某些航班的公司出名經常延誤
[00:00:59.240 --> 00:01:00.600]  行李又延誤
[00:01:00.600 --> 00:01:04.160]  我想我們也不會選擇那些航空公司
[00:01:04.160 --> 00:01:07.520]  又或者我們去某些餐廳吃東西
[00:01:07.520 --> 00:01:09.440]  去訂購不同的食物
[00:01:09.440 --> 00:01:11.920]  但是每次都很遲才來的
[00:01:11.920 --> 00:01:15.760]  或者我們也不會再選擇那些餐廳
[00:01:15.760 --> 00:01:19.320]  所以我們很多時候都要求很快、很急促
[00:01:19.320 --> 00:01:20.760]  很有效率
[00:01:22.200 --> 00:01:25.320]  早前我看了一套日本的電影
[00:01:25.320 --> 00:01:28.960]  電影名字一聽到就很想看的
[00:01:28.960 --> 00:01:31.040]  就是《海邊咖啡屋》
[00:01:31.040 --> 00:01:33.520]  一聽就很想看
[00:01:33.520 --> 00:01:35.520]  或者很想去喝一杯咖啡
[00:01:35.520 --> 00:01:39.000]  台灣的譯名就叫做《寧靜咖啡館之歌》
[00:01:39.000 --> 00:01:41.240]  是一套拍得很漂亮
[00:01:41.240 --> 00:01:45.520]  整個氣氛很悠閒的一套電影
[00:01:45.520 --> 00:01:48.600]  這套電影的故事是什麼呢?
[00:01:48.600 --> 00:01:54.480]  就是說電影裡面的女主角自小父母分開了
[00:01:54.480 --> 00:01:58.160]  然後就跟著媽媽一起生活
[00:01:58.160 --> 00:02:00.160]  就沒有再跟爸爸聯絡了
[00:02:00.160 --> 00:02:02.720]  後來到了她長大的時候
[00:02:02.720 --> 00:02:03.920]  她收到一個消息
[00:02:03.920 --> 00:02:08.360]  就是說因為爸爸是從事捕魚業的
[00:02:08.360 --> 00:02:11.840]  她某一天出海的時候就遇到海難
[00:02:11.840 --> 00:02:12.880]  然後就失蹤了
[00:02:12.880 --> 00:02:14.880]  就收到這個消息
[00:02:14.880 --> 00:02:18.160]  這個女主角就決定在東京工作
[00:02:18.160 --> 00:02:21.400]  就回到她的故鄉一個小島上面
[00:02:21.400 --> 00:02:23.440]  去等爸爸回來
[00:02:23.440 --> 00:02:28.040]  等的時候她腦海其實一直都很想見到爸爸
[00:02:28.040 --> 00:02:32.080]  想起很多小時候跟爸爸很開心相處的片段
[00:02:32.080 --> 00:02:34.480]  於是她就回到故鄉等爸爸
[00:02:34.480 --> 00:02:37.840]  她也不是無所事事地去等的
[00:02:37.840 --> 00:02:41.360]  她在她的故鄉島上面
