
[00:00:00.000 --> 00:00:04.480]  親愛的姐妹們,早安,我們仍然在疫症裏面
[00:00:04.480 --> 00:00:08.600]  故事仍然祝願每一個人都平安
[00:00:08.600 --> 00:00:11.080]  今天是基督君王日
[00:00:11.080 --> 00:00:16.280]  但願榮耀歸給那位萬王之王的基督
[00:00:16.280 --> 00:00:21.400]  說到天上的君王
[00:00:21.400 --> 00:00:26.720]  我們就對比地上的君王
[00:00:27.320 --> 00:00:37.640]  王室或君王的制度又弄成怎樣的一回事呢?
[00:00:37.640 --> 00:00:44.520]  看電視劇,我們已經看夠宮廷裏面的殘酷的鬥爭
[00:00:44.520 --> 00:00:47.000]  在權力的底下
[00:00:47.000 --> 00:00:50.760]  哪一個人生,哪一個人死
[00:00:50.760 --> 00:00:53.720]  何時生,何時死
[00:00:53.720 --> 00:00:56.480]  為何會生,為何會死
[00:00:57.280 --> 00:01:00.640]  很多時候連當事人都說不出一個所以言來
[00:01:00.640 --> 00:01:03.360]  這些宮廷裏面的黑暗
[00:01:03.360 --> 00:01:10.240]  亦都發生在以色列最顯赫的君王大衛的身上
[00:01:10.240 --> 00:01:13.000]  聖經的歷史書寫
[00:01:13.000 --> 00:01:17.120]  不是帝王自己的歷史書寫
[00:01:17.120 --> 00:01:21.680]  而是在上帝的視覺底下的歷史書寫
[00:01:21.680 --> 00:01:26.840]  將帝王的黑暗暴露在光天化日之下
[00:01:28.280 --> 00:01:31.000]  聖經的歷史書寫是要讓人明白
[00:01:31.000 --> 00:01:34.040]  就算是最隱密的事情
[00:01:34.040 --> 00:01:38.240]  神的眼睛都仍然能夠明察秋毫
[00:01:38.240 --> 00:01:43.840]  上帝要讓每一件事情得到正義的了斷
[00:01:43.840 --> 00:01:47.960]  一個人若果不正視自己的黑暗
[00:01:47.960 --> 00:01:51.400]  將會引發更深的黑暗
[00:01:51.400 --> 00:01:54.000]  聖經的歷史書寫
[00:01:54.400 --> 00:01:59.200]  就是叫那些已經在黑暗裏面的人及早回頭
[00:01:59.200 --> 00:02:00.520]  走向光明
[00:02:00.520 --> 00:02:05.280]  以色列民族的歷史去到某個階段
[00:02:05.280 --> 00:02:08.200]  他們需要建立一個皇權的制度
[00:02:08.200 --> 00:02:12.520]  但是人是否真的能夠善用這些權力呢
[00:02:12.520 --> 00:02:17.120]  聖經的歷史書寫明明白白的
[00:02:17.120 --> 00:02:22.000]  去表明人是多麼傾向誤用權力
[00:02:23.440 --> 00:02:26.880]  聖經肯定皇權制度的同時
[00:02:26.880 --> 00:02:29.760]  聖經亦都批判皇權制度
[00:02:29.760 --> 00:02:32.000]  以維護秩序
[00:02:32.000 --> 00:02:33.880]  運用權力是有需要的
