
[00:00:00.000 --> 00:00:02.000]  頂著梅平安
[00:00:02.000 --> 00:00:04.000]  讓我們再一次同心祈禱
[00:00:04.000 --> 00:00:08.640]  主耶穌我們感謝祢
[00:00:08.640 --> 00:00:10.640]  讓我們在祢面前一切敬拜
[00:00:10.640 --> 00:00:13.240]  因為萬有都是本於祢
[00:00:13.240 --> 00:00:14.760]  依靠祢 歸於祢
[00:00:14.760 --> 00:00:17.320]  願一切榮耀頌贊都歸於祢身上
[00:00:17.320 --> 00:00:18.800]  我們感謝祢
[00:00:18.800 --> 00:00:20.000]  是因為主耶穌祢
[00:00:20.000 --> 00:00:22.000]  親自度成肉身來到世界
[00:00:22.000 --> 00:00:24.760]  是祢為我們去釘生受死
[00:00:24.760 --> 00:00:28.200]  是祢用重價去買贖我們的生命
[00:00:28.600 --> 00:00:32.600]  讓我們在祢面前經歷祢自己那種拯救
[00:00:32.600 --> 00:00:33.600]  我們感謝祢
[00:00:33.600 --> 00:00:37.000]  讓我們再一次將我們自己獻情給祢
[00:00:37.000 --> 00:00:39.000]  將整個敬拜獻情給祢
[00:00:39.000 --> 00:00:40.000]  求祢圓立
[00:00:40.000 --> 00:00:42.600]  多謝您聽我們祈禱奉主耶穌的名叩
[00:00:42.600 --> 00:00:43.600]  阿們
[00:00:43.600 --> 00:00:48.000]  當踏入十月份的時候
[00:00:48.000 --> 00:00:51.800]  每一年我們十月份都是教會的猜全月
[00:00:51.800 --> 00:00:54.000]  在猜全月裏面的時候
[00:00:54.000 --> 00:00:57.400]  都讓我們去經歷神自己很多的工作
[00:00:58.400 --> 00:01:00.200]  在今年疫情的底下
[00:01:00.200 --> 00:01:04.400]  特別在面對很多不同疫情的挑戰裏面
[00:01:04.400 --> 00:01:07.000]  其實在今年四月的時候
[00:01:07.000 --> 00:01:11.400]  基督教機構協會曾經做過一份調查
[00:01:11.400 --> 00:01:15.800]  當時訪問了五十三間的基督教機構
[00:01:15.800 --> 00:01:19.600]  當中有八成的機構受訪者去表示
[00:01:19.600 --> 00:01:22.400]  感到面對前景的時候
[00:01:22.400 --> 00:01:26.000]  事公覺得是負面或者非常負面
[00:01:26.200 --> 00:01:28.400]  之後八成的機構都覺得是很負面
[00:01:28.400 --> 00:01:33.200]  有近半的機構甚至考慮開始減少一些開支
[00:01:33.200 --> 00:01:35.400]  暫緩一些發展的事公
[00:01:35.400 --> 00:01:38.800]  亦都進行一些特別的經費的籌募
[00:01:38.800 --> 00:01:42.800]  甚至有些機構表示有六成機構
[00:01:42.800 --> 00:01:46.200]  他們的現金流維持大概是幾個月的時間
[00:01:46.200 --> 00:01:50.400]  有七成的機構就開始已經減省人手
[00:01:50.400 --> 00:01:53.200]  或者縮減一些同工的數目
[00:01:54.400 --> 00:01:57.400]  其中二十間機構亦都開始面對
[00:01:57.400 --> 00:02:00.600]  可能要放無薪假一些的考驗和挑戰
[00:02:00.600 --> 00:02:03.800]  當我們看見很多不同機構
[00:02:03.800 --> 00:02:07.400]  面對大家疫情一起的艱難的時候
[00:02:07.400 --> 00:02:09.200]  我們面對那份的挑戰
[00:02:09.200 --> 00:02:12.800]  讓我想起在猜拳月裏面
[00:02:12.800 --> 00:02:14.800]  和大家分享今天的經文
[00:02:14.800 --> 00:02:17.200]  哥倫多後書第八第九章
[00:02:17.200 --> 00:02:19.400]  恩情上有份
[00:02:23.000 --> 00:02:24.600]  當他讀聖經的時候
[00:02:24.600 --> 00:02:26.800]  其實不知道大家有沒有留意
[00:02:26.800 --> 00:02:30.600]  在保羅書信裏面和在保羅頂的宣教旅程中間
[00:02:30.600 --> 00:02:36.200]  其實保羅經常提到有關辭位的事
[00:02:36.200 --> 00:02:38.200]  起碼有五段的經文
[00:02:38.200 --> 00:02:39.800]  哥倫多後書第八第九章
[00:02:39.800 --> 00:02:42.400]  羅馬書十五章二十五到三十二節
[00:02:42.400 --> 00:02:44.400]  臨前的十六章一至四節
[00:02:44.400 --> 00:02:46.000]  皆太書二章十節
[00:02:46.000 --> 00:02:48.200]  始藤傳二十四章十七節
[00:02:48.200 --> 00:02:50.400]  起碼有五段的經文
[00:02:50.400 --> 00:02:53.400]  保羅提到有關辭位的事
[00:02:53.400 --> 00:02:54.800]  其實對保羅來說
[00:02:54.800 --> 00:02:56.400]  在整個宣教旅程裏面
[00:02:56.400 --> 00:02:58.800]  保羅不下一次
[00:02:58.800 --> 00:03:00.400]  幾次在裏面
[00:03:00.400 --> 00:03:03.000]  用很長的篇幅提到辭位的事
[00:03:03.000 --> 00:03:06.600]  為了方便我提到辭位的時候
[00:03:06.600 --> 00:03:08.800]  也可以應用在奉獻上
[00:03:08.800 --> 00:03:12.000]  我就不仔細區分辭位和奉獻
[00:03:12.000 --> 00:03:16.400]  在辭位事上很多時候都應用在奉獻上
[00:03:16.400 --> 00:03:19.600]  最長的篇章是哥倫多後書第八第九章
[00:03:19.600 --> 00:03:21.400]  稍後我會和大家一起去看
[00:03:21.400 --> 00:03:25.000]  大家可以想到在哥倫多教會裏面
[00:03:25.000 --> 00:03:26.200]  保羅這樣去描述
[00:03:26.200 --> 00:03:27.800]  而且羅馬書十五章
[00:03:27.800 --> 00:03:28.800]  我們很熟悉
[00:03:28.800 --> 00:03:31.800]  講到上帝參見主耶穌基督來到世界
[00:03:31.800 --> 00:03:33.400]  為到罪人捨身
[00:03:33.400 --> 00:03:35.400]  一個恩訊稱義的道理
[00:03:35.400 --> 00:03:37.400]  講完之後在第十五章裏面
