
[00:00:00.000 --> 00:00:04.160]  來到聖誕節交換禮物這個行動
[00:00:04.160 --> 00:00:06.600]  應該我們都不會很陌生
[00:00:06.600 --> 00:00:09.240]  因為你上學的時候在學校
[00:00:09.240 --> 00:00:12.360]  或者上班 在公司 甚至在教會
[00:00:12.360 --> 00:00:15.720]  可能我們都會有些交換禮物的活動
[00:00:15.720 --> 00:00:21.160]  究竟什麼造成這個傳統要交換禮物的呢
[00:00:21.160 --> 00:00:22.920]  我就去找一下
[00:00:22.920 --> 00:00:24.920]  原來都眾說紛紜的
[00:00:24.920 --> 00:00:27.360]  有說過聖誕節
[00:00:27.360 --> 00:00:30.280]  第一個收到聖誕禮物的人是誰
[00:00:30.280 --> 00:00:35.440]  這個不是IQ題
[00:00:35.440 --> 00:00:38.080]  有說是耶穌
[00:00:38.080 --> 00:00:42.000]  因為東方的博士 即是那些占星學家
[00:00:42.000 --> 00:00:44.760]  他們看到這個星象的時候
[00:00:44.760 --> 00:00:46.680]  就說有一個王要出世
[00:00:46.680 --> 00:00:50.720]  於是他們就準備好禮物要去找耶穌
[00:00:50.720 --> 00:00:54.040]  所以第一個收到禮物的是耶穌
[00:00:54.040 --> 00:00:58.160]  然後後來又出現了其他的傳說
[00:00:58.160 --> 00:01:02.520]  例如為什麼現在會到處看到聖誕老人
[00:01:02.520 --> 00:01:05.480]  話說很久很久之前
[00:01:05.480 --> 00:01:09.720]  就有一個主教 都是一個傳道人
[00:01:09.720 --> 00:01:12.320]  他就叫做尼古拉斯
[00:01:12.320 --> 00:01:14.560]  他經常都很想幫助人
[00:01:14.560 --> 00:01:18.200]  有一次他知道有些小朋友很需要幫助
[00:01:18.200 --> 00:01:20.840]  但他又不想公開幫助他們
[00:01:20.840 --> 00:01:22.280]  於是他就想了一個辦法
[00:01:22.280 --> 00:01:27.360]  他就將一袋金從窗戶扔進屋裡
[00:01:27.360 --> 00:01:32.040]  剛好就扔進壁爐旁邊的牆壁裡
[00:01:32.040 --> 00:01:38.240]  於是後來這件事就被人傳開了
[00:01:38.240 --> 00:01:40.920]  於是有些人就效法他這個行動
[00:01:40.920 --> 00:01:43.480]  就是很想幫助人 但又不公開幫助
[00:01:43.480 --> 00:01:46.160]  就用一些辦法去幫助人
[00:01:46.160 --> 00:01:50.040]  當然這個傳說有多真
[00:01:50.040 --> 00:01:52.360]  我都沒有辦法去知道
[00:01:52.360 --> 00:01:56.160]  但禮物怎樣都是代表一個慷慨
[00:01:56.160 --> 00:01:57.400]  一個分享
[00:01:57.400 --> 00:02:01.760]  傳著傳著現在你見到聖誕老人
[00:02:01.760 --> 00:02:03.800]  就多過見到耶穌
[00:02:03.800 --> 00:02:07.960]  聖誕節無論如何收到禮物又開心
[00:02:07.960 --> 00:02:10.360]  送禮物的人其實都很開心
[00:02:10.360 --> 00:02:14.360]  而買禮物這個行動就更加細做了很多商機
[00:02:14.360 --> 00:02:17.000]  所以很多商人繼續鼓吹這件事
[00:02:17.000 --> 00:02:19.320]  繼續買禮物
[00:02:19.320 --> 00:02:23.080]  不過可能你都有些交換禮物的經驗
[00:02:23.080 --> 00:02:25.840]  你就發覺人和人之間交換禮物
[00:02:25.840 --> 00:02:29.400]  我們通常都不會預先知道送給誰的禮物
[00:02:29.400 --> 00:02:33.080]  所以你是沒有辦法去按對方的需要
[00:02:33.080 --> 00:02:34.920]  或者喜好去選禮物的
[00:02:34.920 --> 00:02:37.800]  通常怎樣買禮物的呢
[00:02:37.800 --> 00:02:42.360]  就是問預算是多少錢
[00:02:42.360 --> 00:02:47.880]  接著就按著錢買那個錢的範圍的禮物
[00:02:47.880 --> 00:02:50.680]  可能有些人都是隨便買
[00:02:50.680 --> 00:02:54.120]  所以收禮物也不要太大期望
[00:02:54.120 --> 00:02:57.520]  因為不一定喜歡
[00:02:57.520 --> 00:03:00.720]  加上現在我們的物質都非常豐富
[00:03:00.720 --> 00:03:02.360]  你需要的東西基本上你都有
[00:03:02.360 --> 00:03:03.720]  而且你都有不止一個
[00:03:03.720 --> 00:03:05.280]  你有不同的款式
[00:03:05.280 --> 00:03:08.160]  對方送給你的東西其實都未必合用
[00:03:08.160 --> 00:03:11.080]  所以在網絡上面禮物就要交換
[00:03:11.080 --> 00:03:15.320]  但是也有一些例如說十大人氣交換禮物
[00:03:15.320 --> 00:03:17.640]  最多人就買這些
[00:03:17.640 --> 00:03:20.960]  或者十大地雷交換禮物
[00:03:20.960 --> 00:03:22.840]  不要再買這些來交換
[00:03:22.840 --> 00:03:24.440]  不要收到
[00:03:24.440 --> 00:03:25.880]  怎樣也好
[00:03:25.880 --> 00:03:28.080]  我不知道你有沒有買過這些禮物
[00:03:28.080 --> 00:03:34.000]  原來聖誕節除了人和人去交換禮物之外
