
[00:00:00.000 --> 00:00:03.800]  OK 我們剛才聽了一段經文
[00:00:03.800 --> 00:00:06.000]  但在進入這段經文之前
[00:00:06.000 --> 00:00:09.400]  我想給大家看兩幅圖片
[00:00:09.400 --> 00:00:12.600]  這個我們叫做甚麼
[00:00:12.600 --> 00:00:15.700]  這個是甚麼來的
[00:00:15.700 --> 00:00:16.900]  溫度計
[00:00:16.900 --> 00:00:20.100]  溫度計 這個比較容易
[00:00:20.100 --> 00:00:23.100]  下一個 除非你來了加拿大很久
[00:00:23.100 --> 00:00:25.500]  如果不是 你可能沒有見過的
[00:00:25.500 --> 00:00:27.400]  這個是甚麼來的
[00:00:28.900 --> 00:00:30.900]  恆溫器
[00:00:30.900 --> 00:00:33.900]  恆溫器 我們叫做Thermostat
[00:00:33.900 --> 00:00:36.900]  其實我們現在家裏的Thermostat都不是這樣的
[00:00:36.900 --> 00:00:38.900]  很多是電子的
[00:00:38.900 --> 00:00:41.400]  我記得我初初來到加拿大的時間
[00:00:41.400 --> 00:00:43.900]  很多屋裏面的恆溫器
[00:00:43.900 --> 00:00:46.400]  Thermostat都是這樣的
[00:00:46.400 --> 00:00:48.900]  一個是溫度計
[00:00:48.900 --> 00:00:51.400]  一個是恆溫器
[00:00:51.400 --> 00:00:52.900]  有甚麼分別
[00:00:52.900 --> 00:00:56.900]  有甚麼分別
[00:00:59.400 --> 00:01:01.900]  溫度計就是檢查房間的溫度
[00:01:01.900 --> 00:01:02.900]  是啊
[00:01:02.900 --> 00:01:04.900]  恆溫器就可以調校
[00:01:04.900 --> 00:01:07.900]  是啊 今天剛好下雪
[00:01:07.900 --> 00:01:09.900]  你放一個溫度計在這裏
[00:01:09.900 --> 00:01:12.900]  那就很冷了
[00:01:12.900 --> 00:01:14.400]  不用你講我也知道
[00:01:14.400 --> 00:01:16.900]  我都感覺到很冷了 多謝
[00:01:16.900 --> 00:01:19.900]  但如果你放一個恆溫器在這裏
[00:01:19.900 --> 00:01:21.900]  就不是很冷了 是吧
[00:01:21.900 --> 00:01:24.900]  恆溫器24度
[00:01:24.900 --> 00:01:27.900]  外面下多大雪 多冷都好
[00:01:27.900 --> 00:01:31.900]  你坐在這裏都舒服 是吧
[00:01:31.900 --> 00:01:36.900]  溫度計就是隨波逐流
[00:01:36.900 --> 00:01:38.900]  外面溫度是多少
[00:01:38.900 --> 00:01:40.900]  它就多少
[00:01:40.900 --> 00:01:43.900]  恆溫器就很不同
