
[00:00:00.000 --> 00:00:03.420]  當我準備在這次講章的時候
[00:00:03.420 --> 00:00:08.840]  研讀哥倫多前書第八章、第九章、第十章的時候
[00:00:08.840 --> 00:00:11.340]  看了一篇文章
[00:00:11.340 --> 00:00:15.100]  這篇文章是一個短篇的文章
[00:00:15.100 --> 00:00:20.300]  題目叫做「撕裂社會的民主人格」
[00:00:20.300 --> 00:00:23.200]  「撕裂社會的民主人格」
[00:00:23.200 --> 00:00:25.200]  這篇是一個基督教的文章
[00:00:25.200 --> 00:00:28.080]  前題是講現在香港的情況
[00:00:28.080 --> 00:00:33.360]  香港的政治、香港的社會的氣氛、氛圍
[00:00:33.360 --> 00:00:39.140]  他發覺到現在的社會好像撕裂了
[00:00:39.140 --> 00:00:44.480]  和對立,情緒很高漲的一個情景
[00:00:44.480 --> 00:00:50.940]  接著就說究竟教會處身在一個環境
[00:00:50.940 --> 00:00:53.320]  在現在的社會的情況裏面
[00:00:53.320 --> 00:00:56.200]  究竟我們怎樣去同時展示
[00:00:56.200 --> 00:00:59.160]  我們基督徒這種的愛心
[00:00:59.160 --> 00:01:03.360]  又能夠去對我們的真理、信仰
[00:01:03.360 --> 00:01:06.100]  能夠去展示出來呢?
[00:01:06.100 --> 00:01:08.900]  所以作者就說
[00:01:08.900 --> 00:01:11.480]  好像一些和諧的牧師
[00:01:11.480 --> 00:01:14.860]  可能會遇到上街的信徒
[00:01:14.860 --> 00:01:16.860]  或者一些上街的牧師
[00:01:16.860 --> 00:01:21.140]  會遇到一些反佔中的信徒等等
[00:01:21.140 --> 00:01:24.680]  在教會裏面就會有不同的一些取向
[00:01:24.680 --> 00:01:29.320]  對社會裏面或者對政治裏面的取向
[00:01:29.320 --> 00:01:31.320]  所以有不同的看法的時候
[00:01:31.320 --> 00:01:34.880]  究竟怎樣去自處呢?
[00:01:34.880 --> 00:01:36.880]  當我們看這篇文章
[00:01:36.880 --> 00:01:41.200]  為甚麼會和我準備這個講章有些關係呢?
[00:01:41.200 --> 00:01:43.520]  我不是準備講政治
[00:01:43.520 --> 00:01:46.000]  不是準備講我們參與
[00:01:46.000 --> 00:01:48.480]  我們會看當保羅
[00:01:48.480 --> 00:01:51.280]  他在一個哥倫多教會裏面
[00:01:51.280 --> 00:01:54.560]  他就遇到這些教會裏面的問題
[00:01:54.560 --> 00:02:00.160]  又從保羅自己的人格裏面去看
[00:02:00.160 --> 00:02:02.920]  他怎樣去平衡
[00:02:02.920 --> 00:02:08.560]  同時間去追求一個自由
[00:02:08.560 --> 00:02:11.360]  因為大家知道
[00:02:11.360 --> 00:02:15.160]  當時特別是希臘羅馬的社會裏面
[00:02:15.160 --> 00:02:17.360]  很多的奴隸
[00:02:17.360 --> 00:02:20.200]  奴隸有時他完結了生涯
[00:02:20.200 --> 00:02:21.640]  他成為一個自由人
[00:02:21.640 --> 00:02:24.560]  但同時間保羅上上都講
[00:02:24.560 --> 00:02:27.720]  我們在基督裏面也是自由人
[00:02:27.720 --> 00:02:33.600]  因為我們解除了罪惡的困所
[00:02:33.600 --> 00:02:35.600]  所以大家都是覺得
[00:02:35.600 --> 00:02:38.400]  我們在主裏面是自由的人
[00:02:38.400 --> 00:02:44.040]  當然這篇文章是講我們追求自由民主的社會
[00:02:44.040 --> 00:02:48.280]  保羅在一個教會裏面
[00:02:48.280 --> 00:02:50.760]  裏面其實有發生很多的問題
[00:02:50.760 --> 00:02:53.120]  而保羅他們去自處
[00:02:53.120 --> 00:02:56.120]  都成為了我們今天可以去思想
[00:02:56.120 --> 00:03:00.080]  也是借著剛才那篇文章給我啟發
[00:03:00.080 --> 00:03:04.960]  究竟保羅的追求
[00:03:04.960 --> 00:03:07.040]  在主裏面自由
[00:03:07.040 --> 00:03:09.040]  但同時間怎樣提醒我們
[00:03:09.040 --> 00:03:11.840]  究竟怎樣自處在裏面
[00:03:11.840 --> 00:03:15.120]  而多倫多教會當時的信徒
[00:03:15.120 --> 00:03:18.440]  他們自己認為自己很成熟
[00:03:18.440 --> 00:03:21.360]  認為他們自己宣稱他們是自由人
[00:03:21.360 --> 00:03:22.600]  剛才所講
[00:03:22.600 --> 00:03:26.920]  他們覺得我能夠站在一個特權的地位裏面
