
[00:00:00.000 --> 00:00:12.000]  整本聖經中,我找不到一個人,是充滿盼望的來找耶穌,而絕望的離開。
[00:00:12.000 --> 00:00:22.000]  我也找不到一個人,是歡喜興奮的來找耶穌,而失望憂憂愁愁的離開。
[00:00:22.000 --> 00:00:28.000]  除了這個,就是我們剛才讀的《馬可福音》第十章的這個人。
[00:00:28.000 --> 00:00:35.000]  這個人的經歷對你,對我都很重要,有啟發性。
[00:00:35.000 --> 00:00:45.000]  今天你來到教會裏面,待會你離開的時候,是歡歡喜喜,還是憂憂愁愁呢?
[00:00:45.000 --> 00:00:53.000]  今天神的話語可能對你很有應用性,我們一起來看看這個人的經歷,
[00:00:53.000 --> 00:01:00.000]  怎樣去應用在我們生命裏面,究竟信耶穌是一件什麼事?
[00:01:00.000 --> 00:01:07.000]  牧師我已經信了很多年了,還有些新的東西出現,可能你會發現一些新的東西。
[00:01:07.000 --> 00:01:12.000]  因為今天所講的這段經文其實都幾古怪,幾有趣的,我們來看看。
[00:01:12.000 --> 00:01:29.000]  首先我們要來看看當時的背景。
[00:01:29.000 --> 00:01:36.000]  耶穌出來傳道,到了這個時候已經過了三年,接近尾聲。
[00:01:36.000 --> 00:01:41.000]  這次是他最後一次去耶路撒冷,他面對的是十字架。
[00:01:41.000 --> 00:01:49.000]  三年以來耶穌多次指責法利賽人和經學家,指出他們的錯誤,
[00:01:49.000 --> 00:02:01.000]  所以這些經學家和法利賽人反對耶穌,迫迫他,想煽他,想殺他。
[00:02:01.000 --> 00:02:14.000]  情況越來越危險,很多人都開始怕和耶穌一起,怕被人燒自己的頭。
[00:02:14.000 --> 00:02:23.000]  如果你看《約翰福音》,你會留意到有一個人,德高望重的,叫做尼哥底姆,也是一個官。
[00:02:23.000 --> 00:02:29.000]  他來找耶穌又怎樣找呢?他都想尋求真理,但他又不敢日間來找。
[00:02:29.000 --> 00:02:32.000]  他是晚上來,偷偷地找耶穌。
[00:02:32.000 --> 00:02:40.000]  但是今天這個人不是這樣的,他是一個年輕的官。
[00:02:40.000 --> 00:02:42.000]  牧師,你怎樣知道他是年輕的官?
[00:02:42.000 --> 00:02:51.000]  如果你看《路加福音》第十八章,講同樣的故事,路加告訴我們他是一個官,一個官長。
[00:02:51.000 --> 00:02:58.000]  《馬太福音》第十九章都講同一件事,說他是青年,一個年輕人。
[00:02:58.000 --> 00:03:01.000]  所以加起來就是一個年輕的官。
